Chromosome,Position,Reads
CP048230.1,1774,2
CP048230.1,27213,1
CP048230.1,39207,2
CP048230.1,39235,1
CP048230.1,39272,5
CP048230.1,39279,7
CP048230.1,39290,1
CP048230.1,39291,1
CP048230.1,39453,1
CP048230.1,39462,3
CP048230.1,39666,2
CP048230.1,43314,1
CP048230.1,43321,1
CP048230.1,43522,1
CP048230.1,44436,1
CP048230.1,45872,1
CP048230.1,47835,1
CP048230.1,47976,2
CP048230.1,48787,1
CP048230.1,49695,1
CP048230.1,50369,2
CP048230.1,50503,1
CP048230.1,50510,2
CP048230.1,51017,1
CP048230.1,51149,2
CP048230.1,51156,1
CP048230.1,51172,1
CP048230.1,51233,1
CP048230.1,51236,8
CP048230.1,51243,1
CP048230.1,51520,1
CP048230.1,51529,1
CP048230.1,51556,1
CP048230.1,51563,2
CP048230.1,51624,2
CP048230.1,51625,3
CP048230.1,51632,2
CP048230.1,51757,2
CP048230.1,51764,2
CP048230.1,51765,1
CP048230.1,51889,1
CP048230.1,52037,3
CP048230.1,52044,9
CP048230.1,52067,2
CP048230.1,52074,2
CP048230.1,52108,1
CP048230.1,52266,1
CP048230.1,55280,3
CP048230.1,55281,2
CP048230.1,55357,3
CP048230.1,57022,1
CP048230.1,57138,1
CP048230.1,58887,1
CP048230.1,58996,1
CP048230.1,59007,1
CP048230.1,59046,2
CP048230.1,59053,1
CP048230.1,59457,1
CP048230.1,59624,1
CP048230.1,59998,1
CP048230.1,60038,1
CP048230.1,61113,1
CP048230.1,61114,1
CP048230.1,61151,1
CP048230.1,61300,1
CP048230.1,61361,1
CP048230.1,61377,2
CP048230.1,61384,1
CP048230.1,61536,1
CP048230.1,61605,1
CP048230.1,61612,1
CP048230.1,61614,2
CP048230.1,61619,1
CP048230.1,61621,4
CP048230.1,61634,1
CP048230.1,61644,1
CP048230.1,61703,1
CP048230.1,61744,1
CP048230.1,61815,1
CP048230.1,62211,1
CP048230.1,62262,1
CP048230.1,65206,1
CP048230.1,65554,1
CP048230.1,65613,1
CP048230.1,67388,2
CP048230.1,67965,1
CP048230.1,68829,1
CP048230.1,68951,1
CP048230.1,69026,1
CP048230.1,72659,2
CP048230.1,72666,1
CP048230.1,72712,3
CP048230.1,72791,1
CP048230.1,72823,1
CP048230.1,72934,2
CP048230.1,73089,1
CP048230.1,73096,1
CP048230.1,73108,3
CP048230.1,73115,5
CP048230.1,73148,1
CP048230.1,73171,1
CP048230.1,73179,1
CP048230.1,73200,2
CP048230.1,73219,3
CP048230.1,73224,2
CP048230.1,73239,1
CP048230.1,73246,1
CP048230.1,73255,1
CP048230.1,73272,1
CP048230.1,73279,1
CP048230.1,73381,7
CP048230.1,73396,3
CP048230.1,73400,2
CP048230.1,73407,2
CP048230.1,73417,4
CP048230.1,73427,2
CP048230.1,73429,2
CP048230.1,73434,1
CP048230.1,73436,1
CP048230.1,73458,1
CP048230.1,73466,2
CP048230.1,73717,1
CP048230.1,73773,10
CP048230.1,73780,10
CP048230.1,74675,1
CP048230.1,74682,1
CP048230.1,75235,1
CP048230.1,75292,1
CP048230.1,75809,2
CP048230.1,75810,1
CP048230.1,75946,1
CP048230.1,76956,1
CP048230.1,77155,1
CP048230.1,77854,1
CP048230.1,77861,1
CP048230.1,77948,1
CP048230.1,77995,2
CP048230.1,78016,1
CP048230.1,78023,2
CP048230.1,78039,1
CP048230.1,78087,7
CP048230.1,78094,5
CP048230.1,78147,1
CP048230.1,78225,1
CP048230.1,78232,2
CP048230.1,78347,3
CP048230.1,78354,1
CP048230.1,78361,1
CP048230.1,78379,2
CP048230.1,78396,1
CP048230.1,78415,3
CP048230.1,78422,2
CP048230.1,78429,2
CP048230.1,78438,8
CP048230.1,78445,6
CP048230.1,78478,1
CP048230.1,78522,4
CP048230.1,78526,1
CP048230.1,78531,7
CP048230.1,78621,3
CP048230.1,78629,3
CP048230.1,78636,3
CP048230.1,78665,2
CP048230.1,78681,1
CP048230.1,78699,3
CP048230.1,78720,1
CP048230.1,78761,1
CP048230.1,78767,1
CP048230.1,78855,1
CP048230.1,78894,3
CP048230.1,78899,1
CP048230.1,78901,1
CP048230.1,78907,1
CP048230.1,78921,1
CP048230.1,78927,2
CP048230.1,79045,2
CP048230.1,79109,2
CP048230.1,79116,2
CP048230.1,79117,1
CP048230.1,79130,1
CP048230.1,79195,1
CP048230.1,79223,2
CP048230.1,79338,1
CP048230.1,79461,1
CP048230.1,79511,1
CP048230.1,79759,4
CP048230.1,79983,1
CP048230.1,80158,2
CP048230.1,84035,2
CP048230.1,84071,4
CP048230.1,84078,4
CP048230.1,84174,4
CP048230.1,84187,1
CP048230.1,84203,2
CP048230.1,85423,1
CP048230.1,86029,5
CP048230.1,86036,1
CP048230.1,86208,1
CP048230.1,86210,4
CP048230.1,86212,1
CP048230.1,86215,1
CP048230.1,86221,1
CP048230.1,86313,2
CP048230.1,86350,1
CP048230.1,86445,1
CP048230.1,86529,1
CP048230.1,86531,1
CP048230.1,86538,1
CP048230.1,87371,1
CP048230.1,87550,1
CP048230.1,87557,5
CP048230.1,87665,2
CP048230.1,88297,1
CP048230.1,88541,1
CP048230.1,89294,1
CP048230.1,91159,2
CP048230.1,91206,1
CP048230.1,91220,1
CP048230.1,92108,2
CP048230.1,92897,1
CP048230.1,92918,1
CP048230.1,93033,2
CP048230.1,93047,1
CP048230.1,93204,1
CP048230.1,93369,1
CP048230.1,93931,1
CP048230.1,94809,2
CP048230.1,94884,1
CP048230.1,95034,1
CP048230.1,95041,1
CP048230.1,95052,1
CP048230.1,95058,1
CP048230.1,95113,5
CP048230.1,95119,1
CP048230.1,95120,4
CP048230.1,95140,1
CP048230.1,95259,1
CP048230.1,95462,1
CP048230.1,96529,1
CP048230.1,96536,1
CP048230.1,96570,1
CP048230.1,96684,1
CP048230.1,96763,1
CP048230.1,96867,1
CP048230.1,96874,1
CP048230.1,97020,1
