Chromosome,Position,Reads
CP048230.1,26244,46
CP048230.1,31789,42
CP048230.1,31927,5
CP048230.1,31929,23
CP048230.1,31936,9
CP048230.1,32577,3
CP048230.1,33638,12
CP048230.1,33654,13
CP048230.1,33906,2
CP048230.1,33956,26
CP048230.1,39102,23
CP048230.1,39103,121
CP048230.1,39199,95
CP048230.1,39205,69
CP048230.1,39207,289
CP048230.1,39216,2
CP048230.1,39231,2
CP048230.1,39235,192
CP048230.1,39241,84
CP048230.1,39242,378
CP048230.1,39266,83
CP048230.1,39272,1304
CP048230.1,39279,1563
CP048230.1,39283,281
CP048230.1,39287,34
CP048230.1,39290,67
CP048230.1,39291,14
CP048230.1,39379,49
CP048230.1,39407,108
CP048230.1,39439,25
CP048230.1,39446,61
CP048230.1,39453,69
CP048230.1,39455,46
CP048230.1,39462,74
CP048230.1,39480,1
CP048230.1,39523,33
CP048230.1,39565,22
CP048230.1,39574,222
CP048230.1,39588,113
CP048230.1,39659,14
CP048230.1,39666,497
CP048230.1,39690,126
CP048230.1,39943,4
CP048230.1,40538,80
CP048230.1,41121,9
CP048230.1,41221,96
CP048230.1,43314,293
CP048230.1,43321,95
CP048230.1,43356,11
CP048230.1,43450,161
CP048230.1,43493,105
CP048230.1,43522,89
CP048230.1,44773,1
CP048230.1,45436,95
CP048230.1,45443,70
CP048230.1,45472,3
CP048230.1,45518,10
CP048230.1,45889,54
CP048230.1,46032,32
CP048230.1,46394,89
CP048230.1,46910,108
CP048230.1,47272,29
CP048230.1,47445,11
CP048230.1,47452,108
CP048230.1,47521,3
CP048230.1,47700,20
CP048230.1,47882,10
CP048230.1,47976,137
CP048230.1,48134,11
CP048230.1,48224,100
CP048230.1,48538,1
CP048230.1,48794,5
CP048230.1,48798,74
CP048230.1,48975,269
CP048230.1,49147,160
CP048230.1,49339,40
CP048230.1,49393,8
CP048230.1,49461,41
CP048230.1,50362,3
CP048230.1,50369,193
CP048230.1,50503,151
CP048230.1,50510,218
CP048230.1,50558,133
CP048230.1,50869,74
CP048230.1,50919,117
CP048230.1,51017,3
CP048230.1,51024,1
CP048230.1,51046,32
CP048230.1,51102,114
CP048230.1,51109,18
CP048230.1,51128,156
CP048230.1,51135,43
CP048230.1,51149,340
CP048230.1,51156,156
CP048230.1,51160,164
CP048230.1,51172,11
CP048230.1,51236,1508
CP048230.1,51243,1839
CP048230.1,51330,5
CP048230.1,51425,10
CP048230.1,51467,392
CP048230.1,51473,63
CP048230.1,51482,5
CP048230.1,51499,130
CP048230.1,51512,6
CP048230.1,51513,6
CP048230.1,51519,4
CP048230.1,51529,149
CP048230.1,51535,383
CP048230.1,51549,629
CP048230.1,51556,230
CP048230.1,51560,58
CP048230.1,51563,213
CP048230.1,51596,212
CP048230.1,51625,169
CP048230.1,51632,411
CP048230.1,51658,18
CP048230.1,51675,3
CP048230.1,51700,355
CP048230.1,51713,215
CP048230.1,51720,230
CP048230.1,51721,122
CP048230.1,51736,613
CP048230.1,51764,221
CP048230.1,51765,11
CP048230.1,51772,690
CP048230.1,52037,820
CP048230.1,52067,173
CP048230.1,52108,144
CP048230.1,52239,207
CP048230.1,52242,7
CP048230.1,52265,2
CP048230.1,52471,62
CP048230.1,54622,114
CP048230.1,54919,59
CP048230.1,55042,133
CP048230.1,55250,6
CP048230.1,55256,8
CP048230.1,55269,2
CP048230.1,55281,311
CP048230.1,55347,34
CP048230.1,55350,68
CP048230.1,57014,23
CP048230.1,57022,101
CP048230.1,57086,104
CP048230.1,58830,45
CP048230.1,58837,17
CP048230.1,58845,8
CP048230.1,58940,105
CP048230.1,58977,177
CP048230.1,58981,14
CP048230.1,58984,160
CP048230.1,58996,165
CP048230.1,58999,89
CP048230.1,59007,54
CP048230.1,59014,151
CP048230.1,59046,280
CP048230.1,59053,189
CP048230.1,59138,13
CP048230.1,59140,81
CP048230.1,59194,48
CP048230.1,59257,2
CP048230.1,59263,102
CP048230.1,59283,24
CP048230.1,59571,45
CP048230.1,59578,120
CP048230.1,59612,5
CP048230.1,59643,16
CP048230.1,59718,23
CP048230.1,59869,31
CP048230.1,60038,108
CP048230.1,60145,8
CP048230.1,60428,2
CP048230.1,60439,78
CP048230.1,60636,4
CP048230.1,60881,2
CP048230.1,60936,1
CP048230.1,60949,72
CP048230.1,60952,62
CP048230.1,60959,4
CP048230.1,60981,57
CP048230.1,61053,79
CP048230.1,61060,2
CP048230.1,61087,7
CP048230.1,61088,148
CP048230.1,61098,5
CP048230.1,61106,60
CP048230.1,61110,128
CP048230.1,61111,19
CP048230.1,61112,54
CP048230.1,61113,121
CP048230.1,61114,93
CP048230.1,61117,11
CP048230.1,61119,68
CP048230.1,61121,22
CP048230.1,61153,61
CP048230.1,61154,2
CP048230.1,61158,54
CP048230.1,61185,11
CP048230.1,61187,84
CP048230.1,61198,47
CP048230.1,61269,79
CP048230.1,61300,128
CP048230.1,61361,210
CP048230.1,61368,9
CP048230.1,61369,167
CP048230.1,61377,319
CP048230.1,61378,29
CP048230.1,61384,163
CP048230.1,61404,131
CP048230.1,61406,36
CP048230.1,61467,15
CP048230.1,61477,58
CP048230.1,61481,64
CP048230.1,61482,100
CP048230.1,61536,279
CP048230.1,61541,69
CP048230.1,61578,8
CP048230.1,61592,115
CP048230.1,61603,78
CP048230.1,61605,242
CP048230.1,61612,215
CP048230.1,61614,398
CP048230.1,61619,106
CP048230.1,61621,1743
CP048230.1,61624,19
CP048230.1,61633,44
CP048230.1,61634,181
CP048230.1,61644,20
CP048230.1,61686,159
CP048230.1,61690,8
CP048230.1,61699,189
CP048230.1,61701,44
CP048230.1,61703,236
CP048230.1,61721,14
CP048230.1,61738,3
CP048230.1,61752,75
CP048230.1,61796,6
CP048230.1,61798,249
CP048230.1,61808,84
CP048230.1,61815,425
CP048230.1,61819,198
CP048230.1,61863,12
CP048230.1,61903,55
CP048230.1,61986,94
CP048230.1,62006,134
CP048230.1,62099,34
CP048230.1,62106,58
CP048230.1,62211,105
CP048230.1,62262,132
CP048230.1,62379,107
CP048230.1,63259,142
CP048230.1,63444,3
CP048230.1,64408,60
CP048230.1,64665,49
CP048230.1,64949,5
CP048230.1,65317,85
CP048230.1,65386,2
CP048230.1,65554,4
CP048230.1,65561,1
CP048230.1,65606,9
CP048230.1,65766,19
CP048230.1,65807,5
CP048230.1,65837,77
CP048230.1,65974,39
CP048230.1,66283,74
CP048230.1,66913,81
CP048230.1,67286,80
CP048230.1,67779,18
CP048230.1,67819,13
CP048230.1,67965,74
CP048230.1,68663,212
CP048230.1,68665,76
CP048230.1,68767,14
CP048230.1,68778,1
CP048230.1,68779,208
CP048230.1,68794,26
CP048230.1,68813,41
CP048230.1,68840,17
CP048230.1,68849,6
CP048230.1,68931,21
CP048230.1,68943,15
CP048230.1,68950,29
CP048230.1,68956,151
CP048230.1,68963,3
CP048230.1,69019,3
CP048230.1,69026,215
CP048230.1,69066,165
CP048230.1,69073,3
CP048230.1,69126,4
CP048230.1,69149,18
CP048230.1,69174,92
CP048230.1,69237,51
CP048230.1,69303,1
CP048230.1,69420,111
CP048230.1,69439,55
CP048230.1,69449,204
CP048230.1,69522,319
CP048230.1,69544,123
CP048230.1,69650,2
CP048230.1,69688,20
CP048230.1,72554,2
CP048230.1,72659,326
CP048230.1,72666,213
CP048230.1,72675,79
CP048230.1,72712,290
CP048230.1,72791,258
CP048230.1,72823,38
CP048230.1,72831,27
CP048230.1,72908,47
CP048230.1,72934,280
CP048230.1,72935,2
CP048230.1,72939,190
CP048230.1,72950,2
CP048230.1,72959,203
CP048230.1,72969,205
CP048230.1,73089,230
CP048230.1,73096,386
CP048230.1,73108,377
CP048230.1,73115,269
CP048230.1,73141,4
CP048230.1,73148,398
CP048230.1,73155,204
CP048230.1,73179,99
CP048230.1,73200,196
CP048230.1,73219,250
CP048230.1,73224,205
CP048230.1,73230,222
CP048230.1,73239,150
CP048230.1,73246,140
CP048230.1,73272,233
CP048230.1,73274,220
CP048230.1,73281,23
CP048230.1,73347,13
CP048230.1,73399,44
CP048230.1,73400,60
CP048230.1,73417,2
CP048230.1,73427,245
CP048230.1,73429,117
CP048230.1,73436,216
CP048230.1,73458,215
CP048230.1,73466,912
CP048230.1,73597,117
CP048230.1,73737,296
CP048230.1,73746,15
CP048230.1,73753,5
CP048230.1,74080,23
CP048230.1,74675,276
CP048230.1,74692,95
CP048230.1,74703,47
CP048230.1,75235,9
CP048230.1,75283,37
CP048230.1,75292,154
CP048230.1,75623,2
CP048230.1,75709,59
CP048230.1,75753,56
CP048230.1,75809,105
CP048230.1,75863,64
CP048230.1,75865,5
CP048230.1,75872,16
CP048230.1,75907,2
CP048230.1,75912,51
CP048230.1,75945,6
CP048230.1,75946,145
CP048230.1,76006,1
CP048230.1,76017,255
CP048230.1,76201,77
CP048230.1,76372,66
CP048230.1,76427,49
CP048230.1,76803,117
CP048230.1,77212,88
CP048230.1,77889,173
CP048230.1,77995,151
CP048230.1,78002,160
CP048230.1,78016,38
CP048230.1,78023,646
CP048230.1,78035,139
CP048230.1,78039,233
CP048230.1,78062,108
CP048230.1,78064,134
CP048230.1,78066,40
CP048230.1,78071,136
CP048230.1,78073,43
CP048230.1,78079,44
CP048230.1,78086,139
CP048230.1,78087,480
CP048230.1,78094,751
CP048230.1,78095,133
CP048230.1,78122,82
CP048230.1,78147,4
CP048230.1,78188,65
CP048230.1,78194,209
CP048230.1,78219,11
CP048230.1,78225,91
CP048230.1,78232,268
CP048230.1,78234,16
CP048230.1,78278,42
CP048230.1,78286,16
CP048230.1,78300,64
CP048230.1,78302,204
CP048230.1,78323,49
CP048230.1,78327,52
CP048230.1,78332,26
CP048230.1,78347,403
CP048230.1,78354,497
CP048230.1,78361,228
CP048230.1,78372,41
CP048230.1,78379,137
CP048230.1,78396,230
CP048230.1,78415,953
CP048230.1,78429,344
CP048230.1,78437,152
CP048230.1,78438,739
CP048230.1,78445,470
CP048230.1,78466,4
CP048230.1,78473,37
CP048230.1,78477,2
CP048230.1,78478,48
CP048230.1,78484,19
CP048230.1,78486,109
CP048230.1,78507,24
CP048230.1,78522,490
CP048230.1,78524,400
CP048230.1,78529,293
CP048230.1,78531,855
CP048230.1,78545,20
CP048230.1,78561,16
CP048230.1,78570,2
CP048230.1,78576,14
CP048230.1,78584,54
CP048230.1,78614,113
CP048230.1,78621,966
CP048230.1,78628,378
CP048230.1,78629,342
CP048230.1,78636,242
CP048230.1,78658,233
CP048230.1,78672,10
CP048230.1,78674,215
CP048230.1,78679,28
CP048230.1,78720,106
CP048230.1,78733,155
CP048230.1,78749,99
CP048230.1,78756,4
CP048230.1,78758,45
CP048230.1,78767,162
CP048230.1,78810,205
CP048230.1,78817,31
CP048230.1,78865,10
CP048230.1,78892,184
CP048230.1,78894,244
CP048230.1,78899,214
CP048230.1,78901,322
CP048230.1,78904,5
CP048230.1,78907,223
CP048230.1,78909,15
CP048230.1,78921,4
CP048230.1,78927,315
CP048230.1,79029,28
CP048230.1,79036,240
CP048230.1,79038,336
CP048230.1,79045,74
CP048230.1,79109,37
CP048230.1,79116,286
CP048230.1,79130,102
CP048230.1,79137,19
CP048230.1,79163,152
CP048230.1,79166,158
CP048230.1,79195,222
CP048230.1,79201,265
CP048230.1,79223,283
CP048230.1,79230,60
CP048230.1,79266,33
CP048230.1,79338,120
CP048230.1,79381,5
CP048230.1,79431,1
CP048230.1,79434,1
CP048230.1,79487,210
CP048230.1,79516,34
CP048230.1,79521,112
CP048230.1,79682,150
CP048230.1,79689,173
CP048230.1,79698,18
CP048230.1,79701,74
CP048230.1,79705,1
CP048230.1,79752,430
CP048230.1,79759,221
CP048230.1,79810,114
CP048230.1,80158,78
CP048230.1,80265,31
CP048230.1,80447,13
CP048230.1,80448,1
CP048230.1,80585,54
CP048230.1,80592,103
CP048230.1,80999,28
CP048230.1,81024,60
CP048230.1,81410,2
CP048230.1,81866,165
CP048230.1,82029,112
CP048230.1,83237,37
CP048230.1,84003,2
CP048230.1,84026,126
CP048230.1,84032,104
CP048230.1,84035,129
CP048230.1,84054,142
CP048230.1,84063,112
CP048230.1,84070,218
CP048230.1,84071,115
CP048230.1,84078,697
CP048230.1,84157,61
CP048230.1,84187,171
CP048230.1,84203,29
CP048230.1,84368,16
CP048230.1,84531,11
CP048230.1,84533,15
CP048230.1,84643,33
CP048230.1,84704,22
CP048230.1,85134,6
CP048230.1,85300,105
CP048230.1,85456,160
CP048230.1,85460,82
CP048230.1,85679,2
CP048230.1,85833,65
CP048230.1,85978,35
CP048230.1,86018,3
CP048230.1,86019,5
CP048230.1,86029,1369
CP048230.1,86036,444
CP048230.1,86045,126
CP048230.1,86089,9
CP048230.1,86098,54
CP048230.1,86156,43
CP048230.1,86198,2
CP048230.1,86200,41
CP048230.1,86207,2
CP048230.1,86208,244
CP048230.1,86209,57
CP048230.1,86210,375
CP048230.1,86212,178
CP048230.1,86215,79
CP048230.1,86217,107
CP048230.1,86219,85
CP048230.1,86230,14
CP048230.1,86279,15
CP048230.1,86281,10
CP048230.1,86320,32
CP048230.1,86350,5
CP048230.1,86357,74
CP048230.1,86358,2
CP048230.1,86365,39
CP048230.1,86453,27
CP048230.1,86529,158
CP048230.1,86538,66
CP048230.1,87294,158
CP048230.1,87315,173
CP048230.1,87382,46
CP048230.1,87389,175
CP048230.1,87428,207
CP048230.1,87465,30
CP048230.1,87488,265
CP048230.1,87535,15
CP048230.1,87550,130
CP048230.1,87627,32
CP048230.1,87673,6
CP048230.1,87733,53
CP048230.1,88228,70
CP048230.1,88541,35
CP048230.1,89038,37
CP048230.1,89400,35
CP048230.1,89455,106
CP048230.1,89491,143
CP048230.1,89573,196
CP048230.1,89580,19
CP048230.1,89933,173
CP048230.1,90056,89
CP048230.1,90436,38
CP048230.1,90616,107
CP048230.1,90884,185
CP048230.1,91220,102
CP048230.1,91435,3
CP048230.1,91589,95
CP048230.1,92039,344
CP048230.1,92108,285
CP048230.1,92132,87
CP048230.1,92162,1
CP048230.1,92903,171
CP048230.1,92910,42
CP048230.1,92985,4
CP048230.1,92997,10
CP048230.1,93040,153
CP048230.1,93047,163
CP048230.1,93057,166
CP048230.1,93140,37
CP048230.1,93204,87
CP048230.1,93584,55
CP048230.1,93821,47
CP048230.1,93931,120
CP048230.1,93938,1
CP048230.1,94140,100
CP048230.1,94202,111
CP048230.1,94305,99
CP048230.1,94520,121
CP048230.1,94556,64
CP048230.1,94606,4
CP048230.1,94639,94
CP048230.1,94712,33
CP048230.1,94770,1
CP048230.1,94822,61
CP048230.1,94884,195
CP048230.1,94889,1
CP048230.1,94891,54
CP048230.1,94895,36
CP048230.1,94896,161
CP048230.1,94918,65
CP048230.1,94925,48
CP048230.1,94994,32
CP048230.1,95023,39
CP048230.1,95025,76
CP048230.1,95028,2
CP048230.1,95030,1
CP048230.1,95032,6
CP048230.1,95034,81
CP048230.1,95041,113
CP048230.1,95052,46
CP048230.1,95058,114
CP048230.1,95059,8
CP048230.1,95094,20
CP048230.1,95113,924
CP048230.1,95120,567
CP048230.1,95185,219
CP048230.1,95189,6
CP048230.1,95202,5
CP048230.1,95208,5
CP048230.1,95225,135
CP048230.1,95232,384
CP048230.1,95259,42
CP048230.1,95292,14
CP048230.1,95297,56
CP048230.1,95299,1
CP048230.1,95334,1
CP048230.1,95462,161
CP048230.1,95469,147
CP048230.1,95872,28
CP048230.1,96048,6
CP048230.1,96064,183
CP048230.1,96239,7
CP048230.1,96341,2
CP048230.1,96344,37
CP048230.1,96387,66
CP048230.1,96425,228
CP048230.1,96529,196
CP048230.1,96536,132
CP048230.1,96570,1
CP048230.1,96684,300
CP048230.1,96686,169
CP048230.1,96714,211
CP048230.1,96867,227
CP048230.1,97020,11
CP048230.1,97026,45
CP048230.1,97027,43
CP048230.1,97034,18
CP048230.1,97041,331
CP048230.1,97042,51
CP048230.1,97104,26
CP048230.1,97133,197
CP048230.1,97149,341
CP048230.1,97151,32
CP048230.1,97248,447
CP048230.1,97253,146
CP048230.1,97260,321
CP048230.1,97289,87
CP048230.1,97317,116
CP048230.1,97412,49
CP048230.1,97431,105
CP048230.1,97494,435
CP048230.1,97531,155
CP048230.1,97567,14
CP048230.1,97576,339
CP048230.1,97583,741
CP048230.1,97769,6
CP048230.1,97808,72
CP048230.1,97868,100
CP048230.1,97988,98
CP048230.1,98031,59
CP048230.1,98059,163
CP048230.1,98066,238
CP048230.1,98071,39
CP048230.1,98127,138
CP048230.1,98134,10
CP048230.1,98146,137
CP048230.1,98150,90
CP048230.1,98156,6
CP048230.1,98277,153
CP048230.1,98308,9
CP048230.1,98356,147
CP048230.1,98363,265
CP048230.1,98388,74
CP048230.1,98401,114
CP048230.1,98407,1043
CP048230.1,98414,954
CP048230.1,98613,30
CP048230.1,98635,14
CP048230.1,98648,101
CP048230.1,98653,62
CP048230.1,98655,46
CP048230.1,98670,33
CP048230.1,98680,16
CP048230.1,98682,3
CP048230.1,98769,2
CP048230.1,98771,9
CP048230.1,98778,68
CP048230.1,98795,42
CP048230.1,98839,30
CP048230.1,98846,51
CP048230.1,98848,15
CP048230.1,98854,327
CP048230.1,98855,49
CP048230.1,98861,8
CP048230.1,98879,128
CP048230.1,99007,7
CP048230.1,99107,75
CP048230.1,99149,106
CP048230.1,99151,109
CP048230.1,99156,3
CP048230.1,99158,19
CP048230.1,99160,44
CP048230.1,99184,11
CP048230.1,99205,17
