standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood,sample,feature_id,condition,background,pool
GWK60_A00011,EPA19,ORF,CP048230.1,3287,16984,C,13698,0,0,0,0,0,13698,1,1,-24.541367610545567,0,0,0,0,0,9999,6367,yH298-parent-pool1,GWK60_A00011,parent,yH298,1
GWK60_A00033,EPA24,ORF,CP048230.1,26433,28541,C,2109,0,0,0,0,0,2109,1,0.9999999948794296,-24.541367610545567,0,0,0,0,0,9999,1334.8181818181818,yH298-parent-pool1,GWK60_A00033,parent,yH298,1
GWK60_A00055,GWK60_A00055,ORF,CP048230.1,32665,33504,C,840,1,125,0.00119047619047619,0.25756448412698413,0.06174138652664421,562,0.669047619047619,0.6679378021344546,-17.56408768704565,0,0,0,0,0,840,216.35416666666663,yH298-parent-pool1,GWK60_A00055,parent,yH298,1
GWK60_A00077,GWK60_A00077,ORF,CP048230.1,34115,36385,C,2271,1,36,4.4033465433729e-4,0.07717064969376726,0.00589066218411115,2032,0.8947600176133862,0.8947600167066773,-19.331914244916614,0,0,0,0,0,2271,175.25454545454545,yH298-parent-pool1,GWK60_A00077,parent,yH298,1
GWK60_A00099,GWK60_A00099,ORF,CP048230.1,36888,39068,W,2181,1,6,4.5850527281063e-4,0.06401977012566153,8.6210432990277e-4,2081,0.9541494727189362,0.9541494703407672,-21.73401268848796,0,0,0,0,0,2181,139.6271186440678,yH298-parent-pool1,GWK60_A00099,parent,yH298,1
GWK60_A00121,GWK60_A00121,ORF,CP048230.1,39869,42250,W,2382,5,1059,0.00209907640638119,0.15769566245221034,0.05559100825188982,1029,0.43198992443324935,0.431989924288982,-14.491519061095005,0,0,0,0,0,476.4,75.12621359223301,yH298-parent-pool1,GWK60_A00121,parent,yH298,1
GWK60_A00143,GWK60_A00143,ORF,CP048230.1,42544,43215,C,672,1,411,0.00148809523809523,0.07610329485329484,0.05023876834183549,649,0.9657738095238096,0.9572398453884904,-15.854867083362349,1,0,0,0,0,672,51.14141414141414,yH298-parent-pool1,GWK60_A00143,parent,yH298,1
GWK60_A00165,GWK60_A00165,ORF,CP048230.1,43698,44498,W,801,1,20,0.00124843945068664,0.06175873907615481,0.00192698105186019,712,0.8888888888888888,0.8867128174441776,-20.149050187766807,0,0,0,0,0,801,49.46875,yH298-parent-pool1,GWK60_A00165,parent,yH298,1
GWK60_A00187,GWK60_A00187,ORF,CP048230.1,44808,45404,C,597,0,0,0,0,0,597,1,0.9814761750367006,-24.541367610545567,3,0,0,0,0,9999,46.742574257425744,yH298-parent-pool1,GWK60_A00187,parent,yH298,1
GWK60_A00209,GWK60_A00209,ORF,CP048230.1,45607,47136,W,1530,5,1618,0.00326797385620915,0.17873303167420815,0.09326107695085847,515,0.3366013071895425,0.33660074355388314,-13.880480340243,1,0,0,0,0,306,54.69230769230769,yH298-parent-pool1,GWK60_A00209,parent,yH298,1
GWK60_A00231,GWK60_A00231,ORF,CP048230.1,47685,48254,W,570,6,2136,0.01052631578947368,0.5392712550607287,0.3095596599486561,157,0.2754385964912281,0.2687930835744315,-13.479996417885756,0,0,0,0,0,95,51.23076923076923,yH298-parent-pool1,GWK60_A00231,parent,yH298,1
GWK60_A00253,GWK60_A00253,ORF,CP048230.1,48624,50978,C,2355,15,6478,0.00636942675159235,0.3448073361340742,0.28870585596182113,900,0.3821656050955414,0.3821656049283533,-11.879812168077809,3,0,0,0,0,157,54.13475177304964,yH298-parent-pool1,GWK60_A00253,parent,yH298,1
GWK60_A00275,GWK60_A00275,ORF,CP048230.1,51806,55015,C,3210,11,9107,0.00342679127725856,0.15439704833011367,0.2857122879232258,2150,0.6697819314641744,0.6697819314641178,-11.388449034408945,1,0,0,0,0,291.8181818181818,45.055865921787706,yH298-parent-pool1,GWK60_A00275,parent,yH298,1
GWK60_A00297,SCL1,ORF,CP048230.1,56199,56963,W,765,0,0,0,0,0,765,1,0.9964948127799336,-24.541367610545567,0,0,0,0,0,9999,40.90116279069768,yH298-parent-pool1,GWK60_A00297,parent,yH298,1
GWK60_A00319,ERG4,ORF,CP048230.1,57279,58673,C,1395,0,0,0,0,0,1395,1,0.9999935408088644,-24.541367610545567,0,0,0,0,0,9999,42.861271676300575,yH298-parent-pool1,GWK60_A00319,parent,yH298,1
GWK60_A00341,PDR1,ORF,CP048230.1,62211,65534,W,3324,13,3068,0.00391095066185318,0.15537676348045887,0.09588219328685724,963,0.2897111913357401,0.28971119133573225,-12.957814680079082,0,0,0,0,0,255.69230769230768,39.7286432160804,yH298-parent-pool1,GWK60_A00341,parent,yH298,1
GWK60_A00363,GWK60_A00363,ORF,CP048230.1,65791,68151,C,2361,12,2152,0.00508259212198221,0.1828774184267939,0.07991305700920419,492,0.20838627700127063,0.2083862769154157,-13.469235006378334,0,0,0,0,0,196.75,35.9811320754717,yH298-parent-pool1,GWK60_A00363,parent,yH298,1
GWK60_A00385,PMA1,ORF,CP048230.1,69666,72374,C,2709,2,214,7.3827980804724e-4,0.02276770953063248,0.00567514852965045,2646,0.9767441860465116,0.976744186034114,-16.793174760956106,0,0,0,0,0,1354.5,30.838862559241708,yH298-parent-pool1,GWK60_A00385,parent,yH298,1
GWK60_A00407,GWK60_A00407,ORF,CP048230.1,73476,76844,W,3369,31,14747,0.00920154348471356,0.3026285412750239,0.3143456576569663,594,0.176313446126447,0.17631344612644395,-10.69313590945175,8,0,0,0,0,108.6774193548387,32.888888888888886,yH298-parent-pool1,GWK60_A00407,parent,yH298,1
GWK60_A00429,GWK60_A00429,ORF,CP048230.1,77062,77871,C,810,2,633,0.00246913580246913,0.08581281467687427,0.05772496196029798,659,0.8135802469135802,0.811759577561085,-15.23302858040616,1,0,0,0,0,405,34.754189944134076,yH298-parent-pool1,GWK60_A00429,parent,yH298,1
GWK60_A00451,GWK60_A00451,ORF,CP048230.1,78356,79594,C,1239,87,52703,0.07021791767554479,2.726220246364731,3.5637032530610573,73,0.0589184826472962,0.0589166716469327,-8.855742770819212,2,0,0,0,0,14.241379310344827,38.82513661202186,yH298-parent-pool1,GWK60_A00451,parent,yH298,1
GWK60_A00473,GWK60_A00473,ORF,CP048230.1,79931,81871,W,1941,11,2704,0.00566718186501803,0.2174921781972152,0.10538605428465136,455,0.2344152498712004,0.2344152434307103,-13.13995473183139,0,0,0,0,0,176.45454545454547,38.37748344370861,yH298-parent-pool1,GWK60_A00473,parent,yH298,1
GWK60_A00495,GWK60_A00495,ORF,CP048230.1,81926,83848,C,1923,3,1328,0.0015600624024961,0.0717628705148206,0.06458667031073298,1207,0.6276651066042642,0.6276650859583532,-14.165242221269391,0,0,0,0,0,641,46,yH298-parent-pool1,GWK60_A00495,parent,yH298,1
GWK60_A00517,GWK60_A00517,ORF,CP048230.1,84469,85122,W,654,5,388,0.00764525993883792,0.3827659745694512,0.06738509288420283,324,0.4954128440366973,0.49018094354148944,-15.937741265559376,0,0,0,0,0,130.8,50.06578947368421,yH298-parent-pool1,GWK60_A00517,parent,yH298,1
GWK60_A00539,GWK60_A00539,ORF,CP048230.1,85576,85959,W,384,3,1604,0.0078125,0.3951627994011976,0.49407431199297985,126,0.328125,0.2831550446236773,-13.8930100285359,0,0,0,0,0,128,50.58083832335329,yH298-parent-pool1,GWK60_A00539,parent,yH298,1
GWK60_A00583,GWK60_A00583,ORF,CP048230.1,87402,88226,W,825,9,7890,0.01090909090909091,0.5361818181818182,1.1200472711387317,493,0.5975757575757575,0.5964243876496721,-11.595375186148791,3,0,0,0,0,91.66666666666669,49.15,yH298-parent-pool1,GWK60_A00583,parent,yH298,1
GWK60_A00605,GWK60_A00605,ORF,CP048230.1,89315,91915,W,2601,15,5087,0.00576701268742791,0.3100985255902503,0.26196500514854154,379,0.14571318723567858,0.1457131872302325,-12.22848465526121,0,0,0,0,0,173.4,53.7710843373494,yH298-parent-pool1,GWK60_A00605,parent,yH298,1
GWK60_A00627,GWK60_A00627,ORF,CP048230.1,94544,94834,W,291,7,2656,0.02405498281786941,1.332044673539519,1.2955227364566162,72,0.24742268041237112,0.1764124114026264,-13.16578509805506,1,0,0,0,0,41.57142857142857,55.375,yH298-parent-pool1,GWK60_A00627,parent,yH298,1
GWK60_A00649,GWK60_A00649,ORF,CP048230.1,95979,97628,W,1650,38,23830,0.02303030303030303,1.2321212121212122,1.971775900950327,174,0.10545454545454544,0.10545449226881876,-10.00081573961182,0,0,0,0,0,43.421052631578945,53.5,yH298-parent-pool1,GWK60_A00649,parent,yH298,1
GWK60_A00671,GWK60_A00671,ORF,CP048230.1,98790,102578,W,3789,82,23081,0.0216415940881499,1.1639570687076626,0.861945608114731,358,0.094484032726313,0.09448403272631298,-10.046886995527794,3,0,0,0,0,46.207317073170735,53.78333333333333,yH298-parent-pool1,GWK60_A00671,parent,yH298,1
GWK60_A00693,GWK60_A00693,ORF,CP048230.1,102637,106125,C,3489,0,0,0,0,0,3489,1,0.9999999999999948,-24.541367610545567,2,0,0,0,0,9999,45.714285714285715,yH298-parent-pool1,GWK60_A00693,parent,yH298,1
GWK60_A00715,GWK60_A00715,ORF,CP048230.1,106542,107636,W,1095,4,113,0.00365296803652968,0.13852286728999058,0.00964727345174567,529,0.4831050228310502,0.4830423542878231,-17.708477596380824,3,0,0,0,0,273.75,37.92063492063492,yH298-parent-pool1,GWK60_A00715,parent,yH298,1
GWK60_A00737,GWK60_A00737,ORF,CP048230.1,107762,108751,C,990,0,0,0,0,0,990,1,0.9996293938593735,-24.541367610545567,8,0,0,0,0,9999,37.492063492063494,yH298-parent-pool1,GWK60_A00737,parent,yH298,1
GWK60_A00759,EST2,ORF,CP048230.1,109052,111607,W,2556,9,1637,0.00352112676056338,0.18089788732394368,0.08051382315097765,1001,0.3916275430359938,0.39162754301303776,-13.863647968904557,0,0,0,0,0,284,51.375,yH298-parent-pool1,GWK60_A00759,parent,yH298,1
