feature_id,mean_log2FC,median_log2FC,sd_log2FC,mean_z,max_abs_z,n_pairs,n_enriched_pairs,n_depleted_pairs,pools_enriched,pools_depleted,final_call,standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_F08591,7.414373777819985,7.484873828887269,0.747453714537562,2.2738091782164,3.2233256072982512,4,0,0,,,none,GWK60_F08591,SKN7,ORF,CP048235.1,913126,915018,W,1893,0,0,0,0,1893,1,0.999999955598831,-24.5413676105456,0,0,1786,0.943475964078183,9999,76.0357142857143,NA
GWK60_G07139,6.816686839348662,7.860697636860483,2.5934623603789153,1.9966583500830275,3.2298099761515413,4,0,0,,,none,GWK60_G07139,GWK60_G07139,ORF,CP048236.1,720043,721209,C,1167,0,0,0,0,1167,1,0.999936854132318,-24.5413676105456,0,0,70,0.0599828620394173,9999,133,NA
GWK60_M01903,6.621617824306604,6.7536073120089775,1.3852405377015604,2.0127318726950434,2.5589885810973128,4,0,0,,,none,GWK60_M01903,GWK60_M01903,ORF,CP048242.1,252514,253638,W,1125,2,0.00177777777777777,0.370735042735043,0.0311206772851198,829,0.736888888888889,0.736818072086712,-19.5871713001587,2,30,1075,0.955555555555556,562.5,208.538461538462,NA
GWK60_H00517,6.161402956198357,7.672108067789819,4.209523842412856,1.8950190630871282,4.388892650186422,4,1,0,1,,single_pool_enriched,GWK60_H00517,GWK60_H00517,ORF,CP048237.1,75739,76131,C,393,0,0,0,0,393,1,0.873249419877859,-24.5413676105456,0,0,64,0.162849872773537,9999,113.277777777778,NA
GWK60_F06941,5.436325186041284,6.84456235976149,3.66895889555985,1.8245118113304604,2.8251833574269614,4,0,0,,,none,GWK60_F06941,GWK60_F06941,ORF,CP048235.1,735931,737241,W,1311,0,0,0,0,1311,1,0.999985038270171,-24.5413676105456,0,0,1306,0.996186117467582,9999,92.987012987013,NA
GWK60_H06127,5.422477822288981,7.580076773132896,5.105519167336877,2.0812235582569696,4.046866754768355,4,1,0,2,,single_pool_enriched,GWK60_H06127,GAL11A,ORF,CP048237.1,625195,628494,W,3300,1,0.0003030303030303,0.032568306010929,0.00064661118085584,2673,0.81,0.809999999999972,-21.5413676105456,1,7,2147,0.650606060606061,3300,107.475409836066,NA
GWK60_K03927,5.383452884710558,6.761728364317293,4.401864306401258,1.823450783115601,3.85433850681904,4,1,0,2,,single_pool_enriched,GWK60_K03927,GWK60_K03927,ORF,CP048240.1,385244,385918,C,675,0,0,0,0,675,1,0.991422514586288,-24.5413676105456,0,0,547,0.81037037037037,9999,56.6666666666667,NA
GWK60_D01551,5.3733156432053635,6.2668605351632944,3.6190888448833247,1.733970912952884,3.440917122368364,4,0,0,,,none,GWK60_D01551,GWK60_D01551,ORF,CP048233.1,204090,205427,W,1338,0,0,0,0,1338,1,0.999988578481814,-24.5413676105456,0,0,1321,0.98729446935725,9999,124.840909090909,NA
GWK60_J02915,5.370742779693017,5.1268828321486835,4.868841767365456,1.236444658750637,1.9712355415748064,4,0,0,,,none,GWK60_J02915,GWK60_J02915,ORF,CP048239.1,321001,323622,W,2622,3,0.0011441647597254,0.0721124894616404,0.070038967400443,1797,0.685354691075515,0.685354691054751,-14.5512636466881,3,1016,2512,0.958047292143402,874,63.0263157894737,NA
GWK60_C01903,5.346208098304553,5.447787025010844,4.928506737656105,1.215982500220159,1.9708654011543516,4,0,0,,,none,GWK60_C01903,KRE29,ORF,CP048232.1,228607,229692,W,1086,2,0.00184162062615101,0.124183827222501,0.0790596361885414,1078,0.992633517495396,0.992492628140687,-15.5413676105456,0,0,982,0.904235727440147,543,67.4318181818182,NA
GWK60_L15169,5.341105983641577,6.9422137275638,3.583552751377236,1.5214008333249347,3.1910124244966966,4,0,0,,,none,GWK60_L15169,GWK60_L15169,ORF,CP048241.1,1578782,1581388,W,2607,0,0,0,0,2607,1,0.999999999964801,-24.5413676105456,0,0,2207,0.84656693517453,9999,129.934782608696,NA
GWK60_F04433,5.311985383607727,6.5295912018178015,4.6449918832218104,1.3030855170197477,1.8294774315314406,4,0,0,,,none,GWK60_F04433,GWK60_F04433,ORF,CP048235.1,502234,502842,W,609,2,0.00328407224958949,0.247876061969015,0.00077047765731297,312,0.512315270935961,0.503880694308275,-22.9564051098244,2,2,328,0.538587848932677,304.5,75.4782608695652,NA
GWK60_A03707,5.252301863645701,6.477301621495927,3.6603874392085154,1.7332206125894074,3.151245335093748,4,0,0,,,none,GWK60_A03707,GWK60_A03707,ORF,CP048230.1,405826,407256,W,1431,0,0,0,0,1431,1,0.999995493566459,-24.5413676105456,0,0,1360,0.950384346610762,9999,77.8271604938272,NA
GWK60_K07491,5.204864282898945,6.193188275760491,3.4697331990535574,1.6093640357136934,3.5521601458631884,4,1,0,1,,single_pool_enriched,GWK60_K07491,GWK60_K07491,ORF,CP048240.1,769704,770351,C,648,1,0.0015432098765432,0.177815924538771,0.00729058523304716,355,0.547839506172839,0.541700194067509,-20.734012688488,1,13,194,0.299382716049383,648,115.224719101124,NA
