Chromosome,Strand,Position,Reads,Gene
I,C,10116,1,nan
I,C,12754,16,nan
I,C,13886,1,nan
I,C,14120,1,nan
I,C,14189,6,nan
I,C,14500,1,nan
I,C,14560,3,nan
I,C,14850,2,nan
I,C,14966,1,nan
I,C,15128,1,nan
I,C,15235,1,nan
I,C,15267,1,nan
I,C,15434,3,nan
I,C,15450,1,nan
I,C,15653,5,nan
I,C,15786,51,nan
I,C,15795,3,nan
I,C,18506,4,nan
I,C,18508,2,nan
I,C,20588,1,nan
I,C,22182,3,nan
I,C,23100,5,nan
I,C,23160,1,nan
I,C,26967,1,nan
I,C,28243,1,nan
I,C,31609,1,nan
I,C,32769,55,nan
I,C,33619,2,nan
I,C,34121,1,nan
I,C,35822,87,nan
I,C,41790,11,nan
I,C,42554,5,nan
I,C,43375,1,nan
I,C,49297,2,nan
I,C,49327,1,nan
I,C,49356,1,nan
I,C,49481,21,nan
I,C,49635,69,nan
I,C,49666,5,nan
I,C,49670,2,nan
I,C,49693,1,nan
I,C,49724,1,nan
I,C,49731,2,nan
I,C,49740,12,nan
I,C,49752,1,nan
I,C,49831,3,nan
I,C,49971,4,nan
I,C,50063,1,nan
I,C,50130,1,nan
I,C,50132,3,nan
I,C,50149,1,nan
I,C,50151,6,nan
I,C,50153,13,nan
I,C,50203,1,nan
I,C,50208,66,nan
I,C,50363,1,nan
I,C,50461,1,nan
I,C,50480,1,nan
I,C,50531,2,nan
I,C,50584,2,nan
I,C,50642,43,nan
I,C,50650,2,nan
I,C,50699,2,nan
I,C,50773,9,nan
I,C,50858,31,nan
I,C,50880,1,nan
I,C,50935,1,nan
I,C,51065,1,nan
I,C,51094,218,nan
I,C,51096,14,nan
I,C,51098,5,nan
I,C,51103,1,nan
I,C,51111,34,nan
I,C,51145,1,nan
I,C,51247,3,nan
I,C,51316,5,nan
I,C,51328,6,nan
I,C,51377,2,nan
I,C,51378,6,nan
I,C,51400,2,nan
I,C,51433,3,nan
I,C,51490,3,nan
I,C,51504,3,nan
I,C,51506,1,nan
I,C,51509,5,nan
I,C,51557,2,nan
I,C,51662,8,nan
I,C,51663,1,nan
I,C,51667,2,nan
I,C,51682,14,nan
I,C,51692,1,nan
I,C,51711,8,nan
I,C,51714,6,nan
I,C,51785,1,nan
I,C,51964,3,nan
I,C,51967,319,nan
I,C,51971,40,nan
I,C,51974,18,nan
I,C,51979,3,nan
I,C,51987,8,nan
I,C,51992,1,nan
I,C,51996,9,nan
I,C,52000,12,nan
I,C,52001,1,nan
I,C,52002,53,nan
I,C,52004,1,nan
I,C,52018,1,nan
I,C,52102,15,nan
I,C,52104,1,nan
I,C,52129,21,nan
I,C,52143,2,nan
I,C,52166,1,nan
I,C,52183,3,nan
I,C,52236,1,nan
I,C,52244,2,nan
I,C,52262,2,nan
I,C,52266,3,nan
I,C,52317,1,nan
I,C,52338,1,nan
