Standard name,Common name,Type,Sc ortholog,Sc ortholog gene name,Sc SGDID,Essential in Sc,Sc synthetic lethals,Sc fitness,Hits,Reads,Length,Insertion index,Neighborhood index,Reads NI,Max free region,Freedom index,Logit FI,Kornmann FI,Domain ratio,Hits in domains,Reads in domains,Domain coverage
GWK60_A00011,EPA19,ORF,,,,,,,0,0,13698,0.0,0.0,0.0,13698,1.0,1.0,0.0,0.0,0,0,0
GWK60_A00033,EPA24,ORF,,,,,,,1,254,2109,0.000474158368895211,0.25785434557364384,0.26155377931430995,1328,0.6296823138928402,0.6296823106685077,0.0,0.0,0,0,0
GWK60_A00055,GWK60_A00055,ORF,,,,,,,3,717,840,0.0035714285714285713,0.4694846292947559,0.11690060776644888,287,0.3416666666666667,0.3410999096309404,0.0,0.0,0,0,0
GWK60_A00077,GWK60_A00077,ORF,YGL023C,PIB2,S000002991,,,0.8708,3,3374,2271,0.001321003963011889,0.1414795244385733,0.18256237046062557,2032,0.8947600176133862,0.8947600167066773,0.0,0.0,0,0,0
GWK60_A00099,GWK60_A00099,ORF,YGL022W,STT3,S000002990,,,,1,8,2181,0.0004585052728106373,0.03893986017952609,0.00037257051352336155,2081,0.9541494727189362,0.9541494703407672,0.0,0.0,0,0,0
GWK60_A00121,GWK60_A00121,ORF,YBL009W,ALK2,S000000105,,No,1.0150,14,7355,2382,0.005877413937867338,0.28424643157010915,0.11738523508605919,1029,0.43198992443324935,0.43198992428898203,0.20749167538769403,0.0,0,0,0
GWK60_A00143,GWK60_A00143,ORF,YGL020C,GET1,S000002988,,,0.9325,2,544,672,0.002976190476190476,0.0991345551378446,0.020223316199987407,614,0.9136904761904762,0.9056167412458137,0.0,0.0,0,0,0
GWK60_A00165,GWK60_A00165,ORF,YGL019W,CKB1,S000002987,,No,0.8682,3,603,801,0.003745318352059925,0.1209967132920584,0.017882960281520484,567,0.7078651685393258,0.7061322577118662,0.0,0.0,0,0,0
GWK60_A00187,GWK60_A00187,ORF,YGL018C,JAC1,S000002986,,,,0,0,597,0.0,0.0,0.0,597,1.0,0.9814761750367006,0.0,0.0,0,0,0
GWK60_A00209,GWK60_A00209,ORF,YGL017W,ATE1,S000002985,,,1.0025,12,4245,1530,0.00784313725490196,0.26713631560408596,0.0746964215412492,378,0.24705882352941178,0.24705840983178218,0.18447262476851786,0.0,0,0,0
GWK60_A00231,GWK60_A00231,ORF,YGL010W,MPO1,S000002978,,,1.0220,13,8020,570,0.02280701754385965,0.7233082706766918,0.3509737854848081,119,0.20877192982456141,0.2037348850022761,0.32479548678057796,0.0,0,0,0
GWK60_A00253,GWK60_A00253,ORF,YGL009C,LEU1,S000002977,,,1.0212,32,27538,2355,0.013588110403397028,0.41821793027874804,0.3568892559242735,666,0.28280254777070063,0.28280254764698143,0.29148374493547974,0.0,0,0,0
GWK60_A00275,GWK60_A00275,ORF,YGL016W,KAP122,S000002984,,,0.9042,21,46332,3210,0.0065420560747663555,0.16910795590702135,0.4006489338881231,684,0.2130841121495327,0.2130841121495147,0.21638708311148716,0.0,0,0,0
GWK60_A00297,SCL1,ORF,YGL011C,SCL1,S000002979,,Yes,,0,0,765,0.0,0.0,0.0,765,1.0,0.9964948127799336,0.0,0.0,0,0,0
GWK60_A00319,ERG4,ORF,YGL012W,ERG4,S000002980,,,0.8460,0,0,1395,0.0,0.0,0.0,1395,1.0,0.9999935408088644,0.0,0.0,0,0,0
GWK60_A00341,PDR1,ORF,YBL005W,PDR3,S000000101,,No,1.0365,23,8238,3324,0.0069193742478941035,0.15856397914159648,0.06373070686405768,620,0.1865222623345367,0.18652226233453165,0.16034032940765483,0.0,0,0,0
GWK60_A00363,GWK60_A00363,ORF,YGL014W,PUF4,S000002982,,,0.9610,22,8492,2361,0.009318085556967387,0.20022072289731613,0.07821652652461629,365,0.15459551037695893,0.1545955103132657,0.19081028532384936,0.0,0,0,0
GWK60_A00385,PMA1,ORF,YGL008C,PMA1,S000002976,,Yes,,3,287,2709,0.0011074197120708748,0.022240679217423405,0.0018790329512512562,2336,0.8623108157991879,0.8623108157882428,0.0,0.0,0,0,0
