feature_id,mean_log2FC,median_log2FC,sd_log2FC,mean_z,max_abs_z,n_pairs,n_enriched_pairs,n_depleted_pairs,pools_enriched,pools_depleted,final_call,standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_D06787,10.334269268441268,9.92741373974738,0.9000929919054131,1.9069004868258617,2.6381997081208106,4,1,0,1,,single_pool_enriched,GWK60_D06787,GWK60_D06787,ORF,CP048233.1,670090,672282,W,2193,0,0,0,0,2193,1,0.999999997789396,-13.0922616248439,0,0,0,0,0,9999,348.25
GWK60_K00627,10.188058985224059,10.027720418239472,0.4868110282454954,1.8248868152480329,2.227075514760009,4,0,0,,,none,GWK60_K00627,GWK60_K00627,ORF,CP048240.1,84771,85997,W,1227,0,0,0,0,1227,1,0.999965343825667,-13.0922616248439,1,0,0,0,0,9999,561.636363636364
GWK60_L13959,8.796951214500085,11.609318900097833,7.037265164540231,1.951483322388776,3.8260731457191905,4,2,0,2;4,,consistently_enriched,GWK60_L13959,GWK60_L13959,ORF,CP048241.1,1457098,1458552,W,1455,0,0,0,0,1455,1,0.999996455110414,-13.0922616248439,0,0,0,0,0,9999,633.285714285714
GWK60_M12375,8.698007610473256,10.52735785398378,4.560532131848313,1.5558762968873836,2.04460158324888,4,0,0,,,none,GWK60_M12375,RHR2,ORF,CP048242.1,1248210,1248959,C,750,0,0,0,0,750,1,0.995929862284104,-13.0922616248439,0,0,0,0,0,9999,538.6
GWK60_G03729,8.490488955533568,10.788505976973372,5.737995012647653,1.6452858089509066,2.5275683558213773,4,1,0,4,,single_pool_enriched,GWK60_G03729,GWK60_G03729,ORF,CP048236.1,387944,390670,C,2727,0,0,0,0,2727,1,0.999999999989398,-13.0922616248439,0,0,0,0,0,9999,531.266666666667
GWK60_L06677,8.488252464447095,10.42705117549169,4.55954914669928,1.4945586635222126,1.9451312416090671,4,0,0,,,none,GWK60_L06677,GWK60_L06677,ORF,CP048241.1,689446,689658,C,213,1,0.00469483568075117,2.25195618153365,2.14959453691848,108,0.507042253521127,0.269976831407655,-12.0922616248439,1,0,0,0,0,213,479.666666666667
GWK60_H01507,8.487285952165799,11.02702842398547,5.673249431874942,1.7331321355018905,2.760670276776278,4,1,0,2,,single_pool_enriched,GWK60_H01507,GWK60_H01507,ORF,CP048237.1,171688,172098,C,411,0,0,0,0,411,1,0.891871333237996,-13.0922616248439,0,0,0,0,0,9999,1112.2
GWK60_L00913,8.216490722931924,10.348397552208647,4.796207268260194,1.58278527800433,2.3266913388125374,4,0,0,,,none,GWK60_L00913,GCY1,ORF,CP048241.1,92536,93468,C,933,0,0,0,0,933,1,0.999344855908037,-13.0922616248439,0,0,0,0,0,9999,3389.5
GWK60_L09955,8.21364439541648,10.879200103186477,5.477094910724412,1.4952100857834745,2.3266913388125374,4,0,0,,,none,GWK60_L09955,GWK60_L09955,ORF,CP048241.1,1031928,1032344,W,417,0,0,0,0,417,1,0.897522966555903,-13.0922616248439,0,0,0,0,0,9999,712.3
GWK60_J03003,8.195906423388061,10.348397552208647,4.741144575927793,1.478184574966488,2.227075514760009,4,0,0,,,none,GWK60_J03003,ALD5,ORF,CP048239.1,331914,333467,W,1554,1,0.00064350064350064,0.374774774774775,0.340704340704341,1092,0.702702702702703,0.702701777101806,-12.0922616248439,0,0,0,0,0,1554,582.4
