sample,track_name,track_source,chromosome,position,read_count,strand,source_file,displayed_region_start,displayed_region_end,gene_start,gene_end,in_display_region,in_gene,region_class
yH298-parent-pool1,yH298-parent-pool1,raw,CP048236.1,394102,42,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,392627,396330,393627,395330,True,True,gene_body
yH298-parent-pool1,yH298-parent-pool1,raw,CP048236.1,394454,1402,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,392627,396330,393627,395330,True,True,gene_body
yH298-parent-pool1,yH298-parent-pool1,raw,CP048236.1,394741,848,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,392627,396330,393627,395330,True,True,gene_body
yH298-parent-pool1,yH298-parent-pool1,raw,CP048236.1,395670,521,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,392627,396330,393627,395330,True,False,right_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048236.1,395694,837,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,392627,396330,393627,395330,True,False,right_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048236.1,396138,122,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,392627,396330,393627,395330,True,False,right_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048236.1,396151,4,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,392627,396330,393627,395330,True,False,right_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048236.1,392790,1240,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,392627,396330,393627,395330,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048236.1,392856,1277,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,392627,396330,393627,395330,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048236.1,392964,593,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,392627,396330,393627,395330,True,False,left_flank
