Chromosome	Source	Up feature type	Up feature name	Up gene name	Up feature dist	Down feature type	Down feature name	Down gene name	Down feature dist	IntergenicType	Hit position	Hit count
CP048230.1	W				1260	protein_coding	GWK60_A00011	EPA19	2026	 - -C	1261	131
CP048230.1	C				1773	protein_coding	GWK60_A00011	EPA19	1513	 - -C	1774	846
CP048230.1	W				2176	protein_coding	GWK60_A00011	EPA19	1110	 - -C	2177	24
CP048230.1	W				2655	protein_coding	GWK60_A00011	EPA19	631	 - -C	2656	277
CP048230.1	W				2681	protein_coding	GWK60_A00011	EPA19	605	 - -C	2682	36
CP048230.1	C	protein_coding	GWK60_A00011	EPA19	2211	protein_coding	GWK60_A00033	EPA24	7238	C-C	19195	21
CP048230.1	W	protein_coding	GWK60_A00011	EPA19	3282	protein_coding	GWK60_A00033	EPA24	6167	C-C	20266	115
CP048230.1	C	protein_coding	GWK60_A00011	EPA19	4063	protein_coding	GWK60_A00033	EPA24	5386	C-C	21047	43
CP048230.1	C	protein_coding	GWK60_A00011	EPA19	8991	protein_coding	GWK60_A00033	EPA24	458	C-C	25975	17
CP048230.1	C	protein_coding	GWK60_A00011	EPA19	9260	protein_coding	GWK60_A00033	EPA24	189	C-C	26244	91
CP048230.1	C	protein_coding	GWK60_A00033	EPA24	1091	protein_coding	GWK60_A00055	GWK60_A00055	3033	C-C	29632	440
CP048230.1	W	protein_coding	GWK60_A00033	EPA24	3156	protein_coding	GWK60_A00055	GWK60_A00055	968	C-C	31697	2
CP048230.1	C	protein_coding	GWK60_A00033	EPA24	3210	protein_coding	GWK60_A00055	GWK60_A00055	914	C-C	31751	31
CP048230.1	C;W	protein_coding	GWK60_A00033	EPA24	3248	protein_coding	GWK60_A00055	GWK60_A00055	876	C-C	31789	395
CP048230.1	W	protein_coding	GWK60_A00033	EPA24	3386	protein_coding	GWK60_A00055	GWK60_A00055	738	C-C	31927	11
CP048230.1	W	protein_coding	GWK60_A00033	EPA24	3388	protein_coding	GWK60_A00055	GWK60_A00055	736	C-C	31929	43
CP048230.1	C	protein_coding	GWK60_A00033	EPA24	3395	protein_coding	GWK60_A00055	GWK60_A00055	729	C-C	31936	15
CP048230.1	C	protein_coding	GWK60_A00033	EPA24	3857	protein_coding	GWK60_A00055	GWK60_A00055	267	C-C	32398	10
CP048230.1	W	protein_coding	GWK60_A00033	EPA24	4036	protein_coding	GWK60_A00055	GWK60_A00055	88	C-C	32577	201
CP048230.1	W	protein_coding	GWK60_A00055	GWK60_A00055	0	protein_coding	GWK60_A00055	GWK60_A00055	0	ORF(C)-ORF(C)	32766	109
CP048230.1	C	protein_coding	GWK60_A00055	GWK60_A00055	0	protein_coding	GWK60_A00055	GWK60_A00055	0	ORF(C)-ORF(C)	33227	26
CP048230.1	W	protein_coding	GWK60_A00055	GWK60_A00055	134	protein_coding	GWK60_A00077	GWK60_A00077	477	C-C	33638	262
CP048230.1	C	protein_coding	GWK60_A00055	GWK60_A00055	141	protein_coding	GWK60_A00077	GWK60_A00077	470	C-C	33645	162
CP048230.1	W	protein_coding	GWK60_A00055	GWK60_A00055	143	protein_coding	GWK60_A00077	GWK60_A00077	468	C-C	33647	328
CP048230.1	C	protein_coding	GWK60_A00055	GWK60_A00055	150	protein_coding	GWK60_A00077	GWK60_A00077	461	C-C	33654	30
CP048230.1	C	protein_coding	GWK60_A00055	GWK60_A00055	236	protein_coding	GWK60_A00077	GWK60_A00077	375	C-C	33740	2
CP048230.1	W	protein_coding	GWK60_A00055	GWK60_A00055	343	protein_coding	GWK60_A00077	GWK60_A00077	268	C-C	33847	1
CP048230.1	C	protein_coding	GWK60_A00055	GWK60_A00055	348	protein_coding	GWK60_A00077	GWK60_A00077	263	C-C	33852	1
CP048230.1	W	protein_coding	GWK60_A00055	GWK60_A00055	402	protein_coding	GWK60_A00077	GWK60_A00077	209	C-C	33906	233
CP048230.1	W	protein_coding	GWK60_A00055	GWK60_A00055	452	protein_coding	GWK60_A00077	GWK60_A00077	159	C-C	33956	46
CP048230.1	C	protein_coding	GWK60_A00055	GWK60_A00055	470	protein_coding	GWK60_A00077	GWK60_A00077	141	C-C	33974	5
CP048230.1	C	protein_coding	GWK60_A00055	GWK60_A00055	557	protein_coding	GWK60_A00077	GWK60_A00077	54	C-C	34061	55
CP048230.1	C	protein_coding	GWK60_A00077	GWK60_A00077	0	protein_coding	GWK60_A00077	GWK60_A00077	0	ORF(C)-ORF(C)	36147	16
CP048230.1	C	protein_coding	GWK60_A00077	GWK60_A00077	104	protein_coding	GWK60_A00099	GWK60_A00099	399	C-W	36489	1014
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	33	protein_coding	GWK60_A00121	GWK60_A00121	768	W-W	39101	1
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	34	protein_coding	GWK60_A00121	GWK60_A00121	767	W-W	39102	40
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	35	protein_coding	GWK60_A00121	GWK60_A00121	766	W-W	39103	390
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	79	protein_coding	GWK60_A00121	GWK60_A00121	722	W-W	39147	133
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	131	protein_coding	GWK60_A00121	GWK60_A00121	670	W-W	39199	188
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	137	protein_coding	GWK60_A00121	GWK60_A00121	664	W-W	39205	108
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	139	protein_coding	GWK60_A00121	GWK60_A00121	662	W-W	39207	532
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	148	protein_coding	GWK60_A00121	GWK60_A00121	653	W-W	39216	6
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	163	protein_coding	GWK60_A00121	GWK60_A00121	638	W-W	39231	7
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	167	protein_coding	GWK60_A00121	GWK60_A00121	634	W-W	39235	1459
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	173	protein_coding	GWK60_A00121	GWK60_A00121	628	W-W	39241	928
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	174	protein_coding	GWK60_A00121	GWK60_A00121	627	W-W	39242	2221
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	180	protein_coding	GWK60_A00121	GWK60_A00121	621	W-W	39248	7
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	187	protein_coding	GWK60_A00121	GWK60_A00121	614	W-W	39255	101
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	198	protein_coding	GWK60_A00121	GWK60_A00121	603	W-W	39266	597
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	204	protein_coding	GWK60_A00121	GWK60_A00121	597	W-W	39272	6969
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	211	protein_coding	GWK60_A00121	GWK60_A00121	590	W-W	39279	5957
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	215	protein_coding	GWK60_A00121	GWK60_A00121	586	W-W	39283	765
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	219	protein_coding	GWK60_A00121	GWK60_A00121	582	W-W	39287	91
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	222	protein_coding	GWK60_A00121	GWK60_A00121	579	W-W	39290	1263
CP048230.1	W	protein_coding	GWK60_A00099	GWK60_A00099	223	protein_coding	GWK60_A00121	GWK60_A00121	578	W-W	39291	735
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	309	protein_coding	GWK60_A00121	GWK60_A00121	492	W-W	39377	164
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	311	protein_coding	GWK60_A00121	GWK60_A00121	490	W-W	39379	106
CP048230.1	C	protein_coding	GWK60_A00099	GWK60_A00099	320	protein_coding	GWK60_A00121	GWK60_A00121	481	W-W	39388	16
