feature_id,mean_log2FC,median_log2FC,sd_log2FC,mean_z,max_abs_z,n_pairs,n_enriched_pairs,n_depleted_pairs,pools_enriched,pools_depleted,final_call,standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_J01485,-8.230984592754254,-8.130906137554215,1.284668825455843,-2.8784791205877753,4.824850893760603,4,0,2,,1;2,consistently_depleted,GWK60_J01485,GLM6,ORF,CP048239.1,169003,170037,W,1035,2,0.00193236714975845,0.122968818620993,0.39990270132194,628,0.606763285024155,0.606619882195994,-13.186567266195,2,2618,733,0.708212560386473,517.5,63.6363636363636,NA
GWK60_K01309,-8.197881614231495,-8.100568061339878,0.9724987015980103,-2.6039972699484233,4.0154539481021105,4,0,1,,2,single_pool_depleted,GWK60_K01309,SIR2,ORF,CP048240.1,127714,129273,C,1560,3,0.00192307692307692,0.238056680161943,0.151150573960415,752,0.482051282051282,0.48205068406978,-15.769878141045,3,436,1481,0.949358974358974,520,123.789473684211,NA
GWK60_H09669,-8.13120689964833,-8.102600814522365,0.20717426599259708,-2.6278100356778165,3.642275613911244,4,0,2,,1;2,consistently_depleted,GWK60_H09669,GWK60_H09669,ORF,CP048237.1,964038,965525,C,1488,8,0.0053763440860215,0.159933905494722,0.0216052143664085,737,0.495295698924731,0.495294436659782,-15.0819359919083,8,703,1400,0.940860215053764,186,29.7477064220184,NA
GWK60_J04873,-7.893192269767557,-7.885162244399847,1.8841398984844602,-2.298679784987182,3.451543167348488,4,0,0,,,none,GWK60_J04873,ZAP1,ORF,CP048239.1,502872,505004,W,2133,1,0.00046882325363338,0.0369354586654165,0.103266064289728,2074,0.972339428035631,0.972339424119064,-15.1816180502232,0,0,1051,0.492733239568683,2133,78.7833333333333,NA
GWK60_L01903,-7.743155023066552,-7.733896823807606,1.0040244993171756,-2.4694987277881326,3.426295723690744,4,0,0,,,none,GWK60_L01903,GWK60_L01903,ORF,CP048241.1,182126,183595,W,1470,2,0.00136054421768707,0.099198790627362,0.0615820217723698,1424,0.968707482993197,0.968704527354056,-15.480671678858,1,263,1299,0.883673469387755,735,72.9111111111111,NA
GWK60_K02167,-7.724399563013993,-8.225111515612216,2.0303330632221646,-2.424601039555979,4.439880144168582,4,0,1,,2,single_pool_depleted,GWK60_K02167,GWK60_K02167,ORF,CP048240.1,208069,209136,W,1068,3,0.00280898876404494,0.304307116104869,0.0292781739685503,393,0.367977528089888,0.36791500054276,-18.0335729703469,3,90,1057,0.989700374531835,356,108.333333333333,NA
GWK60_M06985,-7.596637458874147,-7.8175862794136,1.0884612974123253,-2.484833074000475,3.8935302381188386,4,0,1,,1,single_pool_depleted,GWK60_M06985,GWK60_M06985,ORF,CP048242.1,721016,721873,C,858,3,0.00349650349650349,1.08247634718223,1.84038439973538,560,0.652680652680653,0.651776085699723,-14.498340326951,3,1054,373,0.434731934731935,286,309.588235294118,NA
GWK60_G05731,-7.544016960007033,-7.5838267706132925,2.256326398560368,-2.47498905268671,4.255942525332437,4,0,1,,2,single_pool_depleted,GWK60_G05731,GWK60_G05731,ORF,CP048236.1,589143,590081,C,939,8,0.00851970181043663,1.24764947512551,0.913839148946812,356,0.37912673056443,0.378892803680624,-13.7999006241444,8,1711,919,0.978700745473908,117.375,146.442857142857,NA
GWK60_I01991,-7.2590291343497775,-7.831541539353536,1.2836532606612658,-2.3993779697930893,3.534193477245202,4,0,1,,2,single_pool_depleted,GWK60_I01991,BEM2,ORF,CP048238.1,226679,233038,W,6360,4,0.00062893081761006,0.0944763467322942,0.0418085663246885,2446,0.384591194968553,0.384591194968553,-15.276925010319,4,614,6197,0.97437106918239,1590,150.217391304348,NA
GWK60_I02079,-7.225791289774021,-7.45455858363877,1.1268448906181519,-2.2679999654181624,3.6218334608039275,4,0,1,,2,single_pool_depleted,GWK60_I02079,GWK60_I02079,ORF,CP048238.1,237984,240434,W,2451,3,0.00122399020807833,0.300664451827242,0.0706204920024332,1514,0.617707058343533,0.617707058240063,-16.7534650511541,3,220,2166,0.883720930232558,817,245.642857142857,NA
GWK60_D03091,-7.181443076986011,-7.877639539632082,5.67385392395491,-1.7531059774812066,2.2414266523038973,4,0,2,,3;4,consistently_depleted,GWK60_D03091,GWK60_D03091,ORF,CP048233.1,351308,352741,W,1434,7,0.00488145048814504,0.618508491262614,1.93616313951042,713,0.49721059972106,0.497208425295359,-11.3008743866688,7,9677,1315,0.917015341701534,204.857142857143,126.705882352941,NA
GWK60_K05269,-7.178202354509336,-7.746013864886774,2.312804816764977,-2.361010900376144,3.4370552754252195,4,0,0,,,none,GWK60_K05269,GWK60_K05269,ORF,CP048240.1,538183,539403,W,1221,4,0.00327600327600327,0.456738263189876,0.399323556702614,1059,0.867321867321867,0.867289950645936,-14.8444000843113,3,828,960,0.786240786240786,305.25,139.41935483871,NA
GWK60_M06369,-7.143634893846192,-8.136653174996031,2.1984605563320168,-2.476006835301934,3.909729054452793,4,0,2,,1;2,consistently_depleted,GWK60_M06369,GWK60_M06369,ORF,CP048242.1,673604,676270,W,2667,5,0.00187476565429321,0.146160301390898,0.0992507101603429,1774,0.665166854143232,0.665166854130383,-14.1235150956597,5,1367,2611,0.979002624671916,533.4,77.9619047619048,NA
GWK60_F04697,-7.086570201470348,-7.642771186505107,1.4798165348775325,-2.3419449617318677,3.562258775277231,4,0,1,,2,single_pool_depleted,GWK60_F04697,GWK60_F04697,ORF,CP048235.1,531014,531811,W,798,3,0.0037593984962406,0.428159439695128,0.283899415339915,419,0.525062656641604,0.523738213676613,-15.8795895127736,1,399,745,0.933583959899749,266,113.890410958904,NA
GWK60_C00759,-7.054389825784201,-7.172050069190102,2.1201141829812653,-2.6445056212668003,4.402401185762311,4,0,2,,1;2,consistently_depleted,GWK60_C00759,UPC2A,ORF,CP048232.1,119567,122332,C,2766,5,0.00180766449746926,0.293266981412956,0.429274117034293,2267,0.819595083152567,0.819595083146684,-13.4204817677578,5,2226,2605,0.94179320318149,553.2,162.235294117647,NA
GWK60_F07315,-6.99636406248329,-8.320993296297813,3.478204533439348,-2.4208298692970818,3.72730145885856,4,0,2,,1;2,consistently_depleted,GWK60_F07315,GWK60_F07315,ORF,CP048235.1,772857,774371,C,1515,2,0.00132013201320132,0.277647764776478,0.423851496016781,744,0.491089108910891,0.491088153506967,-14.7502047219905,2,885,1492,0.984818481848185,757.5,210.318181818182,NA
GWK60_F02915,-6.981959768499104,-6.773706906948416,1.8051763267606615,-2.0067876918569256,3.0369371170367474,4,0,0,,,none,GWK60_F02915,GWK60_F02915,ORF,CP048235.1,327582,328538,C,957,3,0.00313479623824451,0.33618571549606,0.101921106180032,613,0.640543364681296,0.640213211562591,-15.8654105776038,3,408,931,0.972831765935214,319,107.243243243243,NA
GWK60_M04961,-6.83687175640046,-7.147576301741997,0.9199820353129955,-2.293367276024201,3.5627150908189114,4,0,1,,2,single_pool_depleted,GWK60_M04961,GWK60_M04961,ORF,CP048242.1,553167,555395,W,2229,2,0.00089726334679228,0.205548078360999,0.200717153092469,1333,0.598026020637057,0.59802601971473,-16.2059772558516,2,322,2218,0.995065051592642,1114.5,229.083333333333,NA
GWK60_B01837,-6.83482132424496,-6.6982406326826025,1.7202334856187376,-2.0986173003061626,3.3877458176805906,4,0,0,,,none,GWK60_B01837,GWK60_B01837,ORF,CP048231.1,185308,186300,W,993,2,0.00201409869083585,0.306698614439004,0.35302018638721,767,0.772406847935549,0.772129046395627,-15.2839797678529,1,166,817,0.822759315206445,496.5,152.275862068966,NA
GWK60_H04719,-6.759480473404655,-6.800756481229753,2.348434536422944,-2.0160377288191245,3.2750738469405496,4,0,0,,,none,GWK60_H04719,GWK60_H04719,ORF,CP048237.1,475152,475961,C,810,2,0.00246913580246913,0.401665231122595,0.395780026270982,409,0.504938271604938,0.503808296240491,-15.4672261477931,2,538,796,0.982716049382716,405,162.674418604651,NA
GWK60_J11143,-6.711040459357852,-6.812026082102455,1.8198754838419242,-2.0889264549411775,3.6760090950343365,4,0,1,,2,single_pool_depleted,GWK60_J11143,GWK60_J11143,ORF,CP048239.1,1143831,1146158,C,2328,3,0.00128865979381443,0.251186923494303,0.0293110477577384,1238,0.531786941580756,0.531786941276001,-17.734012688488,2,110,2092,0.898625429553265,776,194.921052631579,NA
GWK60_K09251,-6.687184875583647,-6.56146104781068,1.6876376630522187,-2.237616841452717,3.9301222614480076,4,0,1,,2,single_pool_depleted,GWK60_K09251,GWK60_K09251,ORF,CP048240.1,940685,941470,C,786,2,0.00254452926208651,0.316048082828815,0.460459664743863,726,0.923664122137405,0.921038018306201,-14.3005762783836,2,1209,746,0.94910941475827,393,124.206896551724,NA
GWK60_K10615,-6.638736227996939,-8.7060087418311909,4.430719812308481,-2.5319026265134212,4.276503861979303,4,0,2,,1;2,consistently_depleted,GWK60_K10615,CTA1,ORF,CP048240.1,1062581,1064104,C,1524,7,0.00459317585301837,0.426265660091458,0.241924624195961,818,0.536745406824147,0.536744452472068,-13.9395968221379,7,1553,1504,0.986876640419948,217.714285714286,92.8041237113402,NA
GWK60_L00781,-6.609350133769471,-7.729668304591728,3.4842426112121943,-2.2387791911048294,4.054061695025093,4,0,1,,1,single_pool_depleted,GWK60_L00781,GWK60_L00781,ORF,CP048241.1,79226,82219,W,2994,3,0.00100200400801603,0.104797223312605,0.1538794832977,1807,0.603540414161657,0.603540414161213,-14.260596840415,2,518,2914,0.973279893119572,998,104.587628865979,NA
GWK60_C04873,-6.502582232295875,-8.264670107007335,4.380634011388369,-1.747228459651781,3.3087721653696556,4,0,0,,,none,GWK60_C04873,HST1,ORF,CP048232.1,497567,499096,W,1530,7,0.00457516339869281,0.324943000455996,0.0743673582469511,422,0.275816993464052,0.275816531611143,-15.4120845936006,7,559,1409,0.920915032679738,218.571428571429,71.0232558139535,NA
GWK60_K05489,-6.449196439078437,-6.485521572703673,0.9986047592624048,-1.9786083590333021,2.874106089438777,4,0,0,,,none,GWK60_K05489,GWK60_K05489,ORF,CP048240.1,556606,557898,W,1293,4,0.00309358081979891,0.349059035833978,0.0398241293986483,646,0.499613302397525,0.499604353129264,-17.0656341795792,4,177,1244,0.962103634957463,323.25,112.833333333333,NA
GWK60_K00671,-6.336918113913498,-8.143068076519294,4.300054549799796,-2.2921346304958345,4.275911379990349,4,0,1,,1,single_pool_depleted,GWK60_K00671,GWK60_K00671,ORF,CP048240.1,87278,88165,C,888,2,0.00225225225225225,0.153887033100516,0.420671263736217,436,0.490990990990991,0.490486700011137,-13.5966555495021,2,1970,832,0.936936936936937,444,68.3258426966292,NA
GWK60_B01243,-6.2622804784998145,-8.093163230825006,4.214429055869018,-2.2806849989593148,4.081777061663378,4,0,1,,2,single_pool_depleted,GWK60_B01243,RPD3,ORF,CP048231.1,132641,133942,C,1302,1,0.00076804915514592,0.133640552995392,0.176993358533869,931,0.71505376344086,0.715042057498094,-15.0236982224118,1,732,1273,0.977726574500768,1302,174,NA
GWK60_H00627,-6.254793526906269,-6.112908740826114,2.660515037838194,-1.8839623359316429,3.106834233116103,4,0,0,,,none,GWK60_H00627,GWK60_H00627,ORF,CP048237.1,87543,88853,W,1311,3,0.0022883295194508,0.272120518688024,0.0905989025706481,567,0.432494279176201,0.432487808313644,-15.7469517441955,3,443,1252,0.954996186117468,437,118.916666666667,NA
GWK60_F03245,-6.246578869423589,-7.182786735464154,3.032190032175593,-2.0741992602103814,3.4973628671192767,4,0,1,,2,single_pool_depleted,GWK60_F03245,DAP1,ORF,CP048235.1,361759,362217,C,459,1,0.00217864923747276,0.172320780163917,0.118459712193085,375,0.816993464052288,0.759979752551814,-16.7021638224486,1,228,394,0.85838779956427,459,79.0952380952381,NA
GWK60_M00407,-6.232106457393945,-5.907778620498158,1.8044473795294353,-1.8835712492142047,2.939073765648748,4,0,0,,,none,GWK60_M00407,GWK60_M00407,ORF,CP048242.1,68953,72093,C,3141,4,0.00127347978350843,0.118986262036486,0.0301270885360071,1223,0.389366443807705,0.389366443807639,-16.0335729703469,4,363,3133,0.997453040432983,785.25,93.433962264151,NA
GWK60_J04411,-6.225120507292891,-5.75019468271508,0.9541700267314265,-2.046367915253806,3.3943517576482694,4,0,0,,,none,GWK60_J04411,GWK60_J04411,ORF,CP048239.1,459261,460337,W,1077,1,0.00092850510677808,0.143722816791282,0.713345513063466,1039,0.964716805942433,0.9645669859444,-14.912010990466,1,791,1072,0.99535747446611,1077,154.789473684211,NA
