feature_id,contrast,background,pool,parent_sample,treated_sample,parent_cpm,treated_cpm,A_exp,log2FC,sd_local,z,Zthr,call,standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A00011,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,2.561155197383588,none,GWK60_A00011,EPA19,ORF,CP048230.1,3287,16984,C,13698,0,0,0,0,13698,1,1,-13.0922616248439,0,0,0,0,0,9999,9999
GWK60_A00033,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,2.561155197383588,none,GWK60_A00033,EPA24,ORF,CP048230.1,26433,28541,C,2109,0,0,0,0,2109,1,0.99999999487943,-13.0922616248439,0,0,0,0,0,9999,9999
GWK60_A00055,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,2.561155197383588,none,GWK60_A00055,GWK60_A00055,ORF,CP048230.1,32665,33504,C,840,0,0,0,0,840,1,0.998341198919826,-13.0922616248439,0,0,0,0,0,9999,1298.125
GWK60_A00077,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,2.561155197383588,none,GWK60_A00077,GWK60_A00077,ORF,CP048230.1,34115,36385,C,2271,0,0,0,0,2271,1,0.999999998986646,-13.0922616248439,0,0,0,0,0,9999,1071
GWK60_A00099,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,2.561155197383588,none,GWK60_A00099,GWK60_A00099,ORF,CP048230.1,36888,39068,W,2181,0,0,0,0,2181,1,0.999999997507551,-13.0922616248439,0,0,0,0,0,9999,915.333333333333
GWK60_A00121,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,2.561155197383588,none,GWK60_A00121,GWK60_A00121,ORF,CP048230.1,39869,42250,W,2382,0,0,0,0,2382,1,0.99999999966604,-13.0922616248439,0,0,0,0,0,9999,455.176470588235
GWK60_A00143,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,2.561155197383588,none,GWK60_A00143,GWK60_A00143,ORF,CP048230.1,42544,43215,C,672,0,0,0,0,672,1,0.991163599539392,-13.0922616248439,1,0,0,0,0,9999,297.823529411765
GWK60_A00165,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,2.561155197383588,none,GWK60_A00165,GWK60_A00165,ORF,CP048230.1,43698,44498,W,801,0,0,0,0,801,1,0.9975519196247,-13.0922616248439,0,0,0,0,0,9999,279.352941176471
GWK60_A00187,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,2.561155197383588,none,GWK60_A00187,GWK60_A00187,ORF,CP048230.1,44808,45404,C,597,0,0,0,0,597,1,0.981476175036701,-13.0922616248439,0,0,0,0,0,9999,262.277777777778
GWK60_A00209,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,2.561155197383588,none,GWK60_A00209,GWK60_A00209,ORF,CP048230.1,45607,47136,W,1530,0,0,0,0,1530,1,0.999998325509594,-13.0922616248439,0,0,0,0,0,9999,316
