standard_name	scer_id	scer_gene_name	Orthogroup	score_mean	n_libs
GWK60_A00011				0.8684356405772473	1
GWK60_A00033				0.9619563492063492	1
GWK60_A00055				0.8684356405772473	1
GWK60_A00077	YGL023C	PIB2	OG0001666	0.8684356405772473	1
GWK60_A00099	YGL022W	STT3	OG0001429	0.8684356405772473	1
GWK60_A00121	YBL009W	ALK2	OG0003971	0.8684356405772473	1
GWK60_A00143	YGL020C	GET1	OG0002680	1.0	1
GWK60_A00165	YGL019W	CKB1	OG0002718	0.36	1
GWK60_A00187	YGL018C	JAC1	OG0003340	0.8684356405772473	1
GWK60_A00209	YGL017W	ATE1	OG0002369	0.44	1
GWK60_A00231	YGL010W	MPO1	OG0003594	0.21	1
GWK60_A00253	YGL009C	LEU1	OG0001271	0.38	1
GWK60_A00275	YGL016W	KAP122	OG0002739	0.52	1
GWK60_A00297	YGL011C	SCL1	OG0003435	0.8684356405772473	1
GWK60_A00319	YGL012W	ERG4	OG0000621	0.8684356405772473	1
GWK60_A00341	YBL005W	PDR3	OG0000475	0.52	1
GWK60_A00363	YGL014W	PUF4	OG0000196	0.61	1
GWK60_A00385	YGL008C	PMA1	OG0000587	0.8684356405772473	1
GWK60_A00407	YGL006W	PMC1	OG0002337	0.41	1
GWK60_A00429	YGL005C	COG7	OG0001561	0.29	1
GWK60_A00451	YGL004C	RPN14	OG0003966	0.28	1
GWK60_A00473				0.58	1
GWK60_A00495	YGL003C	CDH1	OG0002756	0.8684356405772473	1
GWK60_A00517	YGL002W	ERP6	OG0000159	0.8684356405772473	1
GWK60_A00539				0.8684356405772473	1
GWK60_A00583				0.24	1
GWK60_A00605	YGR109W	YIL082W	OG0001170	0.3	1
GWK60_A00627				0.3	1
GWK60_A00649	YJL219W	HXT9	OG0000001	0.19	1
GWK60_A00671	YAL002W	VPS8	OG0003331	0.3	1
GWK60_A00693	YAL001C	TFC3	OG0002800	1.0	1
GWK60_A00715	YLR321C	SFH1	OG0000678	1.0	1
GWK60_A00737	YLR316C	TAD3	OG0003776	1.0	1
GWK60_A00759	YLR318W	EST2	OG0003512	0.49	1
GWK60_A00781	YLR319C	BUD6	OG0001690	0.8684356405772473	1
GWK60_A00803	YLR320W	MMS22	OG0004210	0.44	1
GWK60_A00825	YLR323C	CWC24	OG0001673	1.0	1
GWK60_A00847				0.55	1
GWK60_A00869	YLR325C	RPL38	OG0001693	0.8684356405772473	1
GWK60_A00891	YLR326W	YLR326W	OG0003098	0.19	1
GWK60_A00913	YLR328W	NMA1	OG0001047	0.8684356405772473	1
GWK60_A00935	YPL262W	FUM1	OG0000686	0.3	1
GWK60_A00957	YPL263C	KEL3	OG0003308	0.31	1
GWK60_A00979	YPL272C	PBI1	OG0004583	0.27	1
GWK60_A01001	YPL271W	ATP15	OG0004048	0.8684356405772473	1
GWK60_A01023	YPL270W	MDL2	OG0000220	0.34	1
