RDF,1
standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A00011,EPA19,ORF,CP048230.1,3287,16984,C,13698,0,0,0.0,0,0,13698,1.0,1.0,-13.097373768990222,0,0,0,0,0.0,9999,9999
GWK60_A00033,EPA24,ORF,CP048230.1,26433,28541,C,2109,0,0,0.0,0,0,2109,1.0,0.9999999948794296,-13.097373768990222,0,0,0,0,0.0,9999,9999
GWK60_A00055,GWK60_A00055,ORF,CP048230.1,32665,33504,C,840,0,0,0.0,0.0,0.0,840,1.0,0.9983411989198255,-13.097373768990222,0,0,0,0,0.0,9999,1730.8333333333333
GWK60_A00077,GWK60_A00077,ORF,CP048230.1,34115,36385,C,2271,0,0,0.0,0.0,0.0,2271,1.0,0.9999999989866457,-13.097373768990222,0,0,0,0,0.0,9999,1606.5
GWK60_A00099,GWK60_A00099,ORF,CP048230.1,36888,39068,W,2181,0,0,0.0,0.0,0.0,2181,1.0,0.9999999975075509,-13.097373768990222,0,0,0,0,0.0,9999,1176.857142857143
GWK60_A00121,GWK60_A00121,ORF,CP048230.1,39869,42250,W,2382,0,0,0.0,0.0,0.0,2382,1.0,0.99999999966604,-13.097373768990222,0,0,0,0,0.0,9999,515.8666666666667
GWK60_A00143,GWK60_A00143,ORF,CP048230.1,42544,43215,C,672,2,4,0.002976190476190476,1.004563492063492,1.506845238095238,377,0.5610119047619048,0.5560545789082603,-10.77544567410286,1,0,0,0,0.0,336.0,337.53333333333336
GWK60_A00165,GWK60_A00165,ORF,CP048230.1,43698,44498,W,801,0,0,0.0,0.0,0.0,801,1.0,0.9975519196246999,-13.097373768990222,0,0,0,0,0.0,9999,316.6
GWK60_A00187,GWK60_A00187,ORF,CP048230.1,44808,45404,C,597,0,0,0.0,0.0,0.0,597,1.0,0.9814761750367006,-13.097373768990222,0,0,0,0,0.0,9999,314.73333333333335
GWK60_A00209,GWK60_A00209,ORF,CP048230.1,45607,47136,W,1530,0,0,0.0,0.0,0.0,1530,1.0,0.9999983255095944,-13.097373768990222,0,0,0,0,0.0,9999,379.2
GWK60_A00231,GWK60_A00231,ORF,CP048230.1,47685,48254,W,570,0,0,0.0,0.0,0.0,570,1.0,0.9758729785823308,-13.097373768990222,0,0,0,0,0.0,9999,355.2
GWK60_A00253,GWK60_A00253,ORF,CP048230.1,48624,50978,C,2355,2,2,0.0008492569002123143,0.3601321066289219,0.27009907997169147,1738,0.738004246284501,0.7380042459616422,-11.512411268269066,0,0,0,0,0.0,1177.5,424.05555555555554
GWK60_A00275,GWK60_A00275,ORF,CP048230.1,51806,55015,C,3210,2,2,0.0006230529595015577,0.23928200563714586,0.19326623532231008,2275,0.7087227414330218,0.7087227414329619,-11.512411268269066,0,0,0,0,0.0,1605.0,384.04761904761904
GWK60_A00297,SCL1,ORF,CP048230.1,56199,56963,W,765,0,0,0.0,0.0,0.0,765,1.0,0.9964948127799336,-13.097373768990222,0,0,0,0,0.0,9999,351.75
GWK60_A00319,ERG4,ORF,CP048230.1,57279,58673,C,1395,0,0,0.0,0.0,0.0,1395,1.0,0.9999935408088644,-13.097373768990222,0,0,0,0,0.0,9999,370.75
GWK60_A00341,PDR1,ORF,CP048230.1,62211,65534,W,3324,1,1,0.00030084235860409147,0.15856397914159648,0.1486537304452467,1699,0.5111311672683514,0.5111311672683375,-12.097373768990222,0,0,0,0,0.0,3324.0,527.0666666666667
