"gwk60_id","qng_id","cagl_id","gene_name"
"GWK60_A00011","QNG12107.1","CAGL0A00099g","EPA19"
"GWK60_A00033","QNG12108.1","CAGL0A00143g","EPA24"
"GWK60_H03575","QNG14294.1","CAGL0H03795g","LEU2"
"GWK60_K08129","QNG15753.1","CAGL0K08316g","RHO4"
"GWK60_E03597","QNG13204.1","CAGL0E03894g","FPS2"
"GWK60_G05225","QNG13933.1","CAGL0G05423g","HO"
"GWK60_J11693","QNG15392.1","CAGL0J11902g","AWP3a"
"GWK60_J11715","QNG15393.1","CAGL0J11935g","AWP3b"
"GWK60_J11737","QNG15394.1","CAGL0J11968g","EPA15"
"GWK60_J03575","QNG15030.1","CAGL0J03762g","MET7"
"GWK60_K00011","QNG15396.1","CAGL0K00110g","AWP2"
"GWK60_E03751","QNG13211.1","CAGL0E04048g","COF1"
"GWK60_K00055","QNG15398.1","CAGL0K00170g","EPA22"
"GWK60_A00297","QNG12120.1","CAGL0A00407g","SCL1"
"GWK60_A00319","QNG12121.1","CAGL0A00429g","ERG4"
"GWK60_A00341","QNG12122.1","CAGL0A00451g","PDR1"
"GWK60_K08437","QNG15766.1","CAGL0K08624g","HAP4"
"GWK60_A00385","QNG12124.1","CAGL0A00495g","PMA1"
"GWK60_K08481","QNG15768.1","CAGL0K08668g","MET28"
"GWK60_M03509","QNG16862.1","CAGL0M03597g","MID1"
"GWK60_B04103","QNG12491.1","CAGL0B04235g","SCP120"
"GWK60_I01639","QNG14678.1","CAGL0I06182g","PIR2"
"GWK60_I01661","QNG14679.1","CAGL0I06204g","PIR1"
"GWK60_E04015","QNG13223.1","CAGL0E04334g","ERG11"
"GWK60_H04059","QNG14316.1","CAGL0H04257g","MT-II"
"GWK60_H04103","QNG14318.1","CAGL0H04279g","MT-IIB"
"GWK60_I01749","QNG14683.1","CAGL0I06292g","PEX2"
"GWK60_H04147","QNG14320.1","CAGL0H04290g","MT-IIC"
"GWK60_I01793","QNG14685.1","CAGL0I06336g","NUC1"
"GWK60_L12683","QNG16508.1","CAGL0L08668g","HST2"
"GWK60_I01837","QNG14687.1","CAGL0I06380g","RPM2"
"GWK60_K03245","QNG15538.1","CAGL0K03399g","YPK2"
"GWK60_H04257","QNG14325.1","CAGL0H04367g","WAR1"
"GWK60_A00759","QNG12140.1","CAGL0A00869g","EST2"
"GWK60_K00561","QNG15420.1","CAGL0K00715g","RTA1"
"GWK60_D02607","QNG12870.1","CAGL0D02442g","LEM3"
"GWK60_E04301","QNG13236.1","CAGL0E04598g","CDC34"
"GWK60_A00847","QNG12144.1","CAGL0A00957g","PEX23B"
"GWK60_K00649","QNG15424.1","CAGL0K00803g","TRX2"
"GWK60_I02057","QNG14696.1","CAGL0I06578g","YEY2"
"GWK60_K00693","QNG15426.1","CAGL0K00847g","CIR1"
"GWK60_D02739","QNG12876.1","CAGL0D02574g","PEX6"
"GWK60_B04587","QNG12513.1","CAGL0B04741g","PGS1"
"GWK60_H04521","QNG14336.1","CAGL0H04631g","AP1"
"GWK60_H04543","QNG14337.1","CAGL0H04653g","ERG6"
"GWK60_F06523","QNG13609.1","CAGL0F06941g","PYC1"
"GWK60_I02233","QNG14703.1","CAGL0I06743g","FTR1"
"GWK60_L04763","QNG16161.1","CAGL0I05016g","TRP2"
"GWK60_H07337","QNG14462.1","CAGL0H07359g","PHO8"
"GWK60_A01111","QNG12156.1","CAGL0A01199g","DIP5"
"GWK60_J04499","QNG15071.1","CAGL0J04686g","ATG17"
"GWK60_A01155","QNG12158.1","CAGL0A01243g","GIT1"
"GWK60_A01177","QNG12159.1","CAGL0A01284g","EPA10"
"GWK60_A01199","QNG12160.1","CAGL0A01325g","PGD1"
"GWK60_A01221","QNG12161.1","CAGL0A01366g","EPA9"
"GWK60_J04631","QNG15076.1","CAGL0J04818g","CRN1"
"GWK60_A01265","QNG12163.1","CAGL0A01430g","TRP5"
"GWK60_A01287","QNG12164.1","CAGL0A01452g","CWH41"
"GWK60_D03113","QNG12893.1","CAGL0D02948g","KAR2"
"GWK60_L05049","QNG16173.1","CAGL0L01177g","FRDS1"
"GWK60_H04895","QNG14353.1","CAGL0H04983g","PSA1"
"GWK60_E04873","QNG13261.1","CAGL0E05170g","GRE2(A)"
"GWK60_K12309","QNG15933.1","CAGL0K12562g","RIM15"
"GWK60_A01441","QNG12170.1","CAGL0A01628g","MIG1"
