feature_id,mean_log2FC,median_log2FC,sd_log2FC,mean_z,max_abs_z,n_pairs,n_enriched_pairs,n_depleted_pairs,pools_enriched,pools_depleted,final_call,standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_C00869,-11.073023551740325,-11.391492195996001,0.7433145654887223,-2.0662727399029364,2.561155197383588,4,0,1,,2,single_pool_depleted,GWK60_C00869,GWK60_C00869,ORF,CP048232.1,133889,137236,W,3348,1,0.00029868578255675,0.362305854241338,0.362305854241338,2586,0.772401433691756,0.77240143369174,-12.0922616248439,0,0,0,0,0,3348,1213
GWK60_L14201,-10.926804863768337,-10.961834208980147,0.47324042961456264,-2.045896865800394,2.261922949727671,4,0,0,,,none,GWK60_L14201,GWK60_L14201,ORF,CP048241.1,1483347,1485101,C,1755,2,0.00113960113960113,0.412478632478632,0.343732193732194,1118,0.637037037037037,0.637036924606208,-11.5072991241228,0,0,0,0,0,877.5,361.95
GWK60_A03069,-10.823165213020589,-10.891775518556528,0.801149164140548,-2.009029993154779,2.561155197383588,4,0,1,,2,single_pool_depleted,GWK60_A03069,GWK60_A03069,ORF,CP048230.1,339668,340393,C,726,1,0.00137741046831955,1.10315273951638,0.992837465564738,590,0.81267217630854,0.808471918336267,-12.0922616248439,0,0,0,0,0,726,800.888888888889
GWK60_F02189,-10.530847752012784,-10.425876309260389,0.6792093269246545,-1.8434712220592109,1.928239773386791,4,0,0,,,none,GWK60_F02189,GWK60_F02189,ORF,CP048235.1,253535,254683,C,1149,1,0.00087032201914708,0.111041737616831,0.0785833835442191,985,0.857267188859878,0.857202380842541,-12.0922616248439,0,0,0,0,0,1149,127.586956521739
GWK60_H07337,-10.280998776304862,-10.140771419395733,0.4876293912390964,-1.8430582653073446,2.2573146486558957,4,0,0,,,none,GWK60_H07337,PHO8,ORF,CP048237.1,735107,736744,C,1638,1,0.00061050061050061,0.436385836385836,0.290923890923891,1509,0.921245421245421,0.92124489737914,-12.0922616248439,0,0,0,0,0,1638,714.8
GWK60_H03839,-10.03118014846521,-9.962557356765966,0.19227770781541778,-1.7304227194654234,1.8106149104175178,4,0,0,,,none,GWK60_H03839,GWK60_H03839,ORF,CP048237.1,390177,392924,C,2748,1,0.00036390101892285,0.381599841206828,0.299828446662508,1863,0.677947598253275,0.677947598247449,-12.0922616248439,0,0,0,0,0,2748,1048.63636363636
GWK60_B04697,-8.848803998449585,-10.925515905795264,4.824067707522077,-1.6357316226672551,2.261922949727671,4,0,1,,4,single_pool_depleted,GWK60_B04697,GWK60_B04697,ORF,CP048231.1,465840,470462,C,4623,1,0.00021630975556997,0.0548107817223532,0.0881271392398621,4537,0.981397361020982,0.981397361020982,-11.5072991241228,0,0,0,0,0,4623,253.390243902439
GWK60_J02321,-8.83353646779193,-11.099138147259602,5.969351027990651,-1.8313950420968417,3.569082655856251,4,0,1,,1,single_pool_depleted,GWK60_J02321,GWK60_J02321,ORF,CP048239.1,263070,266777,C,3708,7,0.00188781014023732,0.744269147788565,0.562892632781268,1146,0.309061488673139,0.309061488673139,-9.77033352995656,0,0,0,0,0,529.714285714286,394.25
GWK60_G00561,-8.580372283126554,-9.962557356765966,4.9090960261700465,-1.5487482179874892,2.3160222316421897,4,0,1,,3,single_pool_depleted,GWK60_G00561,GWK60_G00561,ORF,CP048236.1,86444,87766,W,1323,1,0.00075585789871504,0.287477954144621,0.199023199023199,1162,0.878306878306878,0.878295223274375,-12.0922616248439,0,0,0,0,0,1323,380.333333333333
GWK60_D06413,-8.55011303381901,-10.754558029147116,5.809265056237634,-1.659895559584517,2.5662733737987016,4,0,2,,1;3,consistently_depleted,GWK60_D06413,GWK60_D06413,ORF,CP048233.1,629683,632229,C,2547,3,0.00117785630153121,0.751786415390656,0.451071849234393,2058,0.808009422850412,0.808009422798589,-11.0922616248439,0,0,0,0,0,849,638.266666666667
GWK60_E02409,-8.402648392392775,-10.421226133213992,4.671778984220316,-1.5331615956571507,2.2573146486558957,4,0,0,,,none,GWK60_E02409,GWK60_E02409,ORF,CP048234.1,270763,272409,W,1647,3,0.00182149362477231,0.418389166072701,0.320765027322404,613,0.372191863995143,0.372191670564401,-11.0922616248439,0,0,0,0,0,549,229.695652173913
GWK60_B03839,-8.291241692462135,-10.640411015930606,5.564875239103602,-1.5065581570662205,2.261922949727671,4,0,0,,,none,GWK60_B03839,GWK60_B03839,ORF,CP048231.1,393055,394686,C,1632,2,0.00122549019607843,0.732843137254902,0.620098039215686,1033,0.63296568627451,0.632965304081338,-11.5072991241228,0,0,0,0,0,816,598
GWK60_G09229,-8.256418780577743,-10.599421469820129,4.932882222937453,-1.49478680894289,2.2573146486558957,4,0,0,,,none,GWK60_G09229,GWK60_G09229,ORF,CP048236.1,920645,921916,C,1272,1,0.00078616352201257,0.631575185820469,1.15788784067086,768,0.60377358490566,0.603760242698929,-11.5072991241228,0,0,0,0,0,1272,803.363636363636
GWK60_G01397,-8.205728182317612,-10.462194612445273,5.527023947100348,-1.534119495987681,2.2573146486558957,4,0,1,,4,single_pool_depleted,GWK60_G01397,NCE103,ORF,CP048236.1,164771,165430,C,660,1,0.00151515151515151,1.27121212121212,1.27121212121212,498,0.754545454545455,0.747036367682245,-12.0922616248439,0,0,0,0,0,660,839
GWK60_A00935,-8.20213817584968,-10.425876309260389,5.528209445390583,-1.6089267091798383,2.796834187157511,4,0,1,,2,single_pool_depleted,GWK60_A00935,GWK60_A00935,ORF,CP048230.1,126050,127501,C,1452,1,0.00068870523415977,0.107456140350877,0.0850694444444444,1274,0.877410468319559,0.877407263273229,-12.0922616248439,1,0,0,0,0,1452,156.026315789474
GWK60_H09185,-8.15282820372189,-10.599519617603924,5.570078576099487,-1.51686763241453,2.561155197383588,4,0,1,,2,single_pool_depleted,GWK60_H09185,SDT1,ORF,CP048237.1,920258,921097,C,840,1,0.00119047619047619,0.362175324675325,0.306456043956044,725,0.863095238095238,0.861663534781992,-12.0922616248439,0,0,0,0,0,840,304.227272727273
GWK60_I05907,-8.098409043663521,-10.425876309260389,5.437421976110819,-1.5500069617363574,2.561155197383588,4,0,1,,2,single_pool_depleted,GWK60_I05907,GWK60_I05907,ORF,CP048238.1,684158,685024,W,867,1,0.00115340253748558,0.783275663206459,0.602519740928045,519,0.598615916955017,0.597857595128077,-12.0922616248439,0,0,0,0,0,867,679.1
GWK60_A01969,-8.056762854995949,-10.099802940164452,4.685018532639384,-1.450261092314165,2.261922949727671,4,0,0,,,none,GWK60_A01969,GWK60_A01969,ORF,CP048230.1,246399,247580,W,1182,2,0.00169204737732656,2.47433728144388,2.47433728144388,611,0.516920473773266,0.516892378819833,-11.5072991241228,0,0,0,0,0,591,1462.33333333333
GWK60_H10483,-8.041337097886501,-10.599421469820129,5.368732722145669,-1.4473623688165391,2.261922949727671,4,0,0,,,none,GWK60_H10483,GWK60_H10483,ORF,CP048237.1,1040353,1042995,C,2643,1,0.00037835792659856,0.54475974271661,0.907932904527683,2595,0.981838819523269,0.981838819499157,-11.5072991241228,0,0,0,0,0,2643,1439.8
GWK60_A00803,-8.039161070965317,-9.921588877534687,5.4768452623819135,-1.3957115564313187,2.17103904467526,4,0,1,,4,single_pool_depleted,GWK60_A00803,GWK60_A00803,ORF,CP048230.1,114196,118476,W,4281,0,0,0,0,4281,1,1,-13.0922616248439,0,0,0,0,0,9999,189.285714285714
GWK60_M10725,-8.006649226629987,-9.921588877534687,4.803124740186032,-1.383588254003496,1.928239773386791,4,0,0,,,none,GWK60_M10725,GWK60_M10725,ORF,CP048242.1,1082616,1084304,W,1689,2,0.00118413262285375,0.60120104880318,0.60120104880318,1592,0.942569567791593,0.942569245930538,-11.5072991241228,0,0,0,0,0,844.5,507.714285714286
GWK60_E01485,-7.937694323987262,-10.140771419395733,5.3306065982333415,-1.3687411938088818,1.9650810784238486,4,0,0,,,none,GWK60_E01485,GWK60_E01485,ORF,CP048234.1,189348,190436,C,1089,1,0.00091827364554637,0.576293235384144,0.493965630329267,869,0.797979797979798,0.797869883697506,-12.0922616248439,0,0,0,0,0,1089,627.583333333333
GWK60_G00319,-7.937694323987262,-10.140771419395733,5.3306065982333415,-1.3687411938088818,1.9650810784238486,4,0,0,,,none,GWK60_G00319,GWK60_G00319,ORF,CP048236.1,61562,64681,W,3120,1,0.00032051282051282,0.110143288084465,0.0814102564102564,2816,0.902564102564103,0.902564102563915,-12.0922616248439,0,0,0,0,0,3120,343.647058823529
GWK60_K03091,-7.93542531486232,-9.921588877534687,5.371823058065553,-1.3700889014818312,2.06854842487731,4,0,1,,4,single_pool_depleted,GWK60_K03091,GWK60_K03091,ORF,CP048240.1,303853,305283,C,1431,0,0,0,0,1431,1,0.999995493566459,-13.0922616248439,0,0,0,0,0,9999,433.916666666667
GWK60_H05247,-7.848601339666915,-9.921588877534687,5.288578076770417,-1.4945201387121791,2.5662733737987016,4,0,1,,1,single_pool_depleted,GWK60_H05247,GWK60_H05247,ORF,CP048237.1,528765,530216,C,1452,1,0.00068870523415977,1.58723599632691,4.76170798898072,1379,0.949724517906336,0.949721048707836,-11.0922616248439,0,0,0,0,0,1452,2304.66666666667
GWK60_H00143,-7.830728102028638,-9.921588877534687,4.903227598097013,-1.4408760548301212,2.261922949727671,4,0,0,,,none,GWK60_H00143,GWK60_H00143,ORF,CP048237.1,30683,38590,C,7908,1,0.00012645422357106,0.0755807167036302,0.115594037311434,4204,0.531613555892767,0.531613555892767,-11.5072991241228,0,0,0,0,0,7908,597.692307692308
GWK60_F06523,-7.830698797295857,-10.425897376139586,6.268345890970187,-1.6006184710087266,2.796834187157511,4,0,1,,2,single_pool_depleted,GWK60_F06523,PYC1,ORF,CP048235.1,694563,698105,W,3543,2,0.00056449336720293,0.501622918430708,0.334415278953806,1568,0.442562799887101,0.4425627998871,-11.5072991241228,0,0,0,0,0,1771.5,888.625
GWK60_G00363,-7.830667595448375,-9.921588877534687,4.903347996856493,-1.4401172279770889,2.261922949727671,4,0,0,,,none,GWK60_G00363,GWK60_G00363,ORF,CP048236.1,67381,67923,W,543,2,0.00368324125230202,2.24972375690608,1.87476979742173,226,0.416206261510129,0.403149483079021,-11.5072991241228,0,0,0,0,0,271.5,610.8
GWK60_L12793,-7.809677621639289,-10.136102517325707,5.2231744051121325,-1.4419910503525106,2.261922949727671,4,0,0,,,none,GWK60_L12793,GWK60_L12793,ORF,CP048241.1,1330405,1331607,C,1203,1,0.00083125519534497,0.331837073981712,0.497755610972569,1121,0.931837073981712,0.931796020764417,-11.5072991241228,0,0,0,0,0,1203,399.2
GWK60_H01023,-7.806982767608595,-9.926257779604711,5.20491320270999,-1.3391360300815343,1.928239773386791,4,0,0,,,none,GWK60_H01023,GWK60_H01023,ORF,CP048237.1,124018,127302,W,3285,1,0.00030441400304414,0.764992389649924,0.764992389649924,2876,0.875494672754947,0.875494672754912,-12.0922616248439,0,0,0,0,0,3285,2513
GWK60_A01419,-7.799270257655515,-9.921588877534687,5.64019779790193,-1.334419117638285,2.06854842487731,4,0,1,,4,single_pool_depleted,GWK60_A01419,GWK60_A01419,ORF,CP048230.1,180310,181059,C,648,3,0.00462962962962962,3.49452861952862,2.95690883190883,376,0.580246913580247,0.573744430899671,-11.0922616248439,0,0,0,0,0,250,754.818181818182
GWK60_M11253,-7.79156637351096,-9.926257779604711,5.235502370787545,-1.3359723498915281,1.928239773386791,4,0,0,,,none,GWK60_M11253,GWK60_M11253,ORF,CP048242.1,1124825,1125715,C,891,1,0.00112233445566778,1.84062850729517,1.84062850729517,628,0.704826038159372,0.70412349345409,-12.0922616248439,0,0,0,0,0,891,1640
GWK60_K02563,-7.7915278330586615,-10.099802940164452,5.2133383097905375,-1.391556612970909,2.261922949727671,4,0,0,,,none,GWK60_K02563,GWK60_K02563,ORF,CP048240.1,250686,251153,C,468,2,0.00427350427350427,0.867887667887668,0.584155161078238,231,0.493589743589744,0.46191911228719,-11.5072991241228,0,0,0,0,0,234,203.085714285714
GWK60_E01661,-7.789231922475947,-9.921588877534687,5.234210823920405,-1.3350117386092015,1.928239773386791,4,0,0,,,none,GWK60_E01661,YPS11,ORF,CP048234.1,209067,210593,W,1527,0,0,0,0,1527,1,0.999998274513858,-13.0922616248439,0,0,0,0,0,9999,409.823529411765
GWK60_H06787,-7.789231922475947,-9.921588877534687,5.234210823920405,-1.3350117386092015,1.928239773386791,4,0,0,,,none,GWK60_H06787,GWK60_H06787,ORF,CP048237.1,695490,696107,W,618,0,0,0,0,618,1,0.984932010189407,-13.0922616248439,0,0,0,0,0,9999,1608.66666666667
GWK60_J11561,-7.789231922475947,-9.921588877534687,5.234210823920405,-1.3350117386092015,1.928239773386791,4,0,0,,,none,GWK60_J11561,PLB1,ORF,CP048239.1,1187649,1189628,C,1980,0,0,0,0,1980,1,0.999999981398061,-13.0922616248439,1,0,0,0,0,9999,719.692307692308
GWK60_K04103,-7.789231922475947,-9.921588877534687,5.234210823920405,-1.3350117386092015,1.928239773386791,4,0,0,,,none,GWK60_K04103,GWK60_K04103,ORF,CP048240.1,395227,396225,C,999,0,0,0,0,999,1,0.999661280686285,-13.0922616248439,0,0,0,0,0,9999,666.111111111111
GWK60_J09229,-7.789192211595864,-10.099802940164452,5.211443500974771,-1.3904045377029652,2.2573146486558957,4,0,0,,,none,GWK60_J09229,GWK60_J09229,ORF,CP048239.1,967309,967755,C,447,0,0,0,0,447,1,0.922011764870634,-13.0922616248439,0,0,0,0,0,9999,1008.5
GWK60_A02057,-7.756765896171769,-10.099802940164452,5.990962217477902,-1.4532666789244502,2.796834187157511,4,0,1,,2,single_pool_depleted,GWK60_A02057,HXT4/6/7,ORF,CP048230.1,256975,258624,C,1650,2,0.00121212121212121,1.96333333333333,1.74518518518519,1192,0.722424242424242,0.722423878071448,-11.5072991241228,0,0,0,0,0,825,1619.75
GWK60_I00165,-7.702420801743779,-9.921588877534687,5.158603946365768,-1.4184325326944214,2.261922949727671,4,0,0,,,none,GWK60_I00165,GWK60_I00165,ORF,CP048238.1,44271,46814,W,2544,2,0.00078616352201257,0.485112028301887,0.431210691823899,1500,0.589622641509434,0.589622641470466,-11.5072991241228,0,0,0,0,0,1272,617.0625
GWK60_K10615,-7.702420801743779,-9.921588877534687,5.158603946365768,-1.4184325326944214,2.261922949727671,4,0,0,,,none,GWK60_K10615,CTA1,ORF,CP048240.1,1062581,1064104,C,1524,1,0.00065616797900262,0.738353018372703,1.31262758821814,1189,0.780183727034121,0.780182339840206,-11.5072991241228,0,0,0,0,0,1524,1125.25
GWK60_L00143,-7.702420801743779,-9.921588877534687,5.158603946365768,-1.4184325326944214,2.261922949727671,4,0,0,,,none,GWK60_L00143,GWK60_L00143,ORF,CP048241.1,25794,26909,W,1116,2,0.0017921146953405,2.09283154121864,1.90257412838058,715,0.640681003584229,0.640613634797864,-11.5072991241228,0,0,0,0,0,558,1167.8
GWK60_H05577,-7.702419631315994,-9.926257779604711,5.157999980743716,-1.4182410687088043,2.2573146486558957,4,0,0,,,none,GWK60_H05577,GLR1,ORF,CP048237.1,577364,578794,C,1431,1,0.00069881201956673,1.11558350803634,1.11558350803634,1058,0.739343116701607,0.739339784900988,-12.0922616248439,0,0,0,0,0,1431,1596.4
GWK60_J02563,-7.702419631315994,-9.926257779604711,5.157999980743716,-1.4182410687088043,2.2573146486558957,4,0,0,,,none,GWK60_J02563,GWK60_J02563,ORF,CP048239.1,294764,295912,C,1149,1,0.00087032201914708,0.490378106566096,0.275837684943429,623,0.542210617928634,0.542169627680105,-12.0922616248439,0,0,0,0,0,1149,563.444444444444
GWK60_H02387,-7.70241026830418,-9.962557356765966,5.153301856756783,-1.3614112787125132,1.8282577391443242,4,0,0,,,none,GWK60_H02387,GWK60_H02387,ORF,CP048237.1,243763,245544,C,1782,1,0.00056116722783389,0.741582491582492,0.635642135642136,1616,0.906846240179574,0.906846118001044,-12.0922616248439,0,0,0,0,0,1782,1321.5
GWK60_D02211,-7.559857823371852,-9.962557356765966,5.042633804014012,-1.3291640405249723,1.8106149104175178,4,0,0,,,none,GWK60_D02211,GWK60_D02211,ORF,CP048233.1,256360,258489,C,2130,1,0.00046948356807511,0.33018779342723,0.253990610328639,1959,0.919718309859155,0.919718306041723,-12.0922616248439,0,0,0,0,0,2130,703.3
GWK60_E03795,-7.559857823371852,-9.962557356765966,5.042633804014012,-1.3291640405249723,1.8106149104175178,4,0,0,,,none,GWK60_E03795,SIT1,ORF,CP048234.1,415129,417066,W,1938,1,0.00051599587203302,0.337934296525628,0.337934296525628,1452,0.74922600619195,0.749225984980287,-12.0922616248439,0,0,0,0,0,1938,654.916666666667
GWK60_G03509,-7.559857823371852,-9.962557356765966,5.042633804014012,-1.3291640405249723,1.8106149104175178,4,0,0,,,none,GWK60_G03509,GWK60_G03509,ORF,CP048236.1,372186,373433,W,1248,1,0.00080128205128205,0.704683048433048,0.487857495069033,1229,0.984775641025641,0.984747976773971,-12.0922616248439,0,0,0,0,0,1248,879.444444444444
GWK60_H07931,-7.559857823371852,-9.962557356765966,5.042633804014012,-1.3291640405249723,1.8106149104175178,4,0,0,,,none,GWK60_H07931,GWK60_H07931,ORF,CP048237.1,792913,793464,C,552,1,0.00181159420289855,1.68788819875776,1.47690217391304,473,0.856884057971015,0.832249930120918,-12.0922616248439,0,0,0,0,0,552,931.714285714286
GWK60_B03223,-7.539373583756212,-9.921588877534687,5.029744771457913,-1.277768991861044,1.8067724652882107,4,0,0,,,none,GWK60_B03223,RIF1,ORF,CP048231.1,333268,338262,W,4995,0,0,0,0,4995,1,1,-13.0922616248439,0,0,0,0,0,9999,2026
GWK60_K05269,-7.539373583756212,-9.921588877534687,5.029744771457913,-1.277768991861044,1.8067724652882107,4,0,0,,,none,GWK60_K05269,GWK60_K05269,ORF,CP048240.1,538183,539403,W,1221,0,0,0,0,1221,1,0.999963200886391,-13.0922616248439,0,0,0,0,0,9999,1440.66666666667
GWK60_K11649,-7.506971089642814,-9.921588877534687,5.094505292399278,-1.2710292026425283,1.8067724652882107,4,0,0,,,none,GWK60_K11649,GWK60_K11649,ORF,CP048240.1,1152341,1153291,W,951,1,0.0010515247108307,1.70073606729758,1.70073606729758,592,0.622502628811777,0.622161944696744,-12.0922616248439,0,0,0,0,0,951,1617.4
GWK60_D03509,-7.4526010034763415,-9.921588877534687,4.968535647955295,-1.305605522866883,1.8106149104175178,4,0,0,,,none,GWK60_D03509,GWK60_D03509,ORF,CP048233.1,388631,393994,C,5364,1,0.00018642803877703,0.179996271439224,0.159996685723755,3840,0.715883668903803,0.715883668903803,-12.0922616248439,0,0,0,0,0,5364,965.5
GWK60_E03839,-7.4526010034763415,-9.921588877534687,4.968535647955295,-1.305605522866883,1.8106149104175178,4,0,0,,,none,GWK60_E03839,GWK60_E03839,ORF,CP048234.1,419502,421832,W,2331,1,0.00042900042900042,0.413985413985414,0.413985413985414,2259,0.969111969111969,0.969111968573006,-12.0922616248439,0,0,0,0,0,2331,965
GWK60_G05731,-7.4526010034763415,-9.921588877534687,4.968535647955295,-1.305605522866883,1.8106149104175178,4,0,0,,,none,GWK60_G05731,GWK60_G05731,ORF,CP048236.1,589143,590081,C,939,1,0.00106496272630457,1.81948881789137,1.55956184390689,582,0.619808306709265,0.619425875680121,-12.0922616248439,0,0,0,0,0,939,1708.5
GWK60_K02805,-7.4526010034763415,-9.921588877534687,4.968535647955295,-1.305605522866883,1.8106149104175178,4,0,0,,,none,GWK60_K02805,GWK60_K02805,ORF,CP048240.1,268653,270047,C,1395,1,0.0007168458781362,0.187945285641138,0.167442163571196,1059,0.759139784946237,0.759134881517267,-12.0922616248439,0,0,0,0,0,1395,262.183673469388
GWK60_L15587,-7.4526010034763415,-9.921588877534687,4.968535647955295,-1.305605522866883,1.8106149104175178,4,0,0,,,none,GWK60_L15587,GWK60_L15587,ORF,CP048241.1,1625600,1627267,C,1668,1,0.00059952038369304,0.951039168665068,0.951039168665068,916,0.54916067146283,0.54916044011989,-12.0922616248439,0,0,0,0,0,1668,1586.33333333333
GWK60_D03091,-6.716396351975823,-6.75250357620278,6.980726038602817,-1.22142447858321,2.3160222316421897,4,0,2,,3;4,consistently_depleted,GWK60_D03091,GWK60_D03091,ORF,CP048233.1,351308,352741,W,1434,1,0.000697350069735,0.600836820083682,1.20167364016736,1358,0.947001394700139,0.946997253227346,-11.5072991241228,0,0,0,0,0,1434,861.6
GWK60_K02519,-6.678235290305823,-6.764902707907616,6.269597843329471,-1.2036458438288011,2.17103904467526,4,0,1,,4,single_pool_depleted,GWK60_K02519,GWK60_K02519,ORF,CP048240.1,243893,245776,C,1884,1,0.00053078556263269,0.12618542108988,0.15773177636235,1058,0.561571125265393,0.561571097982798,-11.5072991241228,0,0,0,0,0,1884,237.733333333333
