Chromosome	Source	Up feature type	Up feature name	Up gene name	Up feature dist	Down feature type	Down feature name	Down gene name	Down feature dist	IntergenicType	Hit position	Hit count
CP048230.1	W	None	None	None	1260	gene	GWK60_A00011	EPA19	2026	 - -C	1261	1507
CP048230.1	W	None	None	None	2626	gene	GWK60_A00011	EPA19	660	 - -C	2627	113
CP048230.1	W	None	None	None	2659	gene	GWK60_A00011	EPA19	627	 - -C	2660	3014
CP048230.1	W	None	None	None	2688	gene	GWK60_A00011	EPA19	598	 - -C	2689	2
CP048230.1	W	gene	GWK60_A00011	EPA19	0	gene	GWK60_A00011	EPA19	0	ORF(C)-ORF(C)	4482	1
CP048230.1	W	gene	GWK60_A00033	EPA24	1289	gene	GWK60_A00055	GWK60_A00055	2835	C-C	29830	4036
CP048230.1	W	gene	GWK60_A00033	EPA24	3386	gene	GWK60_A00055	GWK60_A00055	738	C-C	31927	75
CP048230.1	W	gene	GWK60_A00055	GWK60_A00055	134	gene	GWK60_A00077	GWK60_A00077	477	C-C	33638	1
CP048230.1	W	gene	GWK60_A00055	GWK60_A00055	402	gene	GWK60_A00077	GWK60_A00077	209	C-C	33906	193
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	32	gene	GWK60_A00121	GWK60_A00121	769	W-W	39100	16
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	148	gene	GWK60_A00121	GWK60_A00121	653	W-W	39216	1
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	167	gene	GWK60_A00121	GWK60_A00121	634	W-W	39235	14079
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	173	gene	GWK60_A00121	GWK60_A00121	628	W-W	39241	4
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	188	gene	GWK60_A00121	GWK60_A00121	613	W-W	39256	12
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	204	gene	GWK60_A00121	GWK60_A00121	597	W-W	39272	8681
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	215	gene	GWK60_A00121	GWK60_A00121	586	W-W	39283	8313
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	223	gene	GWK60_A00121	GWK60_A00121	578	W-W	39291	96
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	446	gene	GWK60_A00121	GWK60_A00121	355	W-W	39514	27
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	630	gene	GWK60_A00121	GWK60_A00121	171	W-W	39698	1
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	0	gene	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	39869	9530
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	0	gene	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	40067	2
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	0	gene	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	40174	2
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	0	gene	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	40428	1277
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	0	gene	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	40527	1
CP048230.1	W	gene	GWK60_A00121	GWK60_A00121	0	gene	GWK60_A00121	GWK60_A00121	0	ORF(W)-ORF(W)	40618	1
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	0	gene	GWK60_A00143	GWK60_A00143	0	ORF(C)-ORF(C)	43000	2607
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	99	gene	GWK60_A00165	GWK60_A00165	384	C-W	43314	4846
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	163	gene	GWK60_A00165	GWK60_A00165	320	C-W	43378	1
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	256	gene	GWK60_A00165	GWK60_A00165	227	C-W	43471	1
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	278	gene	GWK60_A00165	GWK60_A00165	205	C-W	43493	2
CP048230.1	W	gene	GWK60_A00165	GWK60_A00165	275	gene	GWK60_A00187	GWK60_A00187	35	W-C	44773	1
CP048230.1	W	gene	GWK60_A00187	GWK60_A00187	167	gene	GWK60_A00209	GWK60_A00209	36	C-W	45571	2
CP048230.1	W	gene	GWK60_A00209	GWK60_A00209	0	gene	GWK60_A00209	GWK60_A00209	0	ORF(W)-ORF(W)	46903	527
CP048230.1	W	gene	GWK60_A00209	GWK60_A00209	0	gene	GWK60_A00209	GWK60_A00209	0	ORF(W)-ORF(W)	47040	6
CP048230.1	W	gene	GWK60_A00209	GWK60_A00209	321	gene	GWK60_A00231	GWK60_A00231	228	W-W	47457	348
CP048230.1	W	gene	GWK60_A00231	GWK60_A00231	0	gene	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	47882	5893
CP048230.1	W	gene	GWK60_A00231	GWK60_A00231	0	gene	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	48009	1
CP048230.1	W	gene	GWK60_A00231	GWK60_A00231	0	gene	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	48251	57
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	48787	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	48798	3237
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	49188	746
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	49695	871
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50791	1298
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	124	gene	GWK60_A00275	GWK60_A00275	704	C-C	51102	4
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	136	gene	GWK60_A00275	GWK60_A00275	692	C-C	51114	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	182	gene	GWK60_A00275	GWK60_A00275	646	C-C	51160	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	203	gene	GWK60_A00275	GWK60_A00275	625	C-C	51181	840
