feature_id,mean_log2FC,median_log2FC,sd_log2FC,mean_z,max_abs_z,n_pairs,n_enriched_pairs,n_depleted_pairs,pools_enriched,pools_depleted,final_call,standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_B04609,12.90306149877908,12.90306149877908,NA,3.403672939506456,3.403672939506456,1,1,0,1,,single_pool_enriched,GWK60_B04609,GWK60_B04609,ORF,CP048231.1,459774,460679,C,906,0,0,0,0,906,1,0.999141958773035,-13.0922616248439,0,0,0,0,0,9999,199.518518518519
GWK60_H09999,12.680700468794333,12.680700468794333,NA,3.25185841453027,3.25185841453027,1,1,0,1,,single_pool_enriched,GWK60_H09999,GWK60_H09999,ORF,CP048237.1,995477,996538,C,1062,0,0,0,0,1062,1,0.999819572305327,-13.0922616248439,0,0,0,0,0,9999,205.394736842105
GWK60_F00649,12.417710009705445,12.417710009705445,NA,3.0797928446008465,3.0797928446008465,1,1,0,1,,single_pool_enriched,GWK60_F00649,GAL11B,ORF,CP048235.1,102826,105579,W,2754,0,0,0,0,2754,1,0.999999999991907,-13.0922616248439,0,0,0,0,0,9999,641
GWK60_H09735,12.417710009705445,12.417710009705445,NA,3.0797928446008465,3.0797928446008465,1,1,0,1,,single_pool_enriched,GWK60_H09735,GWK60_H09735,ORF,CP048237.1,970085,970786,C,702,0,0,0,0,702,1,0.993438806865984,-13.0922616248439,0,0,0,0,0,9999,118.464285714286
GWK60_E01793,12.095847832425507,12.095847832425507,NA,2.879781053518789,2.879781053518789,1,1,0,1,,single_pool_enriched,GWK60_E01793,GWK60_E01793,ORF,CP048234.1,220286,221593,C,561,0,0,0,0,561,1,0.973660680374717,-13.0922616248439,0,0,0,0,0,9999,367.526315789474
GWK60_F01199,12.095847832425507,12.095847832425507,NA,2.879781053518789,2.879781053518789,1,1,0,1,,single_pool_enriched,GWK60_F01199,AUS1,ORF,CP048235.1,156902,161098,C,4197,0,0,0,0,4197,1,1,-13.0922616248439,0,0,0,0,0,9999,248.236842105263
GWK60_J08437,12.095847832425507,12.095847832425507,NA,2.879781053518789,2.879781053518789,1,1,0,1,,single_pool_enriched,GWK60_J08437,GWK60_J08437,ORF,CP048239.1,894005,896134,W,2130,0,0,0,0,2130,1,0.999999995849346,-13.0922616248439,0,0,0,0,0,9999,1259.25
GWK60_K03883,12.095847832425507,12.095847832425507,NA,2.879781053518789,2.879781053518789,1,1,0,1,,single_pool_enriched,GWK60_K03883,GWK60_K03883,ORF,CP048240.1,375847,376692,W,846,0,0,0,0,846,1,0.998437649049671,-13.0922616248439,1,0,0,0,0,9999,934.428571428571
GWK60_L08547,12.095847832425507,12.095847832425507,NA,2.879781053518789,2.879781053518789,1,1,0,1,,single_pool_enriched,GWK60_L08547,YHB1,ORF,CP048241.1,864710,865906,C,1197,0,0,0,0,1197,1,0.999953219625041,-13.0922616248439,0,0,0,0,0,9999,3131.5
GWK60_A03025,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_A03025,GWK60_A03025,ORF,CP048230.1,338121,338468,C,348,0,0,0,0,348,1,0.814572580707018,-13.0922616248439,0,0,0,0,0,9999,534.384615384615
GWK60_B03245,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_B03245,GWK60_B03245,ORF,CP048231.1,338501,342568,C,4068,0,0,0,0,4068,1,1,-13.0922616248439,0,0,0,0,0,9999,2943.5
GWK60_C01639,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_C01639,GWK60_C01639,ORF,CP048232.1,206778,208229,W,1452,0,0,0,0,1452,1,0.999996347152848,-13.0922616248439,0,0,0,0,0,9999,1229.75
GWK60_C02035,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_C02035,GWK60_C02035,ORF,CP048232.1,239083,241884,C,2802,0,0,0,0,2802,1,0.999999999994992,-13.0922616248439,1,0,0,0,0,9999,562.117647058824
GWK60_C04125,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_C04125,GWK60_C04125,ORF,CP048232.1,426635,427375,W,741,0,0,0,0,741,1,0.995548266339896,-13.0922616248439,0,0,0,0,0,9999,214.136363636364
GWK60_D06787,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_D06787,GWK60_D06787,ORF,CP048233.1,670090,672282,W,2193,0,0,0,0,2193,1,0.999999997789396,-13.0922616248439,0,0,0,0,0,9999,348.25
GWK60_E01199,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_E01199,GWK60_E01199,ORF,CP048234.1,154833,156986,W,2154,0,0,0,0,2154,1,0.99999999673498,-13.0922616248439,0,0,0,0,0,9999,1072.66666666667
GWK60_E02277,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_E02277,SIN3,ORF,CP048234.1,257333,261814,W,4482,0,0,0,0,4482,1,1,-13.0922616248439,0,0,0,0,0,9999,298
GWK60_E04939,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_E04939,GRE2(B),ORF,CP048234.1,530796,531851,C,1056,0,0,0,0,1056,1,0.999808417417279,-13.0922616248439,0,0,0,0,0,9999,601.090909090909
GWK60_F07645,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_F07645,LSC2,ORF,CP048235.1,815276,816535,C,1260,0,0,0,0,1260,1,0.999975084611061,-13.0922616248439,0,0,0,0,0,9999,969.5
GWK60_G00715,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_G00715,GWK60_G00715,ORF,CP048236.1,95878,96939,W,1062,0,0,0,0,1062,1,0.999819572305327,-13.0922616248439,0,0,0,0,0,9999,764.25
GWK60_G08877,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_G08877,GWK60_G08877,ORF,CP048236.1,888535,891297,W,2763,0,0,0,0,2763,1,0.999999999992604,-13.0922616248439,0,0,0,0,0,9999,4442
GWK60_G09317,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_G09317,GWK60_G09317,ORF,CP048236.1,931049,931441,C,393,0,0,0,0,393,1,0.873249419877859,-13.0922616248439,0,0,0,0,0,9999,543.266666666667
GWK60_H02145,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_H02145,GWK60_H02145,ORF,CP048237.1,221114,222010,C,897,0,0,0,0,897,1,0.999061229212862,-13.0922616248439,0,0,0,0,0,9999,626.857142857143
GWK60_I04609,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_I04609,GWK60_I04609,ORF,CP048238.1,483533,485428,C,1896,0,0,0,0,1896,1,0.999999956911084,-13.0922616248439,0,0,0,0,0,9999,887.428571428571
GWK60_J02915,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_J02915,GWK60_J02915,ORF,CP048239.1,321001,323622,W,2622,0,0,0,0,2622,1,0.999999999969704,-13.0922616248439,0,0,0,0,0,9999,653.181818181818
GWK60_J05005,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_J05005,LAS21,ORF,CP048239.1,544903,547431,C,2529,0,0,0,0,2529,1,0.999999999923214,-13.0922616248439,0,0,0,0,0,9999,1692.57142857143
GWK60_J07557,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_J07557,GWK60_J07557,ORF,CP048239.1,794009,794797,C,789,0,0,0,0,789,1,0.997240658337165,-13.0922616248439,0,0,0,0,0,9999,1398.66666666667
GWK60_K00539,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_K00539,GWK60_K00539,ORF,CP048240.1,75413,78043,C,2631,0,0,0,0,2631,1,0.999999999972312,-13.0922616248439,0,0,0,0,0,9999,601.857142857143
GWK60_K01001,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_K01001,GWK60_K01001,ORF,CP048240.1,111139,111750,C,612,0,0,0,0,612,1,0.984015151657797,-13.0922616248439,0,0,0,0,0,9999,9999
GWK60_K02959,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_K02959,GWK60_K02959,ORF,CP048240.1,293522,294805,W,1284,0,0,0,0,1284,1,0.999980400756696,-13.0922616248439,0,0,0,0,0,9999,319.035714285714
GWK60_K04609,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_K04609,SSB2,ORF,CP048240.1,469491,471332,C,1842,0,0,0,0,1842,1,0.999999926059127,-13.0922616248439,0,0,0,0,0,9999,1956.83333333333
GWK60_K04719,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_K04719,GWK60_K04719,ORF,CP048240.1,477503,479527,C,2025,0,0,0,0,2025,1,0.99999998813888,-13.0922616248439,0,0,0,0,0,9999,2131.5
GWK60_L00319,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_L00319,GWK60_L00319,ORF,CP048241.1,38979,40844,C,1866,0,0,0,0,1866,1,0.999999941836048,-13.0922616248439,0,0,0,0,0,9999,1497.42857142857
GWK60_L12639,11.680920189133221,11.680920189133221,NA,2.6381997081208106,2.6381997081208106,1,1,0,1,,single_pool_enriched,GWK60_L12639,GWK60_L12639,ORF,CP048241.1,1311721,1317975,W,6255,0,0,0,0,6255,1,1,-13.0922616248439,0,0,0,0,0,9999,382.25
GWK60_A02431,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_A02431,GWK60_A02431,ORF,CP048230.1,296308,296610,C,303,0,0,0,0,303,1,0.73691589583342,-13.0922616248439,0,0,0,0,0,9999,3036
GWK60_A02981,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_A02981,ARO10,ORF,CP048230.1,333043,334992,W,1950,0,0,0,0,1950,1,0.999999974890009,-13.0922616248439,0,0,0,0,0,9999,517.333333333333
GWK60_B00913,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_B00913,GWK60_B00913,ORF,CP048231.1,101703,102335,C,633,0,0,0,0,633,1,0.987003583442147,-13.0922616248439,0,0,0,0,0,9999,676.230769230769
GWK60_B02255,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_B02255,GWK60_B02255,ORF,CP048231.1,232468,233553,C,1086,0,0,0,0,1086,1,0.999858065084217,-13.0922616248439,0,0,0,0,0,9999,331.5
GWK60_B02915,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_B02915,TAL1,ORF,CP048231.1,303869,304873,W,1005,0,0,0,0,1005,1,0.999680999871073,-13.0922616248439,0,0,0,0,0,9999,220.942857142857
GWK60_C00209,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_C00209,GWK60_C00209,ORF,CP048232.1,39722,42274,W,2553,0,0,0,0,2553,1,0.999999999939598,-13.0922616248439,0,0,0,0,0,9999,1122
GWK60_C01309,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_C01309,GPX2,ORF,CP048232.1,179957,180451,C,495,0,0,0,0,495,1,0.950263488441443,-13.0922616248439,0,0,0,0,0,9999,620.222222222222
GWK60_C01903,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_C01903,KRE29,ORF,CP048232.1,228607,229692,W,1086,0,0,0,0,1086,1,0.999858065084217,-13.0922616248439,0,0,0,0,0,9999,659.333333333333
GWK60_C03509,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_C03509,GWK60_C03509,ORF,CP048232.1,376924,378807,C,1884,0,0,0,0,1884,1,0.999999951417383,-13.0922616248439,0,0,0,0,0,9999,416.454545454545
GWK60_C03663,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_C03663,HHT2,ORF,CP048232.1,392052,392462,C,411,0,0,0,0,411,1,0.891871333237996,-13.0922616248439,0,0,0,0,0,9999,235.48275862069
GWK60_C04719,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_C04719,GWK60_C04719,ORF,CP048232.1,483657,485084,W,1428,0,0,0,0,1428,1,0.999995356325763,-13.0922616248439,0,0,0,0,0,9999,294.208333333333
GWK60_D00781,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_D00781,GWK60_D00781,ORF,CP048233.1,134316,135947,C,1632,0,0,0,0,1632,1,0.999999396186586,-13.0922616248439,0,0,0,0,0,9999,1097
GWK60_D04059,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_D04059,PRO1,ORF,CP048233.1,434526,435983,W,1458,0,0,0,0,1458,1,0.999996559877374,-13.0922616248439,0,0,0,0,0,9999,1156.33333333333
GWK60_D04191,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_D04191,GWK60_D04191,ORF,CP048233.1,446507,447922,W,1416,0,0,0,0,1416,1,0.999994764275018,-13.0922616248439,0,0,0,0,0,9999,913.142857142857
GWK60_D05335,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_D05335,GWK60_D05335,ORF,CP048233.1,536971,537297,C,327,0,0,0,0,327,1,0.780742747912128,-13.0922616248439,0,0,0,0,0,9999,460.444444444444
GWK60_E02475,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_E02475,LIG4,ORF,CP048234.1,275344,278184,C,2841,0,0,0,0,2841,1,0.999999999996609,-13.0922616248439,0,0,0,0,0,9999,247.0625
GWK60_E02673,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_E02673,GWK60_E02673,ORF,CP048234.1,294228,297020,W,2793,0,0,0,0,2793,1,0.99999999999452,-13.0922616248439,0,0,0,0,0,9999,289
GWK60_F00495,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_F00495,GWK60_F00495,ORF,CP048235.1,79878,81755,C,1878,0,0,0,0,1878,1,0.999999948413202,-13.0922616248439,0,0,0,0,0,9999,484.8
GWK60_F02761,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_F02761,GWK60_F02761,ORF,CP048235.1,313393,315627,C,2235,0,0,0,0,2235,1,0.99999999854753,-13.0922616248439,0,0,0,0,0,9999,897.5
GWK60_F03047,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_F03047,GWK60_F03047,ORF,CP048235.1,342127,345264,C,3138,0,0,0,0,3138,1,0.999999999999826,-13.0922616248439,0,0,0,0,0,9999,568.833333333333
GWK60_F07403,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_F07403,UPC2B,ORF,CP048235.1,782922,785456,C,2535,0,0,0,0,2535,1,0.999999999927686,-13.0922616248439,0,0,0,0,0,9999,2228
GWK60_G01573,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_G01573,GWK60_G01573,ORF,CP048236.1,175890,177032,C,1143,0,0,0,0,1143,1,0.999919727244296,-13.0922616248439,0,0,0,0,0,9999,2603.5
GWK60_G03421,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_G03421,GWK60_G03421,ORF,CP048236.1,365768,366400,C,633,0,0,0,0,633,1,0.987003583442147,-13.0922616248439,0,0,0,0,0,9999,1136
GWK60_G03487,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_G03487,GWK60_G03487,ORF,CP048236.1,370499,371881,C,1383,0,0,0,0,1383,1,0.999992717288328,-13.0922616248439,1,0,0,0,0,9999,1072.42857142857
GWK60_G05115,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_G05115,GWK60_G05115,ORF,CP048236.1,520064,520351,W,288,0,0,0,0,288,1,0.706822221093568,-13.0922616248439,0,0,0,0,0,9999,1013.42857142857
GWK60_G09163,11.096177375292966,11.096177375292966,NA,2.3266913388125374,2.3266913388125374,1,0,0,,,none,GWK60_G09163,CRH1,ORF,CP048236.1,912061,913419,W,1359,0,0,0,0,1359,1,0.999990741877264,-13.0922616248439,0,0,0,0,0,9999,848.9
