Chromosome,Position,Reads
CP048230.1,506,1
CP048230.1,2177,67
CP048230.1,2656,1100
CP048230.1,19195,95
CP048230.1,25975,51
CP048230.1,27213,254
CP048230.1,31697,11
CP048230.1,31751,104
CP048230.1,31811,1
CP048230.1,32398,22
CP048230.1,32577,670
CP048230.1,32939,1
CP048230.1,33645,454
CP048230.1,33647,1121
CP048230.1,33847,2
CP048230.1,33852,2
CP048230.1,33974,21
CP048230.1,34061,222
CP048230.1,36489,1
CP048230.1,39103,561
CP048230.1,39235,2121
CP048230.1,39241,755
CP048230.1,39242,720
CP048230.1,39272,3243
CP048230.1,39279,2195
CP048230.1,39287,119
CP048230.1,39291,977
CP048230.1,39448,786
CP048230.1,39462,658
CP048230.1,39574,518
CP048230.1,39659,106
CP048230.1,39805,1
CP048230.1,39849,1
CP048230.1,40067,503
CP048230.1,40527,968
CP048230.1,40625,986
CP048230.1,42332,50
CP048230.1,42601,1
CP048230.1,43314,8
CP048230.1,43414,6
CP048230.1,43450,1
CP048230.1,43493,1063
CP048230.1,43515,671
CP048230.1,43522,1
CP048230.1,43555,1
CP048230.1,44354,158
CP048230.1,44436,418
CP048230.1,45498,149
CP048230.1,47091,37
CP048230.1,47737,99
CP048230.1,47858,1
CP048230.1,48014,1
CP048230.1,48216,767
CP048230.1,48223,872
CP048230.1,48787,545
CP048230.1,48812,1396
CP048230.1,48916,162
CP048230.1,49339,1
CP048230.1,50362,1
CP048230.1,50369,1351
CP048230.1,50503,3
CP048230.1,50558,35
CP048230.1,50725,78
CP048230.1,51017,1674
CP048230.1,51109,469
CP048230.1,51149,900
CP048230.1,51156,646
CP048230.1,51164,427
CP048230.1,51236,815
CP048230.1,51243,4250
CP048230.1,51248,216
CP048230.1,51254,190
CP048230.1,51261,385
CP048230.1,51316,171
CP048230.1,51394,154
CP048230.1,51467,23
CP048230.1,51520,1858
CP048230.1,51549,2
CP048230.1,51553,1655
CP048230.1,51556,4805
CP048230.1,51560,2343
CP048230.1,51625,972
CP048230.1,51632,1
CP048230.1,51683,1871
CP048230.1,51688,147
CP048230.1,51700,346
CP048230.1,51706,1043
CP048230.1,51707,723
CP048230.1,51713,1
CP048230.1,51720,68
CP048230.1,51726,801
CP048230.1,51736,1
CP048230.1,51757,3612
CP048230.1,51764,10
CP048230.1,51767,19
CP048230.1,51772,634
CP048230.1,52037,1942
CP048230.1,52044,2640
CP048230.1,52067,532
CP048230.1,52074,1
CP048230.1,52237,1429
CP048230.1,52266,1
CP048230.1,52270,1566
CP048230.1,52747,10
CP048230.1,53065,1
CP048230.1,53937,94
CP048230.1,55219,111
CP048230.1,55274,73
CP048230.1,55281,1
CP048230.1,55347,458
CP048230.1,55405,38
CP048230.1,55412,1802
CP048230.1,55703,108
CP048230.1,55818,1062
CP048230.1,55892,123
CP048230.1,57047,49
CP048230.1,58849,738
CP048230.1,58887,250
CP048230.1,58932,558
CP048230.1,58933,100
CP048230.1,58940,408
CP048230.1,58956,1
CP048230.1,58996,1
CP048230.1,58999,89
CP048230.1,59007,565
CP048230.1,59014,2
CP048230.1,59046,873
CP048230.1,59053,1
CP048230.1,59146,453
CP048230.1,59218,1
CP048230.1,59276,119
CP048230.1,59283,8
CP048230.1,59449,904
CP048230.1,59633,2
CP048230.1,59998,1685
CP048230.1,60145,246
CP048230.1,60439,1
