RDF,1
standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A00011,EPA19,ORF,CP048230.1,3287,16984,C,13698,0,0,0.0,0.0,0.0,13698,1.0,1.0,-24.406256007702403,0,0,0,0,0.0,9999,2546.8
GWK60_A00033,EPA24,ORF,CP048230.1,26433,28541,C,2109,0,0,0.0,0.0,0.0,2109,1.0,0.9999999948794296,-24.406256007702403,0,0,0,0,0.0,9999,1334.8181818181818
GWK60_A00055,GWK60_A00055,ORF,CP048230.1,32665,33504,C,840,0,0,0.0,0.0,0.0,840,1.0,0.9983411989198255,-24.406256007702403,0,0,0,0,0.0,9999,211.9387755102041
GWK60_A00077,GWK60_A00077,ORF,CP048230.1,34115,36385,C,2271,0,0,0.0,0.0,0.0,2271,1.0,0.9999999989866457,-24.406256007702403,0,0,0,0,0.0,9999,189.0
GWK60_A00099,GWK60_A00099,ORF,CP048230.1,36888,39068,W,2181,3,205,0.001375515818431912,0.1888583218707015,0.0380556897660528,1298,0.5951398441082072,0.5951398426248514,-16.719755480519183,0,0,0,0,0.0,727.0,137.3
GWK60_A00121,GWK60_A00121,ORF,CP048230.1,39869,42250,W,2382,6,1314,0.0025188916876574307,0.19298201860488315,0.09376525062651372,1102,0.4626364399664148,0.4626364398119127,-14.045408923522738,1,0,0,0,0.0,397.0,76.61386138613861
GWK60_A00143,GWK60_A00143,ORF,CP048230.1,42544,43215,C,672,4,1095,0.005952380952380952,0.3075194363459669,0.18268734202642725,161,0.23958333333333334,0.23746627905631273,-14.308223924741876,2,0,0,0,0.0,168.0,51.66326530612245
GWK60_A00165,GWK60_A00165,ORF,CP048230.1,43698,44498,W,801,0,0,0.0,0.0,0.0,801,1.0,0.9975519196246999,-24.406256007702403,0,0,0,0,0.0,9999,49.98947368421052
GWK60_A00187,GWK60_A00187,ORF,CP048230.1,44808,45404,C,597,0,0,0.0,0.0,0.0,597,1.0,0.9814761750367006,-24.406256007702403,0,0,0,0,0.0,9999,48.173469387755105
GWK60_A00209,GWK60_A00209,ORF,CP048230.1,45607,47136,W,1530,6,506,0.00392156862745098,0.22085032032615026,0.040326910878828344,821,0.5366013071895425,0.5366004086558019,-15.420414070699062,1,0,0,0,0.0,255.0,56.31683168316832
GWK60_A00231,GWK60_A00231,ORF,CP048230.1,47685,48254,W,570,6,1302,0.010526315789473684,0.5552892131318395,0.26090153030656904,368,0.6456140350877193,0.63003729143561,-14.058634639134269,0,0,0,0,0.0,95.0,52.75247524752475
GWK60_A00253,GWK60_A00253,ORF,CP048230.1,48624,50978,C,2355,15,4621,0.006369426751592357,0.35487470361244133,0.25753622405884474,659,0.27983014861995753,0.2798301484975387,-12.231954463234771,3,0,0,0,0.0,157.0,55.715328467153284
GWK60_A00275,GWK60_A00275,ORF,CP048230.1,51806,55015,C,3210,7,2388,0.0021806853582554517,0.11273863727134756,0.09501404696015259,1077,0.3355140186915888,0.33551401869156044,-13.18406486924607,0,0,0,0,0.0,458.57142857142856,51.69871794871795
GWK60_A00297,SCL1,ORF,CP048230.1,56199,56963,W,765,0,0,0.0,0.0,0.0,765,1.0,0.9964948127799336,-24.406256007702403,0,0,0,0,0.0,9999,45.98039215686274
GWK60_A00319,ERG4,ORF,CP048230.1,57279,58673,C,1395,0,0,0.0,0.0,0.0,1395,1.0,0.9999935408088644,-24.406256007702403,0,0,0,0,0.0,9999,47.532051282051285
GWK60_A00341,PDR1,ORF,CP048230.1,62211,65534,W,3324,11,2518,0.003309265944645006,0.16351910348977136,0.11100536573580402,1034,0.3110709987966306,0.31107099879662214,-13.107620600968161,0,0,0,0,0.0,302.1818181818182,49.4125
GWK60_A00363,GWK60_A00363,ORF,CP048230.1,65791,68151,C,2361,15,4458,0.0063532401524777635,0.2817588132738394,0.2375488144949438,682,0.288860652265989,0.2888606521469787,-12.283751523388498,0,0,0,0,0.0,157.4,44.348837209302324
GWK60_A00385,PMA1,ORF,CP048230.1,69666,72374,C,2709,1,700,0.00036913990402362494,0.014383193745399566,0.026129315899815216,2686,0.9915097822074567,0.9915097821948717,-14.95298537369178,0,0,0,0,0.0,2709.0,38.964071856287426
GWK60_A00407,GWK60_A00407,ORF,CP048230.1,73476,76844,W,3369,27,11023,0.008014247551202136,0.32947462154942114,0.30480256422141955,831,0.2466607301869991,0.24666073018699483,-10.97789583499811,9,0,0,0,0.0,124.77777777777777,41.111111111111114
GWK60_A00429,GWK60_A00429,ORF,CP048230.1,77062,77871,C,810,2,591,0.0024691358024691358,0.10971781305114638,0.07135711249687039,370,0.4567901234567901,0.4557678963544786,-15.196802642073454,3,0,0,0,0.0,405.0,44.43571428571428
GWK60_A00451,GWK60_A00451,ORF,CP048230.1,78356,79594,C,1239,77,46764,0.062146892655367235,3.066344946641557,4.168217493751027,203,0.1638418079096045,0.1638367718401005,-8.893114440593754,1,0,0,0,0.0,16.09090909090909,49.34027777777778
GWK60_A00473,GWK60_A00473,ORF,CP048230.1,79931,81871,W,1941,10,2180,0.005151983513652756,0.24272962976924978,0.10855366833952104,490,0.25244719216898504,0.2524471852330726,-13.315481953061653,0,0,0,0,0.0,194.1,47.113821138211385
GWK60_A00495,GWK60_A00495,ORF,CP048230.1,81926,83848,C,1923,0,0,0.0,0.0,0.0,1923,1.0,0.9999999671068047,-24.406256007702403,1,0,0,0,0.0,9999,54.808510638297875
GWK60_A00517,GWK60_A00517,ORF,CP048230.1,84469,85122,W,654,4,610,0.0061162079510703364,0.37840928868004275,0.12454838098641695,361,0.5519877675840978,0.5461583969706101,-15.151227437883673,0,0,0,0,0.0,163.5,61.86991869918699
GWK60_A00539,GWK60_A00539,ORF,CP048230.1,85576,85959,W,384,5,929,0.013020833333333334,0.8207983519900498,0.32766656611936873,146,0.3802083333333333,0.32810028980203876,-14.54516910170701,0,0,0,0,0.0,76.8,63.03731343283582
GWK60_A00583,GWK60_A00583,ORF,CP048230.1,87402,88226,W,825,10,6073,0.012121212121212121,0.7055023923444976,0.9748176633640733,509,0.616969696969697,0.6157809600683227,-11.837824814534944,2,0,0,0,0.0,82.5,58.203947368421055
GWK60_A00605,GWK60_A00605,ORF,CP048230.1,89315,91915,W,2601,21,5579,0.008073817762399077,0.48044598231449437,0.2896179284377237,404,0.15532487504805845,0.1553248750422531,-11.960206600985854,0,0,0,0,0.0,123.85714285714286,59.50666666666667
GWK60_A00627,GWK60_A00627,ORF,CP048230.1,94544,94834,W,291,10,6021,0.03436426116838488,2.1078509119746234,3.0316382057438114,99,0.3402061855670103,0.2425670656786113,-11.850229014977725,1,0,0,0,0.0,29.1,61.33846153846154
GWK60_A00649,GWK60_A00649,ORF,CP048230.1,95979,97628,W,1650,44,17215,0.02666666666666667,1.59959595959596,1.5015019054023762,152,0.09212121212121212,0.09212116566011755,-10.33479364514578,0,0,0,0,0.0,37.5,59.984848484848484
GWK60_A00671,GWK60_A00671,ORF,CP048230.1,98790,102578,W,3789,84,26834,0.022169437846397466,1.289022989735579,1.1112183019046986,526,0.13882290841910794,0.1388229084191079,-9.694427740041977,3,0,0,0,0.0,45.107142857142854,58.14414414414414
GWK60_A00693,GWK60_A00693,ORF,CP048230.1,102637,106125,C,3489,0,0,0.0,0.0,0.0,3489,1.0,0.9999999999999949,-24.406256007702403,3,0,0,0,0.0,9999,50.370370370370374
GWK60_A00715,GWK60_A00715,ORF,CP048230.1,106542,107636,W,1095,4,2734,0.0036529680365296802,0.13852286728999058,0.2585437964085059,516,0.4712328767123288,0.47117174822781993,-12.988930890022484,1,0,0,0,0.0,273.75,37.92063492063492
GWK60_A00737,GWK60_A00737,ORF,CP048230.1,107762,108751,C,990,0,0,0.0,0.0,0.0,990,1.0,0.9996293938593735,-24.406256007702403,1,0,0,0,0.0,9999,37.492063492063494
GWK60_A00759,EST2,ORF,CP048230.1,109052,111607,W,2556,6,662,0.002347417840375587,0.13156209987195902,0.04444607799896106,1160,0.4538341158059468,0.45383411577934446,-15.033390947589815,0,0,0,0,0.0,426.0,56.04545454545455
GWK60_A00781,GWK60_A00781,ORF,CP048230.1,111705,113963,C,2259,2,89,0.0008853474988933156,0.039044819473665886,0.004291776734630006,1670,0.7392651615759186,0.7392651607312685,-17.91440291137273,0,0,0,0,0.0,1129.5,44.10112359550562
GWK60_A00803,GWK60_A00803,ORF,CP048230.1,114196,118476,W,4281,3,690,0.000700770847932726,0.028569888415718826,0.01326933009661825,2645,0.6178462975940201,0.6178462975940201,-14.973714107314144,3,0,0,0,0.0,1427.0,40.76923076923077
GWK60_A00825,GWK60_A00825,ORF,CP048230.1,118583,119263,C,681,0,0,0.0,0.0,0.0,681,1.0,0.9919179913746745,-24.406256007702403,3,0,0,0,0.0,9999,39.65833333333333
GWK60_A00847,PEX23B,ORF,CP048230.1,119483,120694,W,1212,9,1176,0.007425742574257425,0.29677583142929675,0.0752011156562924,455,0.37541254125412543,0.37539742545426774,-14.205357402663958,1,0,0,0,0.0,134.66666666666666,39.965811965811966
GWK60_A00869,GWK60_A00869,ORF,CP048230.1,121621,121857,C,237,0,0,0.0,0.0,0.0,237,1.0,0.5914589784327801,-24.406256007702403,0,0,0,0,0.0,9999,40.042735042735046
GWK60_A00891,GWK60_A00891,ORF,CP048230.1,122845,123504,W,660,42,34176,0.06363636363636363,2.182087143625605,3.179676775811264,148,0.22424242424242424,0.22201080806620935,-9.345517862943264,6,0,0,0,0.0,15.714285714285714,34.289940828402365
GWK60_A00913,GWK60_A00913,ORF,CP048230.1,123980,125215,W,1236,0,0,0.0,0.0,0.0,1236,1.0,0.9999683265470388,-24.406256007702403,0,0,0,0,0.0,9999,34.19526627218935
GWK60_A00935,GWK60_A00935,ORF,CP048230.1,126050,127501,C,1452,2,508,0.0013774104683195593,0.04919678714859438,0.022152923879805345,953,0.65633608815427,0.6563336906588597,-15.414734161626708,4,0,0,0,0.0,726.0,35.71686746987952
GWK60_A00957,GWK60_A00957,ORF,CP048230.1,128085,130010,W,1926,8,4910,0.004153686396677051,0.15694467762294725,0.1714494102191421,527,0.2736240913811007,0.2736240826467312,-12.144454900507093,7,0,0,0,0.0,240.75,37.78443113772455
