sample,track_name,track_source,chromosome,position,read_count,strand,source_file,displayed_region_start,displayed_region_end,gene_start,gene_end,in_display_region,in_gene,region_class
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1062107,18,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,left_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064914,1,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1065104,254,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064509,127,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064593,5,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064598,16,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064631,539,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064643,568,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064650,181,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064652,1031,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064707,9,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064740,43,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064908,36,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048240.1,1064920,25,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,1061581,1065104,1062581,1064104,True,False,right_flank
