feature_id,contrast,background,pool,parent_sample,treated_sample,parent_cpm,treated_cpm,A_exp,log2FC,sd_local,z,Zthr,call,standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A00011,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,3.4705551833236803,none,GWK60_A00011,EPA19,ORF,CP048230.1,3287,16984,C,13698,0,0,0,0,13698,1,1,-24.5413676105456,0,0,0,0,0,9999,6367
GWK60_A00033,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,0,0,0,Inf,0,3.4705551833236803,none,GWK60_A00033,EPA24,ORF,CP048230.1,26433,28541,C,2109,0,0,0,0,2109,1,0.99999999487943,-24.5413676105456,0,0,0,0,0,9999,1334.81818181818
GWK60_A00055,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,22.71093736941211,0,11.355468684706056,-5.536732881718616,2.612713189772727,-2.1191506604673442,3.4705551833236803,none,GWK60_A00055,GWK60_A00055,ORF,CP048230.1,32665,33504,C,840,1,0.00119047619047619,0.257564484126984,0.0617413865266442,562,0.669047619047619,0.667937802134455,-17.5640876870456,0,0,0,0,0,840,216.354166666667
GWK60_A00077,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,6.540749962390688,0,3.270374981195344,-3.8157291091744607,2.8848298562845716,-1.3226877491100333,3.4705551833236803,none,GWK60_A00077,GWK60_A00077,ORF,CP048230.1,34115,36385,C,2271,1,0.00044033465433729,0.0771706496937673,0.00589066218411115,2032,0.894760017613386,0.894760016706677,-19.3319142449166,0,0,0,0,0,2271,175.254545454545
GWK60_A00099,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,1.0901249937317812,0,0.5450624968658906,-1.6691401747859522,3.3270202332504515,-0.5016922223990282,3.4705551833236803,none,GWK60_A00099,GWK60_A00099,ORF,CP048230.1,36888,39068,W,2181,1,0.00045850527281063,0.0640197701256615,0.00086210432990277,2081,0.954149472718936,0.954149470340767,-21.734012688488,0,0,0,0,0,2181,139.627118644068
GWK60_A00121,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,192.4070613936594,185.42021312366882,188.9136372586641,-0.053222326791816266,2.088835747635562,-0.025479421659678498,3.4705551833236803,none,GWK60_A00121,GWK60_A00121,ORF,CP048230.1,39869,42250,W,2382,5,0.00209907640638119,0.15769566245221,0.0555910082518898,1029,0.431989924433249,0.431989924288982,-14.491519061095,0,0,0,0,0,476.4,75.126213592233
GWK60_A00143,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,74.67356207062701,0.42971080677559403,37.5516364387013,-6.3372995314390925,2.3754688624315294,-2.667809977080581,3.4705551833236803,none,GWK60_A00143,GWK60_A00143,ORF,CP048230.1,42544,43215,C,672,1,0.00148809523809523,0.0761032948532948,0.0502387683418355,649,0.96577380952381,0.95723984538849,-15.8548670833623,1,0,0,0,0,672,51.1414141414141
GWK60_A00165,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,3.6337499791059376,0,1.8168749895529688,-3.04745113312428,3.0229993785511784,-1.0080885741315702,3.4705551833236803,none,GWK60_A00165,GWK60_A00165,ORF,CP048230.1,43698,44498,W,801,1,0.00124843945068664,0.0617587390761548,0.00192698105186019,712,0.888888888888889,0.886712817444178,-20.1490501877668,0,0,0,0,0,801,49.46875
GWK60_A00187,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,0,2.7931202440413614,1.3965601220206807,2.7194551910450167,3.0869725095119693,0.8809457106163039,3.4705551833236803,none,GWK60_A00187,GWK60_A00187,ORF,CP048230.1,44808,45404,C,597,0,0,0,0,597,1,0.981476175036701,-24.5413676105456,3,0,0,0,0,9999,46.7425742574257
GWK60_A00209,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,293.9703733096703,19.981552515065122,156.97596291236772,-3.845725509858894,2.119854007755786,-1.8141463967748548,3.4705551833236803,none,GWK60_A00209,GWK60_A00209,ORF,CP048230.1,45607,47136,W,1530,5,0.00326797385620915,0.178733031674208,0.0932610769508585,515,0.336601307189543,0.336600743553883,-13.880480340243,1,0,0,0,0,306,54.6923076923077
GWK60_A00231,yH298_pool1_treated_vs_parent,yH298,1,yH298-parent-pool1,yH298-H2O2-treated-facs-pool1,388.08449776851415,631.2451751533476,509.66483646093093,0.7011143938322596,1.9301812549356594,0.3632375933811618,3.4705551833236803,none,GWK60_A00231,GWK60_A00231,ORF,CP048230.1,47685,48254,W,570,6,0.0105263157894737,0.539271255060729,0.309559659948656,157,0.275438596491228,0.268793083574431,-13.4799964178858,0,0,0,0,0,95,51.2307692307692
