cglab_id	cglab_gene_name	cglab_cagl_id	qng_id	scer_id	scer_gene_name	scer_sgdid	C_glabrata_raw	S_cerevisiae_raw	Orthogroup
GWK60_M04015	HXT14	CAGL0M04103g	QNG16885.1	YNL318C	HXT14	S000005262	QNG16885.1 HXT14 [Nakaseomyces glabratus]	YNL318C HXT14 SGDID_S000005262_ Chr XIV from 40329-38707_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Protein with similarity to hexose transporter family members; expression is induced in low glucose and repressed in high glucose; the authentic_ non-tagged protein is detected in highly purified mitochondria in high-throughput studies""	OG0000001
GWK60_L00099	protein_coding	CAGL0I00286g	QNG15959.1	YFL011W	HXT10	S000001883	QNG15959.1 uncharacterized protein GWK60_L00099 [Nakaseomyces glabratus], QNG12879.1 uncharacterized protein GWK60_D02805 [Nakaseomyces glabratus], QNG12880.1 uncharacterized protein GWK60_D02827 [Nakaseomyces glabratus]	YFL011W HXT10 SGDID_S000001883_ Chr VI from 112345-113985_ Genome Release 64-5-1_ Verified ORF_ ""Hexose transporter; expressed at low levels and expression is repressed by glucose"", YMR011W HXT2 SGDID_S000004613_ Chr XIII from 288079-289704_ Genome Release 64-5-1_ Verified ORF_ ""High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose""	OG0000001
GWK60_D02805	protein_coding	CAGL0D02640g	QNG12879.1	YFL011W	HXT10	S000001883	QNG15959.1 uncharacterized protein GWK60_L00099 [Nakaseomyces glabratus], QNG12879.1 uncharacterized protein GWK60_D02805 [Nakaseomyces glabratus], QNG12880.1 uncharacterized protein GWK60_D02827 [Nakaseomyces glabratus]	YFL011W HXT10 SGDID_S000001883_ Chr VI from 112345-113985_ Genome Release 64-5-1_ Verified ORF_ ""Hexose transporter; expressed at low levels and expression is repressed by glucose"", YMR011W HXT2 SGDID_S000004613_ Chr XIII from 288079-289704_ Genome Release 64-5-1_ Verified ORF_ ""High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose""	OG0000001
GWK60_D02827	protein_coding	CAGL0D02662g	QNG12880.1	YFL011W	HXT10	S000001883	QNG15959.1 uncharacterized protein GWK60_L00099 [Nakaseomyces glabratus], QNG12879.1 uncharacterized protein GWK60_D02805 [Nakaseomyces glabratus], QNG12880.1 uncharacterized protein GWK60_D02827 [Nakaseomyces glabratus]	YFL011W HXT10 SGDID_S000001883_ Chr VI from 112345-113985_ Genome Release 64-5-1_ Verified ORF_ ""Hexose transporter; expressed at low levels and expression is repressed by glucose"", YMR011W HXT2 SGDID_S000004613_ Chr XIII from 288079-289704_ Genome Release 64-5-1_ Verified ORF_ ""High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose""	OG0000001
GWK60_A01595	HXT4	CAGL0A01782g	QNG12177.1	YJL219W	HXT9	S000003755	QNG12177.1 HXT4 [Nakaseomyces glabratus], QNG12194.1 HXT6/7 [Nakaseomyces glabratus], QNG12135.1 uncharacterized protein GWK60_A00649 [Nakaseomyces glabratus], QNG12195.1 HXT4/6/7 [Nakaseomyces glabratus]	YJL219W HXT9 SGDID_S000003755_ Chr X from 19497-21200_ Genome Release 64-5-1_ Verified ORF_ ""Putative hexose transporter that is nearly identical to Hxt11p; has similarity to major facilitator superfamily _MFS_ transporters_ expression of HXT9 is regulated by transcription factors Pdr1p and Pdr3p"", YOL156W HXT11 SGDID_S000005516_ Chr XV from 25273-26976_ Genome Release 64-5-1_ Verified ORF_ ""Hexose transporter; capable of transporting a broad range of substrates including_ glucose_ fructose_ mannose and galactose; polyol transporter that supports the growth on and uptake of xylitol with low affinity when overexpressed in a strain deleted for hexose family members; nearly identical in sequence to Hxt9p; has similarity to major facilitator superfamily _MFS_ transporters; involved in pleiotropic drug resistance"", YDR342C HXT7 SGDID_S000002750_ Chr IV from 1155928-1154216_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ nearly identical to Hxt6p_ expressed at high basal levels relative to other HXTs_ expression repressed by high glucose levels; HXT7 has a paralog_ HXT4_ that arose from the whole genome duplication"", YDR343C HXT6 SGDID_S000002751_ Chr IV from 1161320-1159608_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ nearly identical to Hxt7p_ expressed at high basal levels relative to other HXTs_ repression of expression by high glucose requires SNF3; HXT6 has a paralog_ HXT1_ that arose from the whole genome duplication"", YHR092C HXT4 SGDID_S000001134_ Chr VIII from 288811-287081_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog_ HXT7_ that arose from the whole genome duplication""	OG0000001
GWK60_A02035	HXT6/7	CAGL0A02211g	QNG12194.1	YJL219W	HXT9	S000003755	QNG12177.1 HXT4 [Nakaseomyces glabratus], QNG12194.1 HXT6/7 [Nakaseomyces glabratus], QNG12135.1 uncharacterized protein GWK60_A00649 [Nakaseomyces glabratus], QNG12195.1 HXT4/6/7 [Nakaseomyces glabratus]	YJL219W HXT9 SGDID_S000003755_ Chr X from 19497-21200_ Genome Release 64-5-1_ Verified ORF_ ""Putative hexose transporter that is nearly identical to Hxt11p; has similarity to major facilitator superfamily _MFS_ transporters_ expression of HXT9 is regulated by transcription factors Pdr1p and Pdr3p"", YOL156W HXT11 SGDID_S000005516_ Chr XV from 25273-26976_ Genome Release 64-5-1_ Verified ORF_ ""Hexose transporter; capable of transporting a broad range of substrates including_ glucose_ fructose_ mannose and galactose; polyol transporter that supports the growth on and uptake of xylitol with low affinity when overexpressed in a strain deleted for hexose family members; nearly identical in sequence to Hxt9p; has similarity to major facilitator superfamily _MFS_ transporters; involved in pleiotropic drug resistance"", YDR342C HXT7 SGDID_S000002750_ Chr IV from 1155928-1154216_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ nearly identical to Hxt6p_ expressed at high basal levels relative to other HXTs_ expression repressed by high glucose levels; HXT7 has a paralog_ HXT4_ that arose from the whole genome duplication"", YDR343C HXT6 SGDID_S000002751_ Chr IV from 1161320-1159608_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ nearly identical to Hxt7p_ expressed at high basal levels relative to other HXTs_ repression of expression by high glucose requires SNF3; HXT6 has a paralog_ HXT1_ that arose from the whole genome duplication"", YHR092C HXT4 SGDID_S000001134_ Chr VIII from 288811-287081_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog_ HXT7_ that arose from the whole genome duplication""	OG0000001
GWK60_A00649	protein_coding	CAGL0A00737g	QNG12135.1	YJL219W	HXT9	S000003755	QNG12177.1 HXT4 [Nakaseomyces glabratus], QNG12194.1 HXT6/7 [Nakaseomyces glabratus], QNG12135.1 uncharacterized protein GWK60_A00649 [Nakaseomyces glabratus], QNG12195.1 HXT4/6/7 [Nakaseomyces glabratus]	YJL219W HXT9 SGDID_S000003755_ Chr X from 19497-21200_ Genome Release 64-5-1_ Verified ORF_ ""Putative hexose transporter that is nearly identical to Hxt11p; has similarity to major facilitator superfamily _MFS_ transporters_ expression of HXT9 is regulated by transcription factors Pdr1p and Pdr3p"", YOL156W HXT11 SGDID_S000005516_ Chr XV from 25273-26976_ Genome Release 64-5-1_ Verified ORF_ ""Hexose transporter; capable of transporting a broad range of substrates including_ glucose_ fructose_ mannose and galactose; polyol transporter that supports the growth on and uptake of xylitol with low affinity when overexpressed in a strain deleted for hexose family members; nearly identical in sequence to Hxt9p; has similarity to major facilitator superfamily _MFS_ transporters; involved in pleiotropic drug resistance"", YDR342C HXT7 SGDID_S000002750_ Chr IV from 1155928-1154216_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ nearly identical to Hxt6p_ expressed at high basal levels relative to other HXTs_ expression repressed by high glucose levels; HXT7 has a paralog_ HXT4_ that arose from the whole genome duplication"", YDR343C HXT6 SGDID_S000002751_ Chr IV from 1161320-1159608_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ nearly identical to Hxt7p_ expressed at high basal levels relative to other HXTs_ repression of expression by high glucose requires SNF3; HXT6 has a paralog_ HXT1_ that arose from the whole genome duplication"", YHR092C HXT4 SGDID_S000001134_ Chr VIII from 288811-287081_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog_ HXT7_ that arose from the whole genome duplication""	OG0000001
GWK60_A02057	HXT4/6/7	CAGL0A02233g	QNG12195.1	YJL219W	HXT9	S000003755	QNG12177.1 HXT4 [Nakaseomyces glabratus], QNG12194.1 HXT6/7 [Nakaseomyces glabratus], QNG12135.1 uncharacterized protein GWK60_A00649 [Nakaseomyces glabratus], QNG12195.1 HXT4/6/7 [Nakaseomyces glabratus]	YJL219W HXT9 SGDID_S000003755_ Chr X from 19497-21200_ Genome Release 64-5-1_ Verified ORF_ ""Putative hexose transporter that is nearly identical to Hxt11p; has similarity to major facilitator superfamily _MFS_ transporters_ expression of HXT9 is regulated by transcription factors Pdr1p and Pdr3p"", YOL156W HXT11 SGDID_S000005516_ Chr XV from 25273-26976_ Genome Release 64-5-1_ Verified ORF_ ""Hexose transporter; capable of transporting a broad range of substrates including_ glucose_ fructose_ mannose and galactose; polyol transporter that supports the growth on and uptake of xylitol with low affinity when overexpressed in a strain deleted for hexose family members; nearly identical in sequence to Hxt9p; has similarity to major facilitator superfamily _MFS_ transporters; involved in pleiotropic drug resistance"", YDR342C HXT7 SGDID_S000002750_ Chr IV from 1155928-1154216_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ nearly identical to Hxt6p_ expressed at high basal levels relative to other HXTs_ expression repressed by high glucose levels; HXT7 has a paralog_ HXT4_ that arose from the whole genome duplication"", YDR343C HXT6 SGDID_S000002751_ Chr IV from 1161320-1159608_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ nearly identical to Hxt7p_ expressed at high basal levels relative to other HXTs_ repression of expression by high glucose requires SNF3; HXT6 has a paralog_ HXT1_ that arose from the whole genome duplication"", YHR092C HXT4 SGDID_S000001134_ Chr VIII from 288811-287081_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog_ HXT7_ that arose from the whole genome duplication""	OG0000001
GWK60_A01617	HXT1	CAGL0A01804g	QNG12178.1	YDR345C	HXT3	S000002753	QNG12178.1 HXT1 [Nakaseomyces glabratus], QNG12198.1 HXT3 [Nakaseomyces glabratus]	YDR345C HXT3 SGDID_S000002753_ Chr IV from 1164660-1162957_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog_ HXT5_ that arose from the whole genome duplication"", YHR094C HXT1 SGDID_S000001136_ Chr VIII from 292625-290913_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog_ HXT6_ what arose from the whole genome duplication""	OG0000001
GWK60_A02123	HXT3	CAGL0A02321g	QNG12198.1	YDR345C	HXT3	S000002753	QNG12178.1 HXT1 [Nakaseomyces glabratus], QNG12198.1 HXT3 [Nakaseomyces glabratus]	YDR345C HXT3 SGDID_S000002753_ Chr IV from 1164660-1162957_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog_ HXT5_ that arose from the whole genome duplication"", YHR094C HXT1 SGDID_S000001136_ Chr VIII from 292625-290913_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog_ HXT6_ what arose from the whole genome duplication""	OG0000001
