Chromosome,Position,Reads
CP048230.1,31751,1
CP048230.1,34070,1
CP048230.1,39216,1
CP048230.1,39235,2
CP048230.1,39241,2
CP048230.1,39279,1
CP048230.1,39439,1
CP048230.1,39659,1
CP048230.1,50802,1
CP048230.1,51236,1
CP048230.1,51519,1
CP048230.1,52044,2
CP048230.1,59138,1
CP048230.1,60511,1
CP048230.1,61106,2
CP048230.1,61114,1
CP048230.1,61194,1
CP048230.1,61612,2
CP048230.1,61621,1
CP048230.1,61641,1
CP048230.1,68680,1
CP048230.1,73108,1
CP048230.1,73407,2
CP048230.1,73773,4
CP048230.1,74320,2
CP048230.1,74530,2
CP048230.1,78016,1
CP048230.1,78066,1
CP048230.1,78225,2
CP048230.1,78415,5
CP048230.1,78422,3
CP048230.1,78438,2
CP048230.1,78445,1
CP048230.1,78522,1
CP048230.1,78531,1
CP048230.1,78652,1
CP048230.1,78665,1
CP048230.1,78747,1
CP048230.1,78810,1
CP048230.1,79129,1
CP048230.1,79223,2
CP048230.1,79349,1
CP048230.1,79473,1
CP048230.1,80502,2
CP048230.1,84042,2
CP048230.1,84070,1
CP048230.1,84203,1
CP048230.1,84282,1
CP048230.1,87535,1
CP048230.1,87557,4
CP048230.1,87589,2
CP048230.1,90840,1
CP048230.1,92985,1
CP048230.1,94809,2
CP048230.1,95120,1
CP048230.1,95607,2
CP048230.1,96529,3
CP048230.1,96536,2
CP048230.1,97034,1
CP048230.1,97505,1
CP048230.1,98356,1
CP048230.1,98414,2
CP048230.1,98646,1
CP048230.1,98684,1
CP048230.1,99216,2
CP048230.1,99251,1
CP048230.1,99292,2
CP048230.1,100783,1
CP048230.1,100824,1
CP048230.1,100860,1
CP048230.1,101931,1
CP048230.1,101993,1
CP048230.1,108849,2
CP048230.1,108887,1
CP048230.1,120528,1
CP048230.1,122020,1
CP048230.1,122439,2
CP048230.1,122634,1
CP048230.1,122690,1
CP048230.1,122706,1
CP048230.1,122720,1
CP048230.1,122814,3
CP048230.1,123154,1
CP048230.1,123260,5
CP048230.1,123370,4
CP048230.1,123399,2
CP048230.1,123433,1
CP048230.1,123441,1
CP048230.1,125453,1
CP048230.1,127617,1
CP048230.1,127808,1
CP048230.1,128151,2
CP048230.1,128466,1
CP048230.1,130680,1
CP048230.1,132273,1
CP048230.1,132295,1
CP048230.1,132302,2
CP048230.1,132329,2
CP048230.1,132362,3
CP048230.1,132371,1
CP048230.1,132375,2
CP048230.1,132401,1
CP048230.1,132408,1
CP048230.1,132422,2
CP048230.1,134109,1
CP048230.1,140915,3
CP048230.1,140963,1
CP048230.1,141229,1
CP048230.1,141835,1
CP048230.1,142371,1
CP048230.1,142377,1
CP048230.1,142428,5
CP048230.1,143904,1
CP048230.1,145317,1
CP048230.1,145604,1
CP048230.1,145709,2
CP048230.1,146431,1
CP048230.1,150450,2
CP048230.1,150515,3
CP048230.1,150521,3
CP048230.1,150819,3
CP048230.1,150825,2
CP048230.1,151542,1
CP048230.1,159924,1
CP048230.1,160019,2
CP048230.1,160310,1
CP048230.1,168310,1
CP048230.1,173583,1
CP048230.1,179644,1
CP048230.1,181299,1
CP048230.1,181497,1
CP048230.1,181543,2
CP048230.1,182599,1
CP048230.1,182762,1
CP048230.1,183391,1
CP048230.1,183398,2
CP048230.1,183576,2
CP048230.1,183587,1
CP048230.1,183621,1
CP048230.1,183903,3
CP048230.1,190247,1
CP048230.1,190254,1
CP048230.1,190339,1
CP048230.1,191747,1
CP048230.1,195813,1
CP048230.1,196193,2
CP048230.1,197351,1
CP048230.1,203274,1
CP048230.1,204496,1
CP048230.1,205827,1
CP048230.1,206605,2
CP048230.1,207994,2
CP048230.1,208650,1
CP048230.1,215841,1
CP048230.1,227633,1
CP048230.1,235303,1
CP048230.1,236281,1
CP048230.1,236333,2
CP048230.1,250745,1
CP048230.1,254353,2
CP048230.1,254809,1
CP048230.1,260124,1
CP048230.1,260158,1
CP048230.1,263957,1
CP048230.1,264133,1
CP048230.1,264210,4
CP048230.1,265386,1
CP048230.1,268615,1
CP048230.1,268702,1
CP048230.1,269411,1
CP048230.1,270337,1
CP048230.1,272483,1
CP048230.1,273146,1
CP048230.1,273684,1
CP048230.1,276748,1
CP048230.1,276927,1
CP048230.1,279159,3
CP048230.1,281193,1
CP048230.1,284396,3
CP048230.1,292113,1
CP048230.1,296643,1
CP048230.1,312907,1
CP048230.1,323285,1
CP048230.1,323799,1
CP048230.1,328326,1
CP048230.1,328542,1
CP048230.1,332449,1
CP048230.1,332463,2
CP048230.1,332509,1
CP048230.1,333637,1
CP048230.1,334564,1
CP048230.1,334949,1
CP048230.1,342426,1
CP048230.1,343243,1
CP048230.1,343451,1
CP048230.1,351044,1
CP048230.1,351063,1
CP048230.1,351238,1
CP048230.1,351273,4
CP048230.1,351280,2
CP048230.1,351984,1
CP048230.1,355632,2
CP048230.1,372331,1
CP048230.1,372338,2
CP048230.1,372543,1
CP048230.1,372735,1
CP048230.1,372916,1
CP048230.1,372990,2
CP048230.1,376465,1
CP048230.1,376783,2
CP048230.1,376785,1
CP048230.1,384524,1
CP048230.1,391873,1
CP048230.1,399748,1
CP048230.1,407591,1
CP048230.1,411303,1
CP048230.1,411520,1
CP048230.1,411600,2
CP048230.1,411608,2
CP048230.1,411615,1
CP048230.1,411682,1
CP048230.1,411734,1
CP048230.1,411771,2
CP048230.1,422943,1
CP048230.1,425243,1
CP048230.1,428140,1
CP048230.1,430837,7
CP048230.1,430844,1
CP048230.1,434744,2
CP048230.1,434925,1
CP048230.1,439540,3
CP048230.1,439547,3
CP048230.1,439602,1
CP048230.1,440367,1
CP048230.1,443311,1
CP048230.1,443507,1
CP048230.1,443581,1
CP048230.1,443629,1
CP048230.1,443670,2
CP048230.1,443675,1
CP048230.1,443929,2
CP048230.1,443943,1
CP048230.1,447975,1
CP048230.1,451115,1
CP048230.1,463093,2
CP048230.1,463121,1
CP048230.1,463428,2
CP048230.1,469005,1
CP048230.1,475846,1
CP048230.1,479011,1
CP048230.1,481731,1
CP048230.1,481779,1
CP048230.1,481816,2
CP048230.1,488292,1
CP048231.1,17492,1
CP048231.1,18690,1
CP048231.1,20513,1
CP048231.1,24570,1
CP048231.1,27920,1
CP048231.1,28374,1
CP048231.1,33207,1
CP048231.1,42953,1
CP048231.1,43200,2
CP048231.1,43858,1
CP048231.1,45470,2
CP048231.1,49175,1
CP048231.1,52782,1
CP048231.1,53721,1
CP048231.1,55098,1
CP048231.1,55289,1
CP048231.1,61108,1
CP048231.1,65491,5
CP048231.1,65519,2
CP048231.1,68135,1
CP048231.1,72751,1
CP048231.1,75371,1
CP048231.1,75458,1
CP048231.1,75847,2
CP048231.1,75944,1
CP048231.1,78053,1
CP048231.1,81280,1
CP048231.1,82019,2
CP048231.1,89518,1
CP048231.1,90298,2
CP048231.1,92071,2
CP048231.1,92566,1
CP048231.1,93030,2
CP048231.1,93041,1
CP048231.1,94913,1
CP048231.1,96931,1
CP048231.1,98183,1
CP048231.1,99603,1
CP048231.1,102091,1
CP048231.1,108810,2
CP048231.1,114554,1
CP048231.1,116822,1
CP048231.1,139366,1
CP048231.1,148777,3
CP048231.1,149123,1
CP048231.1,159153,1
CP048231.1,178359,1
CP048231.1,181517,2
CP048231.1,183417,1
CP048231.1,184177,1
CP048231.1,196496,1
CP048231.1,196751,1
CP048231.1,196754,2
CP048231.1,200144,2
CP048231.1,200420,2
CP048231.1,221461,1
CP048231.1,221683,2
CP048231.1,221814,1
CP048231.1,221816,2
CP048231.1,230559,1
CP048231.1,233735,1
CP048231.1,234204,4
CP048231.1,234483,2
CP048231.1,234532,1
CP048231.1,234539,1
CP048231.1,235563,1
CP048231.1,237651,1
CP048231.1,238260,1
CP048231.1,240380,4
CP048231.1,248374,2
CP048231.1,250792,2
CP048231.1,251032,1
CP048231.1,252990,1
CP048231.1,256557,1
CP048231.1,256851,1
CP048231.1,256865,1
CP048231.1,256918,1
CP048231.1,260593,1
CP048231.1,264036,1
CP048231.1,264365,1
CP048231.1,269132,1
CP048231.1,276863,1
CP048231.1,278311,1
CP048231.1,278475,1
CP048231.1,279455,1
CP048231.1,279463,1
CP048231.1,279532,1
CP048231.1,279549,2
CP048231.1,279574,2
CP048231.1,279634,1
