Chromosome	Source	Up feature type	Up feature name	Up gene name	Up feature dist	Down feature type	Down feature name	Down gene name	Down feature dist	IntergenicType	Hit position	Hit count
CP048230.1	C				1773	gene	GWK60_A00011	EPA19	1513	 - -C	1774	2
CP048230.1	C	gene	GWK60_A00033	EPA24	0	gene	GWK60_A00033	EPA24	0	ORF(C)-ORF(C)	27213	1
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	139	gene	GWK60_A00121	GWK60_A00121	662	W-W	39207	2
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	167	gene	GWK60_A00121	GWK60_A00121	634	W-W	39235	1
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	204	gene	GWK60_A00121	GWK60_A00121	597	W-W	39272	5
CP048230.1	C	gene	GWK60_A00099	GWK60_A00099	211	gene	GWK60_A00121	GWK60_A00121	590	W-W	39279	7
CP048230.1	C	gene	GWK60_A00099	GWK60_A00099	222	gene	GWK60_A00121	GWK60_A00121	579	W-W	39290	1
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	223	gene	GWK60_A00121	GWK60_A00121	578	W-W	39291	1
CP048230.1	C	gene	GWK60_A00099	GWK60_A00099	385	gene	GWK60_A00121	GWK60_A00121	416	W-W	39453	1
CP048230.1	C	gene	GWK60_A00099	GWK60_A00099	394	gene	GWK60_A00121	GWK60_A00121	407	W-W	39462	3
CP048230.1	C	gene	GWK60_A00099	GWK60_A00099	598	gene	GWK60_A00121	GWK60_A00121	203	W-W	39666	2
CP048230.1	W	gene	GWK60_A00143	GWK60_A00143	99	gene	GWK60_A00165	GWK60_A00165	384	C-W	43314	1
CP048230.1	C	gene	GWK60_A00143	GWK60_A00143	106	gene	GWK60_A00165	GWK60_A00165	377	C-W	43321	1
CP048230.1	C	gene	GWK60_A00143	GWK60_A00143	307	gene	GWK60_A00165	GWK60_A00165	176	C-W	43522	1
CP048230.1	C	gene	GWK60_A00165	GWK60_A00165	0	gene	GWK60_A00165	GWK60_A00165	0	ORF(W)-ORF(W)	44436	1
CP048230.1	C	gene	GWK60_A00209	GWK60_A00209	0	gene	GWK60_A00209	GWK60_A00209	0	ORF(W)-ORF(W)	45872	1
CP048230.1	W	gene	GWK60_A00231	GWK60_A00231	0	gene	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	47835	1
CP048230.1	W	gene	GWK60_A00231	GWK60_A00231	0	gene	GWK60_A00231	GWK60_A00231	0	ORF(W)-ORF(W)	47976	2
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	48787	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	49695	1
CP048230.1	C	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50369	2
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50503	1
CP048230.1	C	gene	GWK60_A00253	GWK60_A00253	0	gene	GWK60_A00253	GWK60_A00253	0	ORF(C)-ORF(C)	50510	2
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	39	gene	GWK60_A00275	GWK60_A00275	789	C-C	51017	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	171	gene	GWK60_A00275	GWK60_A00275	657	C-C	51149	2
CP048230.1	C	gene	GWK60_A00253	GWK60_A00253	178	gene	GWK60_A00275	GWK60_A00275	650	C-C	51156	1
CP048230.1	C	gene	GWK60_A00253	GWK60_A00253	194	gene	GWK60_A00275	GWK60_A00275	634	C-C	51172	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	255	gene	GWK60_A00275	GWK60_A00275	573	C-C	51233	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	258	gene	GWK60_A00275	GWK60_A00275	570	C-C	51236	8
CP048230.1	C	gene	GWK60_A00253	GWK60_A00253	265	gene	GWK60_A00275	GWK60_A00275	563	C-C	51243	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	542	gene	GWK60_A00275	GWK60_A00275	286	C-C	51520	1
CP048230.1	C	gene	GWK60_A00253	GWK60_A00253	551	gene	GWK60_A00275	GWK60_A00275	277	C-C	51529	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	578	gene	GWK60_A00275	GWK60_A00275	250	C-C	51556	1
CP048230.1	C	gene	GWK60_A00253	GWK60_A00253	585	gene	GWK60_A00275	GWK60_A00275	243	C-C	51563	2
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	646	gene	GWK60_A00275	GWK60_A00275	182	C-C	51624	2
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	647	gene	GWK60_A00275	GWK60_A00275	181	C-C	51625	3
CP048230.1	C	gene	GWK60_A00253	GWK60_A00253	654	gene	GWK60_A00275	GWK60_A00275	174	C-C	51632	2
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	779	gene	GWK60_A00275	GWK60_A00275	49	C-C	51757	2
CP048230.1	C	gene	GWK60_A00253	GWK60_A00253	786	gene	GWK60_A00275	GWK60_A00275	42	C-C	51764	2
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	787	gene	GWK60_A00275	GWK60_A00275	41	C-C	51765	1
CP048230.1	C	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	51889	1
CP048230.1	W	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52037	3
CP048230.1	C	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52044	9
CP048230.1	W	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52067	2
CP048230.1	C	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52074	2
CP048230.1	C	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52108	1
CP048230.1	W	gene	GWK60_A00275	GWK60_A00275	0	gene	GWK60_A00275	GWK60_A00275	0	ORF(C)-ORF(C)	52266	1
CP048230.1	C	gene	GWK60_A00275	GWK60_A00275	265	gene	GWK60_A00297	SCL1	919	C-W	55280	3
CP048230.1	C	gene	GWK60_A00275	GWK60_A00275	266	gene	GWK60_A00297	SCL1	918	C-W	55281	2
CP048230.1	C	gene	GWK60_A00275	GWK60_A00275	342	gene	GWK60_A00297	SCL1	842	C-W	55357	3
CP048230.1	W	gene	GWK60_A00297	SCL1	59	gene	GWK60_A00319	ERG4	257	W-C	57022	1
CP048230.1	C	gene	GWK60_A00297	SCL1	175	gene	GWK60_A00319	ERG4	141	W-C	57138	1
CP048230.1	W	gene	GWK60_A00319	ERG4	214	gene	GWK60_A00341	PDR1	3324	C-W	58887	1
CP048230.1	W	gene	GWK60_A00319	ERG4	323	gene	GWK60_A00341	PDR1	3215	C-W	58996	1
CP048230.1	W	gene	GWK60_A00319	ERG4	334	gene	GWK60_A00341	PDR1	3204	C-W	59007	1
CP048230.1	W	gene	GWK60_A00319	ERG4	373	gene	GWK60_A00341	PDR1	3165	C-W	59046	2
CP048230.1	C	gene	GWK60_A00319	ERG4	380	gene	GWK60_A00341	PDR1	3158	C-W	59053	1
CP048230.1	W	gene	GWK60_A00319	ERG4	784	gene	GWK60_A00341	PDR1	2754	C-W	59457	1
CP048230.1	W	gene	GWK60_A00319	ERG4	951	gene	GWK60_A00341	PDR1	2587	C-W	59624	1
CP048230.1	W	gene	GWK60_A00319	ERG4	1325	gene	GWK60_A00341	PDR1	2213	C-W	59998	1
CP048230.1	C	gene	GWK60_A00319	ERG4	1365	gene	GWK60_A00341	PDR1	2173	C-W	60038	1
CP048230.1	C	gene	GWK60_A00319	ERG4	2440	gene	GWK60_A00341	PDR1	1098	C-W	61113	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2441	gene	GWK60_A00341	PDR1	1097	C-W	61114	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2478	gene	GWK60_A00341	PDR1	1060	C-W	61151	1
CP048230.1	C	gene	GWK60_A00319	ERG4	2627	gene	GWK60_A00341	PDR1	911	C-W	61300	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2688	gene	GWK60_A00341	PDR1	850	C-W	61361	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2704	gene	GWK60_A00341	PDR1	834	C-W	61377	2
CP048230.1	C	gene	GWK60_A00319	ERG4	2711	gene	GWK60_A00341	PDR1	827	C-W	61384	1
CP048230.1	C	gene	GWK60_A00319	ERG4	2863	gene	GWK60_A00341	PDR1	675	C-W	61536	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2932	gene	GWK60_A00341	PDR1	606	C-W	61605	1
