Standard name,Common name,Type,Sc ortholog,Sc ortholog gene name,Sc SGDID,Essential in Sc,Sc synthetic lethals,Sc fitness,Hits,Reads,Length,Insertion index,Neighborhood index,Reads NI,Max free region,Freedom index,Logit FI,Kornmann FI,Domain ratio,Hits in domains,Reads in domains,Domain coverage
GWK60_A00011,EPA19,ORF,,,,,,,2,2,13698,0.0001460067163089502,1.8592495254781718,0.0030680685238913727,6846,0.4997809899255366,0.4997809899255366,0.0,0.43371295079573663,0,0,5941
GWK60_A00033,EPA24,ORF,,,,,,,0,0,2109,0.0,0.0,0.0,2109,1.0,0.9999999948794296,0.0,0.3276434329065908,0,0,691
GWK60_A00055,GWK60_A00055,ORF,,,,,,,0,0,840,0.0,0.0,0.0,840,1.0,0.9983411989198255,0.0,0.0,0,0,0
GWK60_A00077,GWK60_A00077,ORF,YGL023C,PIB2,S000002991,,,0.8708,0,0,2271,0.0,0.0,0.0,2271,1.0,0.9999999989866457,0.0,0.7217084984588287,0,0,1639
GWK60_A00099,GWK60_A00099,ORF,YGL022W,STT3,S000002990,,,,0,0,2181,0.0,0.0,0.0,2181,1.0,0.9999999975075509,0.0,0.948188904172398,0,0,2068
GWK60_A00121,GWK60_A00121,ORF,YBL009W,ALK2,S000000105,,No,1.0150,2,36,2382,0.0008396305625524769,0.11812838714601939,0.0032046448161170416,1712,0.7187237615449202,0.7187237613048952,0.0,0.8014273719563392,0,0,1909
GWK60_A00143,GWK60_A00143,ORF,YGL020C,GET1,S000002988,,,0.9325,2,2594,672,0.002976190476190476,0.2843104222821204,0.5465110801737993,370,0.5505952380952381,0.5457299580797249,0.0,0.8720238095238095,2,2594,586
GWK60_A00165,GWK60_A00165,ORF,YGL019W,CKB1,S000002987,,No,0.8682,0,0,801,0.0,0.0,0.0,801,1.0,0.9975519196246999,0.0,0.9188514357053683,0,0,736
GWK60_A00187,GWK60_A00187,ORF,YGL018C,JAC1,S000002986,,,,0,0,597,0.0,0.0,0.0,597,1.0,0.9814761750367006,0.0,0.88107202680067,0,0,526
GWK60_A00209,GWK60_A00209,ORF,YGL017W,ATE1,S000002985,,,1.0025,0,0,1530,0.0,0.0,0.0,1530,1.0,0.9999983255095944,0.0,0.5620915032679739,0,0,860
GWK60_A00231,GWK60_A00231,ORF,YGL010W,MPO1,S000002978,,,1.0220,5,2967,570,0.008771929824561403,0.8818272095332671,0.7886268975250422,197,0.3456140350877193,0.3372753978609108,0.17084830469792844,0.843859649122807,5,2967,481
GWK60_A00253,GWK60_A00253,ORF,YGL009C,LEU1,S000002977,,,1.0212,9,3560,2355,0.003821656050955414,0.43538359159615936,0.28673109428931615,708,0.3006369426751592,0.3006369425436379,0.1523044567827498,0.9953290870488323,8,3546,2344
GWK60_A00275,GWK60_A00275,ORF,YGL016W,KAP122,S000002984,,,0.9042,4,3171,3210,0.0012461059190031153,0.12255907605805032,0.1578314120744005,2745,0.8551401869158879,0.8551401869158155,0.0,0.9984423676012462,4,3171,3205
GWK60_A00297,SCL1,ORF,YGL011C,SCL1,S000002979,,Yes,,0,0,765,0.0,0.0,0.0,765,1.0,0.9964948127799336,0.0,0.9856209150326798,0,0,754
GWK60_A00319,ERG4,ORF,YGL012W,ERG4,S000002980,,,0.8460,0,0,1395,0.0,0.0,0.0,1395,1.0,0.9999935408088644,0.0,0.9469534050179211,0,0,1321
GWK60_A00341,PDR1,ORF,YBL005W,PDR3,S000000101,,No,1.0365,1,87,3324,0.00030084235860409147,0.028656140808722252,0.004398936921338933,2232,0.6714801444043321,0.6714801444043139,0.0,0.8038507821901324,1,87,2672
GWK60_A00363,GWK60_A00363,ORF,YGL014W,PUF4,S000002982,,,0.9610,7,2095,2361,0.002964845404489623,0.25128711939385384,0.122240849030594,685,0.29013130029648454,0.2901313001769507,0.09713978161941422,0.8331215586615841,6,1226,1967
GWK60_A00385,PMA1,ORF,YGL008C,PMA1,S000002976,,Yes,,0,0,2709,0.0,0.0,0.0,2709,1.0,0.9999999999873073,0.0,0.9638242894056848,0,0,2611
GWK60_A00407,GWK60_A00407,ORF,YGL006W,PMC1,S000002974,,,1.0077,11,18988,3369,0.003265063817156426,0.2577223706342139,0.6652379630465385,926,0.2748590086078955,0.27485900860789075,0.10074807447478869,0.9441970911249629,11,18988,3181
GWK60_A00429,GWK60_A00429,ORF,YGL005C,COG7,S000002973,,,0.9487,1,794,810,0.0012345679012345679,0.10105588044184535,0.12295084578778814,792,0.9777777777777777,0.9755896592236408,0.0,0.40617283950617283,0,0,329
GWK60_A00451,GWK60_A00451,ORF,YGL004C,RPN14,S000002972,,,1.0310,52,43298,1239,0.041969330104923326,3.727401129943503,4.949877214578098,139,0.11218724778046812,0.11218379943731022,0.0,0.8385794995964487,47,40314,1039
GWK60_A00473,GWK60_A00473,ORF,,,,,,,6,2583,1941,0.0030911901081916537,0.25230206587282583,0.16050406465410658,482,0.24832560535806286,0.24832559853538982,0.11696301295250101,0.7825862957238536,4,2354,1519
GWK60_A00495,GWK60_A00495,ORF,YGL003C,CDH1,S000002971,,,0.5930,0,0,1923,0.0,0.0,0.0,1923,1.0,0.9999999671068047,0.0,0.9739989599583984,0,0,1873
GWK60_A00517,GWK60_A00517,ORF,YGL002W,ERP6,S000002970,,No,1.0105,0,0,654,0.0,0.0,0.0,654,1.0,0.9894393119633768,0.0,0.9464831804281345,0,0,619
