sample,track_name,track_source,chromosome,position,read_count,strand,source_file,displayed_region_start,displayed_region_end,gene_start,gene_end,in_display_region,in_gene,region_class
yH298-parent-pool1,yH298-parent-pool1,raw,CP048235.1,912417,604,W,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048235.1,912471,1487,W,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048235.1,912504,958,W,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048235.1,913044,38,W,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048235.1,912327,331,C,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048235.1,912424,440,C,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048235.1,912478,374,C,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048235.1,912616,2,C,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048235.1,912675,46,C,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048235.1,912699,329,C,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048235.1,915077,215,C,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,912126,916018,913126,915018,True,False,right_flank
yH298-parent-pool2,yH298-parent-pool2,raw,CP048235.1,912347,45,W,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool2,yH298-parent-pool2,raw,CP048235.1,912417,199,W,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool2,yH298-parent-pool2,raw,CP048235.1,912471,1627,W,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool2,yH298-parent-pool2,raw,CP048235.1,912504,368,W,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool2,yH298-parent-pool2,raw,CP048235.1,912668,291,W,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool2,yH298-parent-pool2,raw,CP048235.1,912692,8,W,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,912126,916018,913126,915018,True,False,left_flank
yH298-parent-pool2,yH298-parent-pool2,raw,CP048235.1,913044,11,W,/Users/joshuaayelazuno/Desktop/ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool2/yH298-parent-pool2_hits.txt,912126,916018,913126,915018,True,False,left_flank
