Chromosome,Position,Reads
CP048230.1,2614,606
CP048230.1,10133,1
CP048230.1,11960,1
CP048230.1,29242,1026
CP048230.1,29701,562
CP048230.1,31751,188
CP048230.1,31811,544
CP048230.1,32662,382
CP048230.1,33942,122
CP048230.1,34023,405
CP048230.1,34070,222
CP048230.1,39207,397
CP048230.1,39214,1
CP048230.1,39216,45
CP048230.1,39223,69
CP048230.1,39235,3607
CP048230.1,39241,920
CP048230.1,39242,282
CP048230.1,39272,1503
CP048230.1,39279,1268
CP048230.1,39283,1
CP048230.1,39290,9
CP048230.1,39407,1
CP048230.1,39439,1016
CP048230.1,39453,33
CP048230.1,39659,1068
CP048230.1,39666,2
CP048230.1,39718,42
CP048230.1,39760,68
CP048230.1,39849,849
CP048230.1,39869,35
CP048230.1,40538,1
CP048230.1,42836,1080
CP048230.1,42845,1514
CP048230.1,43314,1
CP048230.1,43316,1009
CP048230.1,43321,559
CP048230.1,45413,12
CP048230.1,45498,1144
CP048230.1,47470,18
CP048230.1,47789,1
CP048230.1,47811,162
CP048230.1,48009,206
CP048230.1,48033,1019
CP048230.1,48141,1579
CP048230.1,48375,377
CP048230.1,49332,243
CP048230.1,49695,494
CP048230.1,49952,713
CP048230.1,50369,45
CP048230.1,50558,2
CP048230.1,50618,524
CP048230.1,50725,5
CP048230.1,50802,1520
CP048230.1,50975,14
CP048230.1,51095,105
CP048230.1,51102,837
CP048230.1,51109,1
CP048230.1,51128,1
CP048230.1,51167,526
CP048230.1,51236,2759
CP048230.1,51243,7245
CP048230.1,51261,12
CP048230.1,51467,1527
CP048230.1,51519,1195
CP048230.1,51527,160
CP048230.1,51535,2
CP048230.1,51549,1
CP048230.1,51556,187
CP048230.1,51563,1005
CP048230.1,51596,1
CP048230.1,51633,6
CP048230.1,51700,1609
CP048230.1,51721,817
CP048230.1,51728,762
CP048230.1,51764,68
CP048230.1,51767,268
CP048230.1,51772,1235
CP048230.1,52037,1327
CP048230.1,52044,1842
CP048230.1,52067,1
CP048230.1,52270,1
CP048230.1,55101,274
CP048230.1,55281,1
CP048230.1,55412,132
CP048230.1,57021,130
CP048230.1,58956,507
CP048230.1,58996,1
CP048230.1,58997,1
CP048230.1,59007,187
CP048230.1,59053,789
CP048230.1,59138,736
CP048230.1,59504,109
CP048230.1,59915,1586
CP048230.1,59996,1
CP048230.1,60511,832
CP048230.1,60660,28
CP048230.1,60875,1
CP048230.1,60922,35
CP048230.1,60957,262
CP048230.1,60981,429
CP048230.1,61053,505
CP048230.1,61060,373
CP048230.1,61088,1
CP048230.1,61106,1222
CP048230.1,61110,1
CP048230.1,61112,487
CP048230.1,61114,1047
CP048230.1,61117,26
CP048230.1,61121,199
CP048230.1,61151,389
CP048230.1,61153,347
CP048230.1,61154,142
CP048230.1,61158,63
CP048230.1,61194,888
CP048230.1,61248,620
CP048230.1,61249,917
CP048230.1,61293,1859
CP048230.1,61369,1429
CP048230.1,61377,953
CP048230.1,61397,203
CP048230.1,61398,1
CP048230.1,61404,1
CP048230.1,61475,5
CP048230.1,61605,784
CP048230.1,61612,1680
CP048230.1,61614,1840
CP048230.1,61621,2914
CP048230.1,61641,452
CP048230.1,61699,1
CP048230.1,61701,30
CP048230.1,61808,638
CP048230.1,61815,753
CP048230.1,62106,218
CP048230.1,64443,87
CP048230.1,65637,560
CP048230.1,66391,1217
CP048230.1,66508,2
CP048230.1,66559,1
CP048230.1,66913,1
CP048230.1,67098,4
CP048230.1,67279,1
CP048230.1,67965,869
CP048230.1,68680,533
CP048230.1,68822,27
CP048230.1,68840,675
CP048230.1,68956,126
CP048230.1,69020,80
CP048230.1,69026,292
CP048230.1,69066,298
CP048230.1,69286,29
CP048230.1,69449,54
CP048230.1,72908,1
CP048230.1,73057,204
CP048230.1,73096,2617
CP048230.1,73107,81
