# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	3287	16984	-					EPA19		GWK60_A00011	13698		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	3287	16984	-			QNG12107.1	EPA19	EPA19		GWK60_A00011	13698		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	3287	16984	-	QNG12107.1			EPA19	EPA19		GWK60_A00011	13698	4565	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	26433	28541	-					EPA24		GWK60_A00033	2109		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	26433	28541	-			QNG12108.1	EPA24	EPA24		GWK60_A00033	2109		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	26433	28541	-	QNG12108.1			EPA24	EPA24		GWK60_A00033	2109	702	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	32665	33504	-							GWK60_A00055	840		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	32665	33504	-			QNG12109.1	uncharacterized protein			GWK60_A00055	840		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	32665	33504	-	QNG12109.1			uncharacterized protein			GWK60_A00055	840	279	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	34115	36385	-							GWK60_A00077	2271		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	34115	36385	-			QNG12110.1	uncharacterized protein			GWK60_A00077	2271		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	34115	36385	-	QNG12110.1			uncharacterized protein			GWK60_A00077	2271	756	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	36888	39068	+							GWK60_A00099	2181		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	36888	39068	+			QNG12111.1	uncharacterized protein			GWK60_A00099	2181		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	36888	39068	+	QNG12111.1			uncharacterized protein			GWK60_A00099	2181	726	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	39869	42250	+							GWK60_A00121	2382		
mRNA		GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	39869	42250	+			QNG12112.1	uncharacterized protein			GWK60_A00121	2382		
CDS	with_protein	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	39869	42250	+	QNG12112.1			uncharacterized protein			GWK60_A00121	2382	793	
gene	protein_coding	GCA_014217725.1	Primary Assembly	chromosome	A	CP048230.1	42544	43215	-							GWK60_A00143	672		
