sample,track_name,track_source,chromosome,position,read_count,strand,source_file,displayed_region_start,displayed_region_end,gene_start,gene_end,in_display_region,in_gene,region_class
yH298-parent-pool1,yH298-parent-pool1,raw,CP048230.1,227655,378,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,226656,228726,227656,227726,True,False,left_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048230.1,227858,120,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,226656,228726,227656,227726,True,False,right_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048230.1,227931,99,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,226656,228726,227656,227726,True,False,right_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048230.1,227938,89,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,226656,228726,227656,227726,True,False,right_flank
yH298-parent-pool1,yH298-parent-pool1,raw,CP048230.1,227570,259,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-parent-pool1/yH298-parent-pool1_hits.txt,226656,228726,227656,227726,True,False,left_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048230.1,227835,1,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,226656,228726,227656,227726,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048230.1,227931,361,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,226656,228726,227656,227726,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048230.1,227938,85,W,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,226656,228726,227656,227726,True,False,right_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048230.1,227183,1,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,226656,228726,227656,227726,True,False,left_flank
yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1,raw,CP048230.1,227522,233,C,/Volumes/rdss_bhe2/User/Joshua-Ayelazuno/Repositories /ytab/output/projects/H2O2_screen_v1/create_hit_file/yH298-H2O2-treated-facs-pool1/yH298-H2O2-treated-facs-pool1_hits.txt,226656,228726,227656,227726,True,False,left_flank
