RDF,1
standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A00011,EPA19,ORF,CP048230.1,3287,16984,C,13698,0,0,0.0,0.0,0.0,13698,1.0,1.0,-14.982548009651426,0,0,0,0,0.0,9999,12734.0
GWK60_A00033,EPA24,ORF,CP048230.1,26433,28541,C,2109,1,1,0.000474158368895211,0,0,1328,0.6296823138928402,0.6296823106685077,-13.982548009651426,0,0,0,0,0.0,2109.0,9999
GWK60_A00055,GWK60_A00055,ORF,CP048230.1,32665,33504,C,840,0,0,0.0,0.0,0.0,840,1.0,0.9983411989198255,-14.982548009651426,0,0,0,0,0.0,9999,944.0909090909091
GWK60_A00077,GWK60_A00077,ORF,CP048230.1,34115,36385,C,2271,0,0,0.0,0.0,0.0,2271,1.0,0.9999999989866457,-14.982548009651426,0,0,0,0,0.0,9999,803.25
GWK60_A00099,GWK60_A00099,ORF,CP048230.1,36888,39068,W,2181,0,0,0.0,0.0,0.0,2181,1.0,0.9999999975075509,-14.982548009651426,0,0,0,0,0.0,9999,686.5
GWK60_A00121,GWK60_A00121,ORF,CP048230.1,39869,42250,W,2382,0,0,0.0,0.0,0.0,2382,1.0,0.99999999966604,-14.982548009651426,0,0,0,0,0.0,9999,266.82758620689657
GWK60_A00143,GWK60_A00143,ORF,CP048230.1,42544,43215,C,672,0,0,0.0,0.0,0.0,672,1.0,0.9911635995393923,-14.982548009651426,1,0,0,0,0.0,9999,174.58620689655172
GWK60_A00165,GWK60_A00165,ORF,CP048230.1,43698,44498,W,801,1,1,0.0012484394506866417,0.2044427224589952,0.1022213612294976,738,0.9213483146067416,0.919092779878937,-13.982548009651426,0,0,0,0,0.0,801.0,163.75862068965517
GWK60_A00187,GWK60_A00187,ORF,CP048230.1,44808,45404,C,597,0,0,0.0,0.0,0.0,597,1.0,0.9814761750367006,-14.982548009651426,0,0,0,0,0.0,9999,147.53125
GWK60_A00209,GWK60_A00209,ORF,CP048230.1,45607,47136,W,1530,1,1,0.00065359477124183,0.11265597147950088,0.055487269534679536,1264,0.8261437908496732,0.8261424074798218,-13.982548009651426,0,0,0,0,0.0,1530.0,172.36363636363637
GWK60_A00231,GWK60_A00231,ORF,CP048230.1,47685,48254,W,570,2,3,0.0035087719298245615,0.5498452012383901,0.41238390092879257,278,0.48771929824561405,0.47595208429103153,-12.982548009651426,0,0,0,0,0.0,285.0,156.7058823529412
GWK60_A00253,GWK60_A00253,ORF,CP048230.1,48624,50978,C,2355,5,7,0.0021231422505307855,0.376882437169802,0.29087593227720615,907,0.3851380042462845,0.385138004077796,-11.982548009651426,1,0,0,0,0.0,471.0,177.51162790697674
GWK60_A00275,GWK60_A00275,ORF,CP048230.1,51806,55015,C,3210,7,19,0.0021806853582554517,0.33821591181404265,0.6120097451873153,2749,0.856386292834891,0.8563862928348185,-10.660619914764062,0,0,0,0,0.0,458.57142857142856,155.09615384615384
GWK60_A00297,SCL1,ORF,CP048230.1,56199,56963,W,765,0,0,0.0,0.0,0.0,765,1.0,0.9964948127799336,-14.982548009651426,0,0,0,0,0.0,9999,137.94117647058823
GWK60_A00319,ERG4,ORF,CP048230.1,57279,58673,C,1395,0,0,0.0,0.0,0.0,1395,1.0,0.9999935408088644,-14.982548009651426,0,0,0,0,0.0,9999,145.3921568627451
GWK60_A00341,PDR1,ORF,CP048230.1,62211,65534,W,3324,3,3,0.0009025270758122744,0.10341129074451945,0.06486708237610765,2943,0.8853790613718412,0.8853790613718172,-12.982548009651426,0,0,0,0,0.0,1108.0,114.57971014492753
GWK60_A00363,GWK60_A00363,ORF,CP048230.1,65791,68151,C,2361,2,3,0.0008470986869970351,0.08615558379217846,0.07880083883430958,1597,0.6764083015671326,0.676408301288453,-12.982548009651426,0,0,0,0,0.0,1180.5,101.70666666666666
GWK60_A00385,PMA1,ORF,CP048230.1,69666,72374,C,2709,0,0,0.0,0.0,0.0,2709,1.0,0.9999999999873073,-14.982548009651426,0,0,0,0,0.0,9999,91.64788732394366
GWK60_A00407,GWK60_A00407,ORF,CP048230.1,73476,76844,W,3369,10,29,0.0029682398337785693,0.24749267346435394,0.3692662425094962,898,0.26654793707331553,0.2665479370733109,-10.075657414042908,11,0,0,0,0.0,336.9,83.38028169014085
GWK60_A00429,GWK60_A00429,ORF,CP048230.1,77062,77871,C,810,3,3,0.003703703703703704,0.32915343915343914,0.16818058934847255,698,0.8617283950617284,0.8597999774470976,-12.982548009651426,1,0,0,0,0.0,270.0,88.87142857142857
GWK60_A00451,GWK60_A00451,ORF,CP048230.1,78356,79594,C,1239,38,80,0.03066989507667474,2.9850630756133425,3.27683615819209,122,0.09846650524616626,0.09846347864281903,-8.6426980067668,0,0,0,0,0.0,32.60526315789474,97.32876712328768
GWK60_A00473,GWK60_A00473,ORF,CP048230.1,79931,81871,W,1941,2,3,0.0010303967027305513,0.0853021270331935,0.06537754261668113,1713,0.8825347758887172,0.8825347516413335,-12.982548009651426,0,0,0,0,0.0,970.5,82.78571428571429
GWK60_A00495,GWK60_A00495,ORF,CP048230.1,81926,83848,C,1923,0,0,0.0,0.0,0.0,1923,1.0,0.9999999671068047,-14.982548009651426,0,0,0,0,0.0,9999,100.36363636363636
GWK60_A00517,GWK60_A00517,ORF,CP048230.1,84469,85122,W,654,0,0,0.0,0.0,0.0,654,1.0,0.9894393119633768,-14.982548009651426,0,0,0,0,0.0,9999,140.92592592592592
GWK60_A00539,GWK60_A00539,ORF,CP048230.1,85576,85959,W,384,0,0,0.0,0.0,0.0,384,1.0,0.8629487074245404,-14.982548009651426,0,0,0,0,0.0,9999,148.19298245614036
GWK60_A00583,GWK60_A00583,ORF,CP048230.1,87402,88226,W,825,3,8,0.0036363636363636364,0.5644019138755981,0.824895104895105,561,0.68,0.6786898204289373,-11.812623008209114,1,0,0,0,0.0,275.0,155.21052631578948
GWK60_A00605,GWK60_A00605,ORF,CP048230.1,89315,91915,W,2601,3,4,0.0011534025374855825,0.1942503971621945,0.1508464622651474,1844,0.708958093041138,0.7089580930146402,-12.660619914764064,1,0,0,0,0.0,867.0,168.41509433962264
GWK60_A00627,GWK60_A00627,ORF,CP048230.1,94544,94834,W,291,1,2,0.003436426116838488,0.5956969968623935,0.7829160530191458,265,0.9106529209621993,0.6492956808568888,-13.39758550893027,0,0,0,0,0.0,291.0,173.34782608695653
GWK60_A00649,GWK60_A00649,ORF,CP048230.1,95979,97628,W,1650,19,31,0.011515151515151515,1.899520202020202,2.066144781144781,550,0.3333333333333333,0.3333331652175306,-9.982548009651426,0,0,0,0,0.0,86.84210526315789,164.95833333333334
GWK60_A00671,GWK60_A00671,ORF,CP048230.1,98790,102578,W,3789,25,32,0.006598046978094484,1.0918921845287641,0.9733438902084983,864,0.22802850356294538,0.22802850356294532,-9.938153890292973,0,0,0,0,0.0,151.56,165.48717948717947
GWK60_A00693,GWK60_A00693,ORF,CP048230.1,102637,106125,C,3489,0,0,0.0,0.0,0.0,3489,1.0,0.9999999999999949,-14.982548009651426,1,0,0,0,0.0,9999,139.48717948717947
GWK60_A00715,GWK60_A00715,ORF,CP048230.1,106542,107636,W,1095,0,0,0.0,0.0,0.0,1095,1.0,0.9998702796695016,-14.982548009651426,1,0,0,0,0.0,9999,113.76190476190476
GWK60_A00737,GWK60_A00737,ORF,CP048230.1,107762,108751,C,990,0,0,0.0,0.0,0.0,990,1.0,0.9996293938593735,-14.982548009651426,4,0,0,0,0.0,9999,112.47619047619048
