Chromosome	Source	Up feature type	Up feature name	Up gene name	Up feature dist	Down feature type	Down feature name	Down gene name	Down feature dist	IntergenicType	Hit position	Hit count
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	148	gene	GWK60_A00121	GWK60_A00121	653	W-W	39216	1
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	167	gene	GWK60_A00121	GWK60_A00121	634	W-W	39235	2
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	173	gene	GWK60_A00121	GWK60_A00121	628	W-W	39241	2
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	371	gene	GWK60_A00121	GWK60_A00121	430	W-W	39439	1
CP048230.1	W	gene	GWK60_A00099	GWK60_A00099	591	gene	GWK60_A00121	GWK60_A00121	210	W-W	39659	1
CP048230.1	W	gene	GWK60_A00253	GWK60_A00253	258	gene	GWK60_A00275	GWK60_A00275	570	C-C	51236	1
CP048230.1	W	gene	GWK60_A00319	ERG4	465	gene	GWK60_A00341	PDR1	3073	C-W	59138	1
CP048230.1	W	gene	GWK60_A00319	ERG4	1838	gene	GWK60_A00341	PDR1	1700	C-W	60511	1
CP048230.1	W	gene	GWK60_A00319	ERG4	2433	gene	GWK60_A00341	PDR1	1105	C-W	61106	2
CP048230.1	W	gene	GWK60_A00319	ERG4	2441	gene	GWK60_A00341	PDR1	1097	C-W	61114	1
CP048230.1	W	gene	GWK60_A00385	PMA1	734	gene	GWK60_A00407	GWK60_A00407	368	C-W	73108	1
CP048230.1	W	gene	GWK60_A00407	GWK60_A00407	0	gene	GWK60_A00407	GWK60_A00407	0	ORF(W)-ORF(W)	73773	4
CP048230.1	W	gene	GWK60_A00429	GWK60_A00429	145	gene	GWK60_A00451	GWK60_A00451	340	C-C	78016	1
CP048230.1	W	gene	GWK60_A00429	GWK60_A00429	195	gene	GWK60_A00451	GWK60_A00451	290	C-C	78066	1
CP048230.1	W	gene	GWK60_A00429	GWK60_A00429	354	gene	GWK60_A00451	GWK60_A00451	131	C-C	78225	2
CP048230.1	W	gene	GWK60_A00451	GWK60_A00451	0	gene	GWK60_A00451	GWK60_A00451	0	ORF(C)-ORF(C)	78415	5
CP048230.1	W	gene	GWK60_A00451	GWK60_A00451	0	gene	GWK60_A00451	GWK60_A00451	0	ORF(C)-ORF(C)	78438	2
CP048230.1	W	gene	GWK60_A00451	GWK60_A00451	0	gene	GWK60_A00451	GWK60_A00451	0	ORF(C)-ORF(C)	78522	1
CP048230.1	W	gene	GWK60_A00451	GWK60_A00451	0	gene	GWK60_A00451	GWK60_A00451	0	ORF(C)-ORF(C)	78652	1
