RDF,1
standard_name,common_name,type,chrom,start,stop,strand,coding_length,hits,reads,insertion_index,neighborhood_index,reads_ni,max_free_region,freedom_index,logit_fi,s_value,upstream_hits_100,hits_in_domains,reads_in_domains,domain_coverage,domain_ratio,bps_between_hits_in_feature,bps_between_hits_in_neihgborhood
GWK60_A00011,EPA19,ORF,CP048230.1,3287,16984,C,13698,0,0,0.0,0.0,0.0,13698,1.0,1.0,-12.755930741084399,0,0,0,0,0.0,9999,12734.0
GWK60_A00033,EPA24,ORF,CP048230.1,26433,28541,C,2109,0,0,0.0,0,0,2109,1.0,0.9999999948794296,-12.755930741084399,0,0,0,0,0.0,9999,9999
GWK60_A00055,GWK60_A00055,ORF,CP048230.1,32665,33504,C,840,0,0,0.0,0.0,0.0,840,1.0,0.9983411989198255,-12.755930741084399,0,0,0,0,0.0,9999,5192.5
GWK60_A00077,GWK60_A00077,ORF,CP048230.1,34115,36385,C,2271,0,0,0.0,0.0,0.0,2271,1.0,0.9999999989866457,-12.755930741084399,0,0,0,0,0.0,9999,4819.5
GWK60_A00099,GWK60_A00099,ORF,CP048230.1,36888,39068,W,2181,0,0,0.0,0.0,0.0,2181,1.0,0.9999999975075509,-12.755930741084399,0,0,0,0,0.0,9999,4119.0
GWK60_A00121,GWK60_A00121,ORF,CP048230.1,39869,42250,W,2382,0,0,0.0,0.0,0.0,2382,1.0,0.99999999966604,-12.755930741084399,0,0,0,0,0.0,9999,1934.5
GWK60_A00143,GWK60_A00143,ORF,CP048230.1,42544,43215,C,672,0,0,0.0,0.0,0.0,672,1.0,0.9911635995393923,-12.755930741084399,0,0,0,0,0.0,9999,1265.75
GWK60_A00165,GWK60_A00165,ORF,CP048230.1,43698,44498,W,801,0,0,0.0,0.0,0.0,801,1.0,0.9975519196246999,-12.755930741084399,0,0,0,0,0.0,9999,1187.25
GWK60_A00187,GWK60_A00187,ORF,CP048230.1,44808,45404,C,597,0,0,0.0,0.0,0.0,597,1.0,0.9814761750367006,-12.755930741084399,0,0,0,0,0.0,9999,944.2
GWK60_A00209,GWK60_A00209,ORF,CP048230.1,45607,47136,W,1530,1,1,0.00065359477124183,0.7435294117647059,0.4130718954248366,1264,0.8261437908496732,0.8261424074798218,-11.755930741084399,0,0,0,0,0.0,1530.0,1137.6
GWK60_A00231,GWK60_A00231,ORF,CP048230.1,47685,48254,W,570,0,0,0.0,0.0,0.0,570,1.0,0.9758729785823308,-12.755930741084399,0,0,0,0,0.0,9999,888.0
GWK60_A00253,GWK60_A00253,ORF,CP048230.1,48624,50978,C,2355,2,2,0.0008492569002123143,0.8102972399150743,0.5401981599433829,1071,0.4547770700636943,0.4547770698647404,-11.170968240363242,0,0,0,0,0.0,1177.5,954.125
GWK60_A00275,GWK60_A00275,ORF,CP048230.1,51806,55015,C,3210,3,6,0.0009345794392523365,0.7537383177570094,1.0767690253671562,2941,0.9161993769470405,0.916199376946963,-9.948575819026795,0,0,0,0,0.0,1070.0,806.5
GWK60_A00297,SCL1,ORF,CP048230.1,56199,56963,W,765,0,0,0.0,0.0,0.0,765,1.0,0.9964948127799336,-12.755930741084399,0,0,0,0,0.0,9999,639.5454545454545
GWK60_A00319,ERG4,ORF,CP048230.1,57279,58673,C,1395,0,0,0.0,0.0,0.0,1395,1.0,0.9999935408088644,-12.755930741084399,0,0,0,0,0.0,9999,674.0909090909091
GWK60_A00341,PDR1,ORF,CP048230.1,62211,65534,W,3324,0,0,0.0,0.0,0.0,3324,1.0,0.9999999999999729,-12.755930741084399,0,0,0,0,0.0,9999,465.05882352941177
GWK60_A00363,GWK60_A00363,ORF,CP048230.1,65791,68151,C,2361,0,0,0.0,0.0,0.0,2361,1.0,0.9999999995880009,-12.755930741084399,0,0,0,0,0.0,9999,423.77777777777777
GWK60_A00385,PMA1,ORF,CP048230.1,69666,72374,C,2709,0,0,0.0,0.0,0.0,2709,1.0,0.9999999999873073,-12.755930741084399,0,0,0,0,0.0,9999,406.6875
GWK60_A00407,GWK60_A00407,ORF,CP048230.1,73476,76844,W,3369,3,10,0.0008904719501335708,0.26357969723953695,0.6059303384816941,2029,0.6022558622736717,0.6022558622736612,-9.2964991224471,3,0,0,0,0.0,1123.0,296.0
GWK60_A00429,GWK60_A00429,ORF,CP048230.1,77062,77871,C,810,0,0,0.0,0.0,0.0,810,1.0,0.9977621514787236,-12.755930741084399,0,0,0,0,0.0,9999,327.42105263157896
GWK60_A00451,GWK60_A00451,ORF,CP048230.1,78356,79594,C,1239,7,11,0.005649717514124294,2.112696996729111,2.2528248587570623,699,0.5641646489104116,0.5641473079617254,-9.170968240363242,0,0,0,0,0.0,177.0,373.94736842105266
GWK60_A00473,GWK60_A00473,ORF,CP048230.1,79931,81871,W,1941,0,0,0.0,0.0,0.0,1941,1.0,0.9999999725252938,-12.755930741084399,0,0,0,0,0.0,9999,321.94444444444446
GWK60_A00495,GWK60_A00495,ORF,CP048230.1,81926,83848,C,1923,0,0,0.0,0.0,0.0,1923,1.0,0.9999999671068047,-12.755930741084399,0,0,0,0,0.0,9999,351.27272727272725
GWK60_A00517,GWK60_A00517,ORF,CP048230.1,84469,85122,W,654,0,0,0.0,0.0,0.0,654,1.0,0.9894393119633768,-12.755930741084399,0,0,0,0,0.0,9999,475.625
GWK60_A00539,GWK60_A00539,ORF,CP048230.1,85576,85959,W,384,0,0,0.0,0.0,0.0,384,1.0,0.8629487074245404,-12.755930741084399,0,0,0,0,0.0,9999,496.88235294117646
GWK60_A00583,GWK60_A00583,ORF,CP048230.1,87402,88226,W,825,1,2,0.0012121212121212121,0.6308021390374332,1.0212987012987014,561,0.68,0.6786898204289373,-11.170968240363242,0,0,0,0,0.0,825.0,520.4117647058823
GWK60_A00605,GWK60_A00605,ORF,CP048230.1,89315,91915,W,2601,1,1,0.00038446751249519417,0.20186805979600608,0.15598895529691376,1844,0.708958093041138,0.7089580930146402,-11.755930741084399,0,0,0,0,0.0,2601.0,525.0588235294117
GWK60_A00627,GWK60_A00627,ORF,CP048230.1,94544,94834,W,291,0,0,0.0,0.0,0.0,291,1.0,0.7130001627522816,-12.755930741084399,0,0,0,0,0.0,9999,613.3846153846154
GWK60_A00649,GWK60_A00649,ORF,CP048230.1,95979,97628,W,1650,3,3,0.0018181818181818182,1.0283116883116883,0.7997979797979797,1014,0.6145454545454545,0.6145451446010474,-10.755930741084399,0,0,0,0,0.0,550.0,565.5714285714286
GWK60_A00671,GWK60_A00671,ORF,CP048230.1,98790,102578,W,3789,7,8,0.0018474531538664556,1.083951150459464,0.9733438902084983,1416,0.3737133808392716,0.3737133808392715,-9.586005739642086,0,0,0,0,0.0,541.2857142857143,586.7272727272727
