Chromosome,Position,Reads
CP048230.1,1261,131
CP048230.1,1774,846
CP048230.1,2177,24
CP048230.1,2656,277
CP048230.1,2682,36
CP048230.1,19195,21
CP048230.1,20266,115
CP048230.1,21047,43
CP048230.1,25975,17
CP048230.1,26244,91
CP048230.1,29632,440
CP048230.1,31697,2
CP048230.1,31751,31
CP048230.1,31789,395
CP048230.1,31927,11
CP048230.1,31929,43
CP048230.1,31936,15
CP048230.1,32398,10
CP048230.1,32577,201
CP048230.1,32766,109
CP048230.1,33227,26
CP048230.1,33638,262
CP048230.1,33645,162
CP048230.1,33647,328
CP048230.1,33654,30
CP048230.1,33740,2
CP048230.1,33847,1
CP048230.1,33852,1
CP048230.1,33906,233
CP048230.1,33956,46
CP048230.1,33974,5
CP048230.1,34061,55
CP048230.1,36147,16
CP048230.1,36489,1014
CP048230.1,39101,1
CP048230.1,39102,40
CP048230.1,39103,390
CP048230.1,39147,133
CP048230.1,39199,188
CP048230.1,39205,108
CP048230.1,39207,532
CP048230.1,39216,6
CP048230.1,39231,7
CP048230.1,39235,1459
CP048230.1,39241,928
CP048230.1,39242,2221
CP048230.1,39248,7
CP048230.1,39255,101
CP048230.1,39266,597
CP048230.1,39272,6969
CP048230.1,39279,5957
CP048230.1,39283,765
CP048230.1,39287,91
CP048230.1,39290,1263
CP048230.1,39291,735
CP048230.1,39377,164
CP048230.1,39379,106
CP048230.1,39388,16
CP048230.1,39407,503
CP048230.1,39439,184
CP048230.1,39446,222
CP048230.1,39448,213
CP048230.1,39453,125
CP048230.1,39455,100
CP048230.1,39462,289
CP048230.1,39480,2
CP048230.1,39523,62
CP048230.1,39565,36
CP048230.1,39574,577
CP048230.1,39588,224
CP048230.1,39612,9
CP048230.1,39659,169
CP048230.1,39666,1755
CP048230.1,39690,228
CP048230.1,39692,118
CP048230.1,39805,441
CP048230.1,39849,474
CP048230.1,39876,12
CP048230.1,39943,347
CP048230.1,40067,143
CP048230.1,40071,1
CP048230.1,40074,375
CP048230.1,40087,13
CP048230.1,40102,557
CP048230.1,40527,295
CP048230.1,40538,154
CP048230.1,40625,61
CP048230.1,41121,12
CP048230.1,41221,180
CP048230.1,42293,292
CP048230.1,42332,10
CP048230.1,42352,412
CP048230.1,43304,143
CP048230.1,43314,588
CP048230.1,43321,724
CP048230.1,43356,18
CP048230.1,43383,90
CP048230.1,43414,2
CP048230.1,43450,325
CP048230.1,43493,659
CP048230.1,43500,436
CP048230.1,43515,141
CP048230.1,43522,168
CP048230.1,43555,1
CP048230.1,44354,39
CP048230.1,44723,22
CP048230.1,44732,203
CP048230.1,44773,3
CP048230.1,45436,231
CP048230.1,45443,126
CP048230.1,45472,12
CP048230.1,45498,35
CP048230.1,45518,23
CP048230.1,45889,100
CP048230.1,45917,225
CP048230.1,46032,82
CP048230.1,46041,179
CP048230.1,46139,189
CP048230.1,46394,183
CP048230.1,46773,22
CP048230.1,46910,222
CP048230.1,46915,5
CP048230.1,47272,52
CP048230.1,47299,252
CP048230.1,47445,14
CP048230.1,47452,183
CP048230.1,47470,40
CP048230.1,47477,771
CP048230.1,47521,5
CP048230.1,47550,1
CP048230.1,47700,34
CP048230.1,47737,26
CP048230.1,47789,141
CP048230.1,47835,377
CP048230.1,47878,1
CP048230.1,47882,10
CP048230.1,47976,661
CP048230.1,48014,516
CP048230.1,48134,22
CP048230.1,48216,225
CP048230.1,48224,191
CP048230.1,48538,1
CP048230.1,48701,18
CP048230.1,48787,445
CP048230.1,48794,8
CP048230.1,48798,147
CP048230.1,48909,108
CP048230.1,48916,45
CP048230.1,48975,541
CP048230.1,49147,299
CP048230.1,49192,685
CP048230.1,49332,266
CP048230.1,49339,696
CP048230.1,49393,15
CP048230.1,49461,77
CP048230.1,49629,55
CP048230.1,50362,336
CP048230.1,50369,765
CP048230.1,50503,153
CP048230.1,50510,2421
CP048230.1,50525,291
CP048230.1,50558,271
CP048230.1,50623,339
CP048230.1,50725,24
CP048230.1,50810,326
CP048230.1,50869,150
CP048230.1,50879,543
CP048230.1,50905,129
CP048230.1,50915,229
CP048230.1,50919,196
CP048230.1,51017,743
CP048230.1,51024,468
CP048230.1,51046,655
CP048230.1,51102,315
CP048230.1,51109,255
CP048230.1,51121,620
CP048230.1,51128,283
CP048230.1,51135,88
CP048230.1,51149,2669
CP048230.1,51156,697
CP048230.1,51160,910
CP048230.1,51164,111
CP048230.1,51172,23
CP048230.1,51233,630
CP048230.1,51236,5410
CP048230.1,51243,9765
CP048230.1,51248,57
CP048230.1,51254,57
CP048230.1,51261,97
CP048230.1,51316,55
CP048230.1,51330,8
CP048230.1,51394,41
CP048230.1,51425,656
CP048230.1,51467,1151
CP048230.1,51473,619
CP048230.1,51482,7
CP048230.1,51499,229
CP048230.1,51512,11
CP048230.1,51513,11
CP048230.1,51519,504
CP048230.1,51520,497
CP048230.1,51527,432
CP048230.1,51529,372
CP048230.1,51535,714
CP048230.1,51549,2275
CP048230.1,51553,939
CP048230.1,51556,1739
CP048230.1,51560,731
CP048230.1,51563,1010
CP048230.1,51570,81
CP048230.1,51596,406
CP048230.1,51624,253
CP048230.1,51625,1676
CP048230.1,51632,3519
CP048230.1,51653,2
CP048230.1,51658,37
CP048230.1,51675,3
CP048230.1,51683,493
CP048230.1,51688,22
CP048230.1,51700,768
CP048230.1,51706,291
CP048230.1,51707,212
CP048230.1,51713,633
CP048230.1,51720,441
CP048230.1,51721,266
CP048230.1,51726,1465
CP048230.1,51736,2431
CP048230.1,51757,2354
CP048230.1,51764,2046
CP048230.1,51765,2148
CP048230.1,51767,1
CP048230.1,51772,1441
CP048230.1,51774,982
CP048230.1,51889,1458
CP048230.1,52037,4798
CP048230.1,52067,2252
CP048230.1,52074,4709
CP048230.1,52108,896
CP048230.1,52237,383
CP048230.1,52239,388
CP048230.1,52242,13
CP048230.1,52265,2
CP048230.1,52266,826
CP048230.1,52270,444
CP048230.1,52471,133
CP048230.1,52747,2
CP048230.1,53065,786
CP048230.1,53268,105
CP048230.1,53930,68
CP048230.1,53937,22
CP048230.1,54622,239
CP048230.1,54919,116
CP048230.1,55042,274
CP048230.1,55184,45
CP048230.1,55213,64
CP048230.1,55219,20
CP048230.1,55250,11
CP048230.1,55256,14
CP048230.1,55263,1
CP048230.1,55269,9
CP048230.1,55274,421
CP048230.1,55280,466
CP048230.1,55281,898
CP048230.1,55282,537
CP048230.1,55347,189
CP048230.1,55350,119
CP048230.1,55357,599
CP048230.1,55377,159
CP048230.1,55405,8
CP048230.1,55412,490
CP048230.1,55703,22
CP048230.1,55818,298
CP048230.1,55892,32
CP048230.1,57014,74
CP048230.1,57022,175
CP048230.1,57047,13
CP048230.1,57086,211
CP048230.1,57095,38
CP048230.1,57096,2
CP048230.1,57138,1070
CP048230.1,57172,362
CP048230.1,58830,96
CP048230.1,58835,226
CP048230.1,58837,38
CP048230.1,58842,18
CP048230.1,58845,17
CP048230.1,58849,425
CP048230.1,58884,261
CP048230.1,58887,72
CP048230.1,58932,149
CP048230.1,58933,684
CP048230.1,58940,897
CP048230.1,58956,576
CP048230.1,58969,81
CP048230.1,58977,561
CP048230.1,58981,36
CP048230.1,58984,323
CP048230.1,58996,612
CP048230.1,58998,197
CP048230.1,58999,478
CP048230.1,59003,5
CP048230.1,59007,502
CP048230.1,59014,254
CP048230.1,59021,257
CP048230.1,59046,1387
CP048230.1,59053,551
CP048230.1,59061,70
CP048230.1,59087,6
CP048230.1,59093,13
CP048230.1,59129,128
CP048230.1,59138,285
CP048230.1,59140,261
CP048230.1,59146,123
CP048230.1,59194,84
CP048230.1,59257,7
CP048230.1,59263,440
CP048230.1,59276,36
CP048230.1,59283,47
CP048230.1,59325,100
CP048230.1,59449,656
CP048230.1,59457,637
CP048230.1,59496,14
CP048230.1,59497,36
CP048230.1,59571,104
CP048230.1,59578,241
CP048230.1,59612,11
CP048230.1,59624,793
CP048230.1,59633,248
CP048230.1,59641,203
CP048230.1,59643,27
CP048230.1,59718,46
CP048230.1,59869,61
CP048230.1,59998,689
CP048230.1,60005,630
CP048230.1,60038,200
CP048230.1,60145,86
CP048230.1,60428,417
CP048230.1,60435,837
CP048230.1,60439,140
CP048230.1,60475,19
CP048230.1,60511,1
CP048230.1,60630,123
CP048230.1,60636,14
CP048230.1,60678,114
CP048230.1,60754,74
CP048230.1,60875,14
CP048230.1,60881,282
CP048230.1,60901,11
CP048230.1,60927,357
CP048230.1,60936,1
CP048230.1,60942,60
CP048230.1,60949,159
CP048230.1,60950,38
CP048230.1,60952,104
CP048230.1,60955,1
CP048230.1,60956,101
CP048230.1,60957,6
CP048230.1,60959,8
CP048230.1,60981,110
CP048230.1,60988,11
CP048230.1,61053,309
CP048230.1,61060,439
CP048230.1,61087,13
CP048230.1,61088,451
CP048230.1,61098,7
CP048230.1,61106,679
CP048230.1,61110,227
CP048230.1,61111,38
CP048230.1,61112,455
CP048230.1,61113,1182
CP048230.1,61114,1327
CP048230.1,61115,1
CP048230.1,61117,136
CP048230.1,61119,554
CP048230.1,61121,217
CP048230.1,61151,396
CP048230.1,61153,118
CP048230.1,61154,2
CP048230.1,61158,1246
CP048230.1,61160,120
CP048230.1,61185,20
CP048230.1,61187,143
CP048230.1,61196,262
CP048230.1,61198,99
CP048230.1,61242,47
CP048230.1,61248,143
CP048230.1,61249,18
CP048230.1,61255,1
CP048230.1,61269,135
CP048230.1,61293,338
CP048230.1,61300,251
CP048230.1,61339,22
CP048230.1,61350,138
CP048230.1,61361,513
CP048230.1,61368,176
CP048230.1,61369,437
CP048230.1,61376,466
CP048230.1,61377,1105
CP048230.1,61378,262
CP048230.1,61384,996
CP048230.1,61397,1
CP048230.1,61404,234
CP048230.1,61406,291
CP048230.1,61460,346
CP048230.1,61462,419
CP048230.1,61467,111
CP048230.1,61469,2
CP048230.1,61475,251
CP048230.1,61477,102
CP048230.1,61481,137
CP048230.1,61482,187
CP048230.1,61536,692
CP048230.1,61541,118
CP048230.1,61575,18
CP048230.1,61578,13
CP048230.1,61581,448
CP048230.1,61592,234
CP048230.1,61603,177
CP048230.1,61605,3137
CP048230.1,61612,1141
CP048230.1,61614,5095
CP048230.1,61618,16
CP048230.1,61619,185
CP048230.1,61621,9588
CP048230.1,61624,33
CP048230.1,61633,70
CP048230.1,61634,918
CP048230.1,61636,102
CP048230.1,61641,728
CP048230.1,61644,33
CP048230.1,61652,212
CP048230.1,61670,24
CP048230.1,61686,497
CP048230.1,61690,62
CP048230.1,61693,334
CP048230.1,61699,1001
CP048230.1,61701,231
CP048230.1,61703,535
CP048230.1,61708,210
CP048230.1,61721,45
CP048230.1,61738,5
CP048230.1,61744,363
CP048230.1,61749,467
CP048230.1,61752,140
CP048230.1,61796,8
CP048230.1,61798,493
CP048230.1,61800,206
CP048230.1,61808,193
CP048230.1,61812,5
CP048230.1,61815,2492
CP048230.1,61819,632
CP048230.1,61863,59
CP048230.1,61903,116
CP048230.1,61946,48
CP048230.1,61986,169
CP048230.1,62004,496
CP048230.1,62006,246
CP048230.1,62090,411
CP048230.1,62099,64
CP048230.1,62106,90
CP048230.1,62113,194
CP048230.1,62136,532
CP048230.1,62211,193
CP048230.1,62262,233
CP048230.1,62379,208
CP048230.1,62380,591
CP048230.1,62387,143
CP048230.1,63098,151
CP048230.1,63259,142
CP048230.1,63349,148
CP048230.1,63444,4
CP048230.1,63612,413
CP048230.1,63787,433
CP048230.1,64408,109
CP048230.1,64665,90
